,rank,name,world,vocation,level,experience,world_type,updated_at
0,1,Dejairzin,inabra,elder druid,3003,450595084573,Open PvP,2026-01-26 19:02:58.360767
1,2,Bobeek,bona,elder druid,2964,433206684678,Optional PvP,2026-01-26 19:02:58.360767
2,3,Goraca,bona,master sorcerer,2960,431582139241,Optional PvP,2026-01-26 19:02:58.360767
3,4,Veyllor,gentebra,royal paladin,2912,410954953403,Optional PvP,2026-01-26 19:02:58.360767
4,5,Warlord Teus,belobra,master sorcerer,2878,396814151196,Optional PvP,2026-01-26 19:02:58.360767
5,6,Warlord Teuzin,belobra,master sorcerer,2877,396292619074,Optional PvP,2026-01-26 19:02:58.360767
6,7,Vepeh,celebra,royal paladin,2866,391841387978,Optional PvP,2026-01-26 19:02:58.360767
7,8,Mago Morto,celebra,master sorcerer,2803,366503147269,Optional PvP,2026-01-26 19:02:58.360767
8,9,Kommander,celebra,royal paladin,2797,364254946858,Optional PvP,2026-01-26 19:02:58.360767
9,10,Ke vinho,gentebra,elder druid,2791,361724167117,Optional PvP,2026-01-26 19:02:58.360767
10,11,Warlord Leonny,belobra,royal paladin,2790,361215574557,Optional PvP,2026-01-26 19:02:58.360767
11,12,Warlord Bread,belobra,elder druid,2789,360965151976,Optional PvP,2026-01-26 19:02:58.360767
12,13,Baaeck,gentebra,master sorcerer,2724,336321195081,Optional PvP,2026-01-26 19:02:58.360767
13,14,Galll,gentebra,elite knight,2715,333094200390,Optional PvP,2026-01-26 19:02:58.360767
14,15,Izzy The Beast,celebra,elder druid,2684,321629026581,Optional PvP,2026-01-26 19:02:58.360767
15,16,Szimix,celesta,elder druid,2635,304290443832,Optional PvP,2026-01-26 19:02:58.360767
16,17,Teus,descubra,master sorcerer,2632,303245394410,Optional PvP,2026-01-26 19:02:58.360767
17,18,Ferangel,bona,royal paladin,2589,288849600805,Optional PvP,2026-01-26 19:02:58.360767
18,19,Khaos Poderoso,unebra,master sorcerer,2589,288564520877,Open PvP,2026-01-26 19:02:58.360767
19,20,Marcao Implacavel,kalibra,elder druid,2574,283817236325,Optional PvP,2026-01-26 19:02:58.360767
20,21,Elder Reno,celesta,elder druid,2533,270456093210,Optional PvP,2026-01-26 19:02:58.360767
