,name,world,skill_name,vocation,skill_level,updated_at
0,Guatic Atrasado,luzibra,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
1,Gurizinho Kamikaze,luzibra,Fist Fighting,exalted monk,115,2026-01-26 19:04:26.054883
2,Alekz,xymera,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
3,Angelito Bifestinha,xymera,Fist Fighting,exalted monk,114,2026-01-26 19:04:26.054883
4,Don Victtor Millonetta,xymera,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
5,Ennsage,xymera,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
6,General Ancor,xymera,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
7,Gyngka,xymera,Fist Fighting,exalted monk,118,2026-01-26 19:04:26.054883
8,Jamonk Trapz,xymera,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
9,Ma Ireri,xymera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
10,Mu Lee,xymera,Fist Fighting,exalted monk,116,2026-01-26 19:04:26.054883
11,Omel The Cholo,xymera,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
12,Otti Ek,xymera,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
13,Quesillito On Runera,xymera,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
14,Sacred Larasz,xymera,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
15,Shum Privet,xymera,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
16,Yellow Kid Weil,xymera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
17,Saga iluminado,xymera,Fist Fighting,exalted monk,121,2026-01-26 19:04:26.054883
18,Admiiral Gwiezdnej Floty,zuna,Distance Fighting,royal paladin,133,2026-01-26 19:04:26.054883
19,Alexx Bonebreakaz,zuna,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
20,Arau,zuna,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
21,Aurora Girl,zuna,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
22,Axiorq,zuna,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
23,Azuan Shex,zuna,Shielding,knight,123,2026-01-26 19:04:26.054883
24,Beezorth,zuna,Shielding,paladin,123,2026-01-26 19:04:26.054883
25,Chimu Shadows,zuna,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
26,Chiyoko,zuna,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
27,Clownfiesta Primetime,zuna,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
28,Clubmiiral,zuna,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
29,Daipaz Il,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
30,Dra Alucination,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
31,Ewenemeent,zuna,Shielding,elite knight,123,2026-01-26 19:04:26.054883
32,Fairouz Lee,zuna,Sword Fighting,knight,130,2026-01-26 19:04:26.054883
33,Fat Dab,zuna,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
34,Feitizos,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
35,Finnrax,zuna,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
36,Gothrul,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
37,Gregorry,zuna,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
38,Gro dao,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
39,Jin Kanzaki,zuna,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
