,name,vocation,world,skill_level,category,ingestion_time,ingestion_date,source_system,batch_id
0,Primero Monge,exalted monk,cantabra,111,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
1,Alekz,elite knight,xymera,131,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
2,Angelito Bifestinha,exalted monk,xymera,114,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
3,Don Victtor Millonetta,elite knight,xymera,127,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
4,Drogo Morningstar,elite knight,xymera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
5,Ennsage,exalted monk,xymera,110,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
6,General Ancor,exalted monk,xymera,109,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
7,Gyngka,exalted monk,xymera,118,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
8,Jamonk Trapz,exalted monk,xymera,117,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
9,Ma Ireri,elite knight,xymera,130,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
10,Mu Lee,exalted monk,xymera,116,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
11,Omel The Cholo,royal paladin,xymera,135,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
12,Otti Ek,elite knight,xymera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
13,Poni,elite knight,xymera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
14,Quesillito On Runera,exalted monk,xymera,110,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
15,Rydei Khan,exalted monk,xymera,109,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
16,Sacred Larasz,exalted monk,xymera,117,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
17,Saga iluminado,exalted monk,xymera,121,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
18,Shum Privet,exalted monk,xymera,112,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
19,Yellow Kid Weil,master sorcerer,xymera,128,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
20,Ascendant Striker,exalted monk,oceanis,112,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
21,Black Karasu,elite knight,oceanis,134,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
22,Booce,elite knight,oceanis,125,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
