,name,vocation,level,world,experience,world_type,ingestion_time,ingestion_date,source_system,batch_id
0,Adrinhio,elite knight,1662,thyria,76257147029,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
1,Aightmare,royal paladin,1093,thyria,21664774854,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
2,Aitana Queen,exalted monk,374,thyria,862154114,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
3,Al Meow,royal paladin,1670,thyria,77471495320,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
4,Allemendes Do Freestep,none,68,thyria,4934954,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
5,Almighty Protinho,royal paladin,1284,thyria,35195521677,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
6,Amiiral,elite knight,1377,thyria,43366408497,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
7,An ge lo,elite knight,1283,thyria,35091457721,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
8,Anatim,royal paladin,1351,thyria,40972892772,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
9,Anatomiczny Posilek,elite knight,1469,thyria,52635291277,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
10,Andy Lightyear,elite knight,1080,thyria,20913812311,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
