Rank,Name,Vocation,World,Level,Points,WorldType
1,Dejairzin,Elder Druid,Inabra,2927,"417,369,448,858",Open PvP
2,Megazao Supreme Emex,Elder Druid,Havera,2305,"203,648,592,710",Open PvP
3,Pedrin Descongelou,Elder Druid,Rasteibra,2289,"199,398,483,792",Open PvP
4,Chronos Poderoso,Elder Druid,Rasteibra,2284,"198,159,593,841",Open PvP
5,Sorinzinho,Elder Druid,Jadebra,2262,"192,593,938,879",Open PvP
6,Ze Cueei,Elder Druid,Honbra,2210,"179,523,363,925",Open PvP
7,Toxic Es Fiado,Elder Druid,Havera,2188,"174,277,226,236",Open PvP
8,Tonimm,Elder Druid,Jadebra,2175,"171,036,866,479",Open PvP
9,Sorin Emperor,Elder Druid,Ourobra,2143,"163,677,100,301",Open PvP
10,Magnifik Danybruxo,Elder Druid,Inabra,2141,"163,192,263,303",Open PvP
11,Leozinsz Paramaxxz,Elder Druid,Honbra,2138,"162,547,227,251",Open PvP
12,Waguinho The Legend,Elder Druid,Quelibra,2078,"149,295,614,947",Open PvP
13,Estilo Inativo,Elder Druid,Rasteibra,2063,"145,916,855,346",Open PvP
14,Rodrigaumd,Elder Druid,Inabra,2050,"143,347,863,725",Open PvP
15,Mighty Peral,Elder Druid,Solidera,2009,"134,798,220,542",Open PvP
16,Luidao Inevitavel,Elder Druid,Ourobra,1990,"130,977,985,114",Open PvP
17,Sinfronio Stark,Elder Druid,Rasteibra,1989,"130,904,598,896",Open PvP
18,Biel Schneider,Elder Druid,Inabra,1979,"128,859,737,500",Open PvP
19,Xon Vanetta,Elder Druid,Premia,1966,"126,311,387,964",Open PvP
20,Zona tto,Elder Druid,Ombra,1958,"124,851,002,469",Open PvP
21,Dudopix Enterprise,Elder Druid,Ferobra,1948,"123,010,734,398",Open PvP
22,Nexyz Fallout,Elder Druid,Ourobra,1941,"121,628,819,190",Open PvP
23,Zezinho Ltda,Elder Druid,Ourobra,1925,"118,618,235,944",Open PvP
24,Zee Cuei Store,Elder Druid,Quelibra,1925,"118,596,725,704",Open PvP
25,Batman Malvadao,Elder Druid,Inabra,1919,"117,521,813,767",Open PvP
26,Hellz Nugb,Elder Druid,Wintera,1917,"117,084,088,778",Open PvP
27,Waguinho Loko,Elder Druid,Quelibra,1916,"117,023,711,334",Open PvP
28,So rin,Elder Druid,Ourobra,1905,"114,918,026,588",Open PvP
29,Mgnfiksupremo Liderdany,Druid,Inabra,1899,"113,835,893,767",Open PvP
30,Xelaum,Elder Druid,Inabra,1898,"113,737,291,129",Open PvP
31,Davidzinhow,Elder Druid,Rasteibra,1895,"113,226,725,037",Open PvP
32,Bu uzz,Elder Druid,Serdebra,1895,"113,153,589,662",Open PvP
33,Re nanzeraxd,Elder Druid,Serdebra,1892,"112,546,714,146",Open PvP
34,Bambaryla Witek,Elder Druid,Thyria,1885,"111,420,469,678",Open PvP
35,Dat Pedrak,Elder Druid,Antica,1878,"110,120,948,033",Open PvP
36,Flango Zeroum,Elder Druid,Ombra,1871,"108,842,360,598",Open PvP
37,Guh Tomorrow,Elder Druid,Serdebra,1864,"107,664,404,655",Open PvP
38,Don Roney,Elder Druid,Jadebra,1853,"105,852,100,579",Open PvP
39,Dorivall,Elder Druid,Ombra,1847,"104,749,198,852",Open PvP
40,Aleex con Hat,Elder Druid,Talera,1846,"104,672,721,381",Open PvP
41,Jaacm,Elder Druid,Ferobra,1832,"102,178,382,308",Open PvP
42,Zezinho Zedrin,Elder Druid,Ourobra,1832,"102,165,912,361",Open PvP
43,Theuzikat,Elder Druid,Quelibra,1828,"101,574,484,907",Open PvP
44,Goa Onurb,Elder Druid,Quelibra,1822,"100,592,554,471",Open PvP
45,Madiks,Elder Druid,Ourobra,1818,"99,875,467,512",Open PvP
46,Rafa Zedrin,Elder Druid,Rasteibra,1811,"98,726,738,250",Open PvP
47,Yuwiz,Elder Druid,Premia,1793,"95,796,156,249",Open PvP
48,Magnifik Curanderodany,Druid,Inabra,1781,"93,870,906,865",Open PvP
49,Erickaao,Elder Druid,Ombra,1773,"92,702,181,043",Open PvP
50,Elder Pajji,Elder Druid,Thyria,1766,"91,526,099,396",Open PvP
51,Thiagod Derrepente Maislindo,Elder Druid,Ferobra,1761,"90,817,745,568",Open PvP
52,Caink Blob,Elder Druid,Inabra,1760,"90,705,241,734",Open PvP
53,King Emex,Elder Druid,Solidera,1744,"88,167,997,074",Open PvP
54,Nyxzz,Elder Druid,Inabra,1742,"87,872,009,879",Open PvP
55,Khaosz Cliick Claack,Elder Druid,Runera,1741,"87,780,930,448",Open PvP
56,Octuous,Elder Druid,Lobera,1739,"87,466,790,379",Open PvP
57,Wendoza,Elder Druid,Rasteibra,1732,"86,329,653,294",Open PvP
58,Rhooo,Elder Druid,Lobera,1723,"85,064,032,262",Open PvP
59,Humble Victor,Elder Druid,Talera,1723,"85,050,289,245",Open PvP
60,Humble Francksz,Elder Druid,Talera,1717,"84,090,624,075",Open PvP
61,Danika Frozenheart,Elder Druid,Solidera,1716,"83,970,974,489",Open PvP
62,Mirunga,Elder Druid,Antica,1704,"82,260,610,967",Open PvP
63,Sedik,Elder Druid,Antica,1700,"81,595,086,196",Open PvP
64,Myth Herus,Elder Druid,Ombra,1697,"81,215,493,407",Open PvP
65,Speedda,Elder Druid,Thyria,1691,"80,360,932,122",Open PvP
66,Zound Wave,Elder Druid,Solidera,1683,"79,263,126,942",Open PvP
67,Pu,Elder Druid,Lobera,1682,"79,153,587,921",Open PvP
68,Leo Cyrus,Elder Druid,Talera,1678,"78,466,840,444",Open PvP
69,Baphomet Cuei Poderoso,Elder Druid,Rasteibra,1676,"78,206,541,724",Open PvP
70,Druf ox,Elder Druid,Inabra,1674,"78,007,514,084",Open PvP
71,Pesz Navy seal,Elder Druid,Talera,1671,"77,494,548,991",Open PvP
72,Monnymoo,Elder Druid,Solidera,1654,"75,143,485,727",Open PvP
73,Digo do Martelo,Elder Druid,Rasteibra,1653,"75,078,361,290",Open PvP
74,Battledroid,Elder Druid,Lobera,1637,"72,948,013,493",Open PvP
75,Thiago Camisadez,Elder Druid,Honbra,1636,"72,765,422,745",Open PvP
76,Lukas,Elder Druid,Inabra,1634,"72,459,575,326",Open PvP
77,Fael Topgun,Elder Druid,Quelibra,1630,"72,006,133,413",Open PvP
78,Giin Ho,Elder Druid,Quelibra,1626,"71,503,965,279",Open PvP
79,Kazikk,Elder Druid,Peloria,1624,"71,132,381,961",Open PvP
80,Thzkat Zedrin,Elder Druid,Ourobra,1622,"70,965,554,006",Open PvP
81,Toxic Pups,Elder Druid,Thyria,1622,"70,886,424,140",Open PvP
82,Tonim Namorado Dokain,Elder Druid,Jadebra,1619,"70,511,686,581",Open PvP
83,Roller Coastter,Elder Druid,Talera,1617,"70,279,547,960",Open PvP
84,Xtruh Venom,Elder Druid,Quintera,1617,"70,227,250,363",Open PvP
85,Se rrao,Elder Druid,Ourobra,1614,"69,824,449,905",Open PvP
86,Nick Toretto,Elder Druid,Lobera,1612,"69,682,049,245",Open PvP
87,Nix Poderoso,Elder Druid,Ourobra,1610,"69,386,424,105",Open PvP
88,Prom Tyll,Elder Druid,Thyria,1610,"69,327,850,829",Open PvP
89,Ala Nha,Elder Druid,Premia,1605,"68,740,183,795",Open PvP
90,Trem Bala Bombinha,Elder Druid,Jadebra,1603,"68,507,027,395",Open PvP
91,Tastdingo,Elder Druid,Solidera,1603,"68,396,897,155",Open PvP
92,Magnifik Patraodany,Elder Druid,Inabra,1600,"68,076,824,615",Open PvP
93,Biellzin,Elder Druid,Inabra,1600,"68,070,509,320",Open PvP
94,Ro driguez,Elder Druid,Ourobra,1599,"68,009,005,288",Open PvP
95,Kpop Kouth,Elder Druid,Thyria,1597,"67,736,722,864",Open PvP
96,Ocueistore Praguinhasbomb,Elder Druid,Quelibra,1594,"67,349,374,260",Open PvP
97,Ndetarova Ed,Elder Druid,Ourobra,1585,"66,213,396,203",Open PvP
98,Skaan Rush,Elder Druid,Serdebra,1582,"65,789,975,696",Open PvP
99,Iceprime,Elder Druid,Antica,1578,"65,358,900,881",Open PvP
100,Franco Storm,Elder Druid,Jadebra,1574,"64,746,552,290",Open PvP
101,Sorin Inevitavel,Elder Druid,Honbra,1573,"64,649,702,943",Open PvP
102,Thasso Bobadapeste,Elder Druid,Ourobra,1566,"63,831,634,903",Open PvP
103,Que Jinho,Elder Druid,Serdebra,1565,"63,718,968,474",Open PvP
104,Oblivionxd,Elder Druid,Inabra,1565,"63,714,703,654",Open PvP
105,Miller Goexp,Elder Druid,Serdebra,1564,"63,618,620,985",Open PvP
106,Dede Love,Elder Druid,Ferobra,1562,"63,362,321,522",Open PvP
107,Xablauzinzs Tropadomantem,Elder Druid,Inabra,1562,"63,360,202,649",Open PvP
108,Dunno Novo Homem,Elder Druid,Inabra,1557,"62,689,064,273",Open PvP
109,Pune Doninhohunted,Elder Druid,Inabra,1557,"62,683,177,397",Open PvP
110,Umkdinick,Elder Druid,Rasteibra,1556,"62,616,445,125",Open PvP
111,Ali the shihan,Elder Druid,Quintera,1555,"62,536,594,419",Open PvP
112,Zyviik,Elder Druid,Thyria,1553,"62,253,053,310",Open PvP
113,Idefisk,Elder Druid,Vunira,1553,"62,187,423,705",Open PvP
114,Fabrih,Elder Druid,Ferobra,1551,"62,037,952,289",Open PvP
115,Jackh,Elder Druid,Serdebra,1551,"62,023,494,884",Open PvP
116,Xivana,Elder Druid,Peloria,1551,"61,953,530,608",Open PvP
117,Druidoskii,Elder Druid,Peloria,1550,"61,848,939,368",Open PvP
118,Tenorio El Patronn,Elder Druid,Wintera,1545,"61,344,715,489",Open PvP
119,Kambaxo Tezuz,Elder Druid,Ferobra,1542,"60,916,674,147",Open PvP
120,Herze,Elder Druid,Talera,1542,"60,874,262,686",Open PvP
121,Joeru Navy Seal,Elder Druid,Talera,1541,"60,783,900,219",Open PvP
122,Rushout,Elder Druid,Lobera,1533,"59,913,428,831",Open PvP
