Rank,Name,Vocation,World,Level,Points,WorldType
1,Dabonebreaker,Elite Knight,Inabra,2359,"218,482,626,001",Open PvP
2,Bruneli Wayne,Elite Knight,Serdebra,2318,"207,111,453,379",Open PvP
3,Bomba Chapeleiro,Elite Knight,Honbra,2289,"199,472,410,759",Open PvP
4,Alchemistzin,Elite Knight,Quelibra,2253,"190,167,186,363",Open PvP
5,Knighttt Poderoso,Elite Knight,Rasteibra,2164,"168,559,771,552",Open PvP
6,Conde Danimax,Elite Knight,Inabra,2116,"157,553,011,696",Open PvP
7,Pedrin Orangepodi,Elite Knight,Rasteibra,2088,"151,347,663,877",Open PvP
8,Ragnarr Vilao,Elite Knight,Honbra,2077,"149,057,777,299",Open PvP
9,Destructive Kronun,Elite Knight,Talera,2034,"139,871,656,263",Open PvP
10,Kallashy,Elite Knight,Honbra,2033,"139,723,688,264",Open PvP
11,Soiji,Elite Knight,Inabra,2016,"136,224,500,642",Open PvP
12,Super Brabo,Elite Knight,Ombra,2014,"135,751,741,015",Open PvP
13,Magnifik Danytank,Elite Knight,Inabra,2010,"135,013,956,265",Open PvP
14,Zezinho Eurofeer,Elite Knight,Ourobra,1995,"131,990,935,115",Open PvP
15,Exorinho,Elite Knight,Thyria,1985,"130,109,291,960",Open PvP
16,Amora Enterprise,Elite Knight,Ourobra,1982,"129,556,175,508",Open PvP
17,Coragem Cao Covarde,Elite Knight,Ourobra,1955,"124,226,630,336",Open PvP
18,Jand Supremoo,Elite Knight,Jadebra,1951,"123,548,196,949",Open PvP
19,Deadmani,Elite Knight,Thyria,1945,"122,413,514,942",Open PvP
20,Toxic Kleine Esecee,Elite Knight,Havera,1945,"122,333,375,485",Open PvP
21,Dudu Stonecutter,Elite Knight,Ombra,1942,"121,727,884,042",Open PvP
22,Zmek,Elite Knight,Antica,1931,"119,730,963,765",Open PvP
23,Lecter,Elite Knight,Inabra,1921,"117,926,282,870",Open PvP
24,Munhoz Holdfast,Elite Knight,Ferobra,1913,"116,346,116,397",Open PvP
25,Kiperek,Elite Knight,Vunira,1884,"111,184,733,709",Open PvP
26,Wylliam Wallace,Elite Knight,Wintera,1883,"111,044,100,937",Open PvP
27,Hellz Negb,Knight,Wintera,1880,"110,434,623,827",Open PvP
28,Anita Supreme Emex,Elite Knight,Havera,1868,"108,380,708,955",Open PvP
29,Almom,Elite Knight,Inabra,1867,"108,121,299,886",Open PvP
