Rank,Name,Vocation,World,Level,Points,WorldType
1,Paita Brabo,Exalted Monk,Thyria,931,"13,368,072,920",Open PvP
2,Bloodrunk Leech,Exalted Monk,Lobera,879,"11,254,614,853",Open PvP
3,Saga Poderoso,Exalted Monk,Ourobra,869,"10,876,035,852",Open PvP
4,Leriisa,Exalted Monk,Thyria,838,"9,748,354,894",Open PvP
5,Monkii Donky,Exalted Monk,Solidera,834,"9,620,518,248",Open PvP
6,Vopz Monster,Exalted Monk,Inabra,829,"9,451,643,697",Open PvP
7,Masnus,Exalted Monk,Vunira,818,"9,076,335,325",Open PvP
8,Tomek Monkuje,Exalted Monk,Xyla,809,"8,763,305,098",Open PvP
9,Almighty Punch,Exalted Monk,Havera,805,"8,639,862,168",Open PvP
10,Don Josei,Exalted Monk,Quidera,793,"8,263,704,450",Open PvP
11,Rynce jak rury,Exalted Monk,Yara,788,"8,123,771,292",Open PvP
12,Sunwuko Kami,Exalted Monk,Thyria,785,"8,026,163,664",Open PvP
13,Launk,Exalted Monk,Honbra,783,"7,964,050,236",Open PvP
14,Dantalix,Exalted Monk,Vunira,777,"7,767,896,039",Open PvP
15,Fisterious,Exalted Monk,Xyla,765,"7,403,483,218",Open PvP
16,Monk Dudu,Exalted Monk,Rasteibra,762,"7,328,519,466",Open PvP
17,Shabir Monk,Exalted Monk,Quidera,749,"6,966,961,405",Open PvP
18,Demonic Monkzster,Exalted Monk,Thyria,746,"6,878,558,632",Open PvP
19,Bombeiro Pugilista,Exalted Monk,Rasteibra,746,"6,876,476,172",Open PvP
20,Shakhex,Exalted Monk,Ferobra,741,"6,737,962,805",Open PvP
21,Monk Dkoth,Exalted Monk,Honbra,736,"6,607,850,042",Open PvP
22,Ki Kyou,Exalted Monk,Quelibra,732,"6,492,121,374",Open PvP
23,Saga iluminado,Exalted Monk,Vandera,725,"6,299,016,287",Open PvP
24,Dedzar,Exalted Monk,Antica,725,"6,298,946,801",Open PvP
25,Fanatic bate fofo,Exalted Monk,Honbra,720,"6,191,967,407",Open PvP
26,Monk Yi,Exalted Monk,Tornabra,714,"6,022,544,105",Open PvP
27,Piasteczka,Exalted Monk,Thyria,713,"6,000,702,755",Open PvP
28,Shaolinzinha,Exalted Monk,Serdebra,711,"5,961,234,998",Open PvP
29,Cwil,Exalted Monk,Ferobra,700,"5,685,925,448",Open PvP
30,Abs Monkzada,Exalted Monk,Honbra,700,"5,683,105,467",Open PvP
31,Wing Chun Man,Exalted Monk,Solidera,700,"5,668,584,939",Open PvP
32,Duduxp,Exalted Monk,Ombra,696,"5,585,636,528",Open PvP
33,Tibursio ruler,Exalted Monk,Quidera,694,"5,530,895,976",Open PvP
34,Zhenkai,Exalted Monk,Honbra,693,"5,517,811,548",Open PvP
35,Edorix Shaolin,Exalted Monk,Vandera,690,"5,436,073,351",Open PvP
36,Phyyst,Exalted Monk,Quintera,685,"5,310,514,735",Open PvP
37,Kompisar Hip Hop,Exalted Monk,Antica,684,"5,290,389,114",Open PvP
38,Jab Mortal,Exalted Monk,Ombra,684,"5,287,170,249",Open PvP
39,Taort Lucild,Exalted Monk,Serdebra,683,"5,268,981,190",Open PvP
40,Elmif Aila,Exalted Monk,Peloria,682,"5,250,779,032",Open PvP
41,Hillamonk,Exalted Monk,Solidera,681,"5,228,814,034",Open PvP
42,Psico Paglis,Exalted Monk,Jadebra,678,"5,169,176,248",Open PvP
43,Netonha,Exalted Monk,Ourobra,676,"5,103,930,522",Open PvP
44,Rompee,Exalted Monk,Peloria,671,"4,996,063,286",Open PvP
