Rank,Name,Vocation,World,Level,Points,WorldType
1,Edinho Rancaprofit,Royal Paladin,Serdebra,2333,"211,207,062,173",Open PvP
2,Chris Dictador,Royal Paladin,Ombra,2256,"190,994,579,941",Open PvP
3,Felix Hastalo Infierno,Royal Paladin,Inabra,2235,"185,650,531,535",Open PvP
4,Recall Poderoso,Royal Paladin,Rasteibra,2231,"184,746,044,378",Open PvP
5,Pedrin Impostor,Royal Paladin,Rasteibra,2213,"180,233,059,847",Open PvP
6,Almighty Nova,Royal Paladin,Wintera,2166,"168,987,773,429",Open PvP
7,Hellz Nogb,Royal Paladin,Wintera,2154,"166,211,292,090",Open PvP
8,Ellmagnifinho Danynho,Royal Paladin,Inabra,2153,"165,902,704,529",Open PvP
9,Fael Fahurr,Royal Paladin,Quelibra,2152,"165,826,559,096",Open PvP
10,Chapoca Bahia,Royal Paladin,Inabra,2152,"165,820,736,739",Open PvP
11,Edi Paladino,Royal Paladin,Honbra,2124,"159,288,439,539",Open PvP
12,Turco Loko,Royal Paladin,Inabra,2068,"147,049,071,639",Open PvP
13,Tonim Sniper,Royal Paladin,Jadebra,2065,"146,537,754,313",Open PvP
14,Szmuggy,Royal Paladin,Thyria,2061,"145,661,714,770",Open PvP
15,Pedrin Feliznatal,Royal Paladin,Ourobra,2058,"144,991,760,421",Open PvP
16,Kalashnkov,Royal Paladin,Rasteibra,2049,"143,155,461,376",Open PvP
17,Partyboost,Royal Paladin,Vunira,2033,"139,779,020,515",Open PvP
18,Maarculino,Royal Paladin,Jadebra,2023,"137,665,421,762",Open PvP
19,Sorin Enterpriise,Royal Paladin,Ourobra,2023,"137,640,170,580",Open PvP
20,Pato Zedrin,Royal Paladin,Ourobra,2018,"136,607,068,469",Open PvP
21,Rodrigaaum,Royal Paladin,Inabra,2017,"136,512,117,087",Open PvP
22,Trakhinas,Royal Paladin,Inabra,2002,"133,466,080,607",Open PvP
23,Capetao Tipster,Royal Paladin,Inabra,1959,"125,108,428,494",Open PvP
24,Nonstop Bruno,Royal Paladin,Inabra,1956,"124,522,758,076",Open PvP
25,Zezinho Fallout,Royal Paladin,Ourobra,1947,"122,797,782,204",Open PvP
26,Gharen Pitbull Auau,Royal Paladin,Jadebra,1947,"122,670,652,567",Open PvP
27,Kuubiq,Royal Paladin,Thyria,1945,"122,370,672,710",Open PvP
28,Heyz zerp,Royal Paladin,Inabra,1936,"120,707,993,903",Open PvP
29,Exidysz,Royal Paladin,Honbra,1934,"120,242,705,445",Open PvP
30,Dukoth,Royal Paladin,Quelibra,1922,"117,971,767,190",Open PvP
31,Omel Quita Empleos,Royal Paladin,Vandera,1917,"117,204,299,737",Open PvP
32,Falkzao Supreme Emex,Royal Paladin,Havera,1910,"115,937,927,920",Open PvP
33,Dudopix Corp,Royal Paladin,Ferobra,1900,"114,041,420,589",Open PvP
34,Saullow,Royal Paladin,Rasteibra,1897,"113,551,573,390",Open PvP
35,Shawlim Zeroks,Royal Paladin,Rasteibra,1887,"111,731,398,849",Open PvP
36,Parabellum,Royal Paladin,Rasteibra,1869,"108,479,547,126",Open PvP
37,Relaxado Do Corre,Royal Paladin,Rasteibra,1866,"108,005,262,152",Open PvP
38,Jeremy Toretto,Royal Paladin,Lobera,1860,"107,018,600,181",Open PvP
39,Masterpali,Royal Paladin,Ferobra,1850,"105,352,162,847",Open PvP
40,Groku Fallout,Royal Paladin,Ourobra,1845,"104,394,483,726",Open PvP
41,Lucaaszin,Royal Paladin,Serdebra,1841,"103,739,867,980",Open PvP
42,Demigod of Reveng,Royal Paladin,Ferobra,1820,"100,256,364,089",Open PvP
43,Magnifik Danyveiosair,Royal Paladin,Inabra,1813,"99,150,099,173",Open PvP
44,Alfiler Berserker,Royal Paladin,Ferobra,1802,"97,338,535,916",Open PvP
45,Hefty Hans,Royal Paladin,Xyla,1783,"94,241,291,496",Open PvP
46,Franco Predator,Royal Paladin,Jadebra,1783,"94,187,348,955",Open PvP
47,Ness Kraveen,Royal Paladin,Inabra,1764,"91,279,948,766",Open PvP
48,Pupin Superstar,Royal Paladin,Ourobra,1759,"90,433,331,593",Open PvP
49,Bishop Daa Fuga,Royal Paladin,Honbra,1746,"88,538,118,616",Open PvP
50,Netozero,Royal Paladin,Quelibra,1729,"85,993,578,560",Open PvP
