Rank,Name,Vocation,World,Level,Points,WorldType
1,Khaos Poderoso,Master Sorcerer,Rasteibra,2515,"264,738,322,692",Open PvP
2,Goa Luccas,Master Sorcerer,Inabra,2357,"217,738,829,108",Open PvP
3,Syriz,Master Sorcerer,Thyria,2189,"174,396,658,081",Open PvP
4,Dany Ellmagnifico,Master Sorcerer,Inabra,2160,"167,580,849,914",Open PvP
5,Zonatto Bombinhams,Master Sorcerer,Honbra,2132,"161,212,779,898",Open PvP
6,Lichtsz,Master Sorcerer,Inabra,2068,"146,983,030,263",Open PvP
7,Goa Luccas Neto,Master Sorcerer,Ourobra,2055,"144,216,908,651",Open PvP
8,Neto Orangepodi,Master Sorcerer,Rasteibra,2047,"142,720,078,924",Open PvP
9,Toxic Ghost Esecee,Master Sorcerer,Havera,2041,"141,340,377,819",Open PvP
10,Ranny Zolnierz Elder,Master Sorcerer,Antica,2030,"139,215,506,886",Open PvP
11,Fraanco,Master Sorcerer,Jadebra,2030,"139,182,026,189",Open PvP
12,Chris Zeroum,Master Sorcerer,Ombra,2020,"137,064,499,765",Open PvP
13,Icarus Cltcansado,Master Sorcerer,Ourobra,2019,"136,808,743,580",Open PvP
14,Maza lov,Master Sorcerer,Rasteibra,2011,"135,305,031,189",Open PvP
15,Arc Mago Marujo,Master Sorcerer,Serdebra,2000,"132,951,939,985",Open PvP
16,Intenzao Supreme Emex,Master Sorcerer,Havera,1992,"131,464,449,907",Open PvP
17,Pedrin Aposentado,Master Sorcerer,Rasteibra,1987,"130,494,163,786",Open PvP
18,Chefao Magnifikdany,Sorcerer,Inabra,1972,"127,555,850,583",Open PvP
19,Leozinnxd,Master Sorcerer,Rasteibra,1966,"126,376,339,795",Open PvP
20,Murillaoloko,Master Sorcerer,Quelibra,1950,"123,304,444,638",Open PvP
21,Zedrin Ltda,Master Sorcerer,Ourobra,1942,"121,847,600,683",Open PvP
22,Hintz Dimavontadi,Master Sorcerer,Rasteibra,1936,"120,637,130,677",Open PvP
23,Divininho,Master Sorcerer,Ombra,1926,"118,836,833,202",Open PvP
24,Bertinho Enrikow,Master Sorcerer,Quelibra,1919,"117,487,648,616",Open PvP
25,Tonim Mage,Master Sorcerer,Jadebra,1913,"116,394,774,149",Open PvP
26,Yukiti,Master Sorcerer,Ourobra,1904,"114,697,885,512",Open PvP
27,Sir Wendoza,Master Sorcerer,Rasteibra,1903,"114,536,814,989",Open PvP
28,Lefay,Master Sorcerer,Honbra,1900,"114,075,286,491",Open PvP
29,Heinzinki,Master Sorcerer,Vunira,1891,"112,387,914,534",Open PvP
30,Sorin Amarelou,Master Sorcerer,Quelibra,1884,"111,228,287,967",Open PvP
31,Heitorx Zedrin,Master Sorcerer,Ourobra,1883,"111,018,869,919",Open PvP
32,Hellz Nagb,Master Sorcerer,Wintera,1883,"110,969,938,333",Open PvP
33,Doggosaurus,Master Sorcerer,Premia,1863,"107,473,739,992",Open PvP
34,Otaviul,Master Sorcerer,Inabra,1838,"103,258,905,009",Open PvP
35,Erius Mage,Master Sorcerer,Inabra,1834,"102,642,145,128",Open PvP
36,Epus,Master Sorcerer,Vunira,1830,"101,893,743,760",Open PvP
37,Wharlock,Master Sorcerer,Havera,1818,"99,933,042,073",Open PvP
38,Pedrin Ferias Infinita,Master Sorcerer,Rasteibra,1769,"91,987,988,836",Open PvP
39,Mourao Returns,Master Sorcerer,Rasteibra,1767,"91,735,919,834",Open PvP
40,Thor Fin Camisadez,Master Sorcerer,Honbra,1759,"90,430,022,462",Open PvP
41,Dragom Ball,Master Sorcerer,Talera,1757,"90,183,898,394",Open PvP
42,Shainy the Great,Master Sorcerer,Ourobra,1756,"90,012,743,324",Open PvP
43,Que Jon,Master Sorcerer,Serdebra,1739,"87,397,678,069",Open PvP
44,Magnifik Emperatordany,Master Sorcerer,Inabra,1734,"86,710,039,968",Open PvP
45,Baudao,Master Sorcerer,Serdebra,1716,"84,067,692,040",Open PvP
46,Remarkable Deco,Master Sorcerer,Inabra,1716,"83,991,706,115",Open PvP
47,Adorned Pouncer,Master Sorcerer,Honbra,1716,"83,947,452,543",Open PvP
48,Goa Luke,Master Sorcerer,Quelibra,1714,"83,669,843,801",Open PvP
49,Volkiz Emex,Master Sorcerer,Solidera,1704,"82,260,448,588",Open PvP
50,Ahoky,Master Sorcerer,Solidera,1700,"81,736,270,564",Open PvP
51,Uchiha Dono Tornabra,Master Sorcerer,Tornabra,1698,"81,415,865,353",Open PvP
52,Duzoco Inofensivo,Master Sorcerer,Jadebra,1698,"81,391,363,613",Open PvP
53,Niquit,Master Sorcerer,Antica,1696,"81,143,344,117",Open PvP
54,Dudodix,Master Sorcerer,Ferobra,1692,"80,581,870,163",Open PvP
55,Unstoppable Mozar,Master Sorcerer,Jadebra,1684,"79,315,046,934",Open PvP
56,Sorin Vilao,Master Sorcerer,Ourobra,1671,"77,563,485,908",Open PvP
57,Vepe Ohz,Master Sorcerer,Quelibra,1660,"76,011,154,152",Open PvP
58,Ze Zinho,Master Sorcerer,Ourobra,1659,"75,839,562,725",Open PvP
59,Sha Dowh,Master Sorcerer,Premia,1655,"75,377,535,233",Open PvP
60,Skabp Intolerante,Master Sorcerer,Ferobra,1652,"74,893,078,836",Open PvP
61,Onslaught Sorcerer,Master Sorcerer,Solidera,1651,"74,820,980,763",Open PvP
62,Jacm Bombiinha,Master Sorcerer,Ferobra,1648,"74,341,707,009",Open PvP
63,Zdzi Siek,Master Sorcerer,Peloria,1642,"73,603,087,875",Open PvP
64,Hera Kivaa Fallout,Master Sorcerer,Ourobra,1640,"73,327,163,897",Open PvP
65,Fael Gumpshrimp,Master Sorcerer,Quelibra,1626,"71,447,877,037",Open PvP
66,Teteu Endividado,Master Sorcerer,Honbra,1624,"71,178,616,391",Open PvP
67,Shoockerzim,Master Sorcerer,Inabra,1624,"71,150,399,166",Open PvP
68,Biellzinha,Master Sorcerer,Inabra,1621,"70,807,281,222",Open PvP
69,Young Talent,Master Sorcerer,Thyria,1617,"70,221,799,788",Open PvP
70,Smoking Killer,Master Sorcerer,Solidera,1616,"70,127,148,169",Open PvP
71,Fullgems Bidmeplx,Master Sorcerer,Lobera,1610,"69,297,715,665",Open PvP
72,Knacked,Master Sorcerer,Peloria,1604,"68,629,842,933",Open PvP
73,Khriszztoph,Master Sorcerer,Ombra,1603,"68,488,641,845",Open PvP
74,Bjo,Master Sorcerer,Quelibra,1601,"68,153,561,892",Open PvP
75,Cellio,Master Sorcerer,Rasteibra,1600,"68,064,020,538",Open PvP
76,Malu Manzan,Master Sorcerer,Serdebra,1595,"67,421,558,481",Open PvP
77,Mejo Vikee,Master Sorcerer,Thyria,1589,"66,704,914,474",Open PvP
78,Vitnho,Master Sorcerer,Tornabra,1580,"65,561,083,490",Open PvP
79,Riivv,Master Sorcerer,Antica,1577,"65,145,187,109",Open PvP
80,Inferno koox,Master Sorcerer,Thyria,1577,"65,116,706,108",Open PvP
81,Radamanthys Navy Seal,Master Sorcerer,Talera,1571,"64,419,277,954",Open PvP
82,Hat Kill Stealer,Master Sorcerer,Havera,1568,"64,043,459,882",Open PvP
83,Melinxd,Master Sorcerer,Rasteibra,1564,"63,615,841,579",Open PvP
84,Brutus Insane,Master Sorcerer,Rasteibra,1561,"63,242,778,639",Open PvP
85,Floky Monkey,Master Sorcerer,Thyria,1558,"62,883,636,048",Open PvP
86,Pekky Khamzai,Master Sorcerer,Antica,1555,"62,514,065,829",Open PvP
87,Yankoz Maestro,Master Sorcerer,Antica,1551,"61,979,952,940",Open PvP
88,Imperiious,Master Sorcerer,Lobera,1550,"61,869,799,712",Open PvP
89,Tatuazyyk,Master Sorcerer,Vunira,1545,"61,315,914,073",Open PvP
90,Closedfriends Fernandoo,Master Sorcerer,Jadebra,1540,"60,670,337,964",Open PvP
91,Tazari Windu,Master Sorcerer,Rasteibra,1535,"60,144,122,829",Open PvP
92,Bigboy Damage,Master Sorcerer,Thyria,1535,"60,097,946,812",Open PvP
93,Kardya Shelby,Master Sorcerer,Havera,1534,"59,999,235,251",Open PvP
