Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Rafaelkiller,Elite Knight,Gentebra,1905,152,Axe Fighting,2
2,Stepwise,Elite Knight,Descubra,603,148,Axe Fighting,2
3,Bad Sauce,Elite Knight,Havera,1107,146,Axe Fighting,2
4,Daedrith,Knight,Nefera,607,144,Axe Fighting,2
4,Jack Aubrey,Elite Knight,Premia,505,144,Axe Fighting,2
4,Machinbear,Elite Knight,Celebra,1110,144,Axe Fighting,2
4,Viggo Slayer,Elite Knight,Secura,1458,144,Axe Fighting,2
8,Galiazzi,Elite Knight,Ustebra,1179,143,Axe Fighting,2
8,Halloiv,Elite Knight,Gentebra,1458,143,Axe Fighting,2
8,Moose Tape,Elite Knight,Gladera,1768,143,Axe Fighting,2
11,Fabrkz,Elite Knight,Celebra,1275,142,Axe Fighting,2
11,Mo rgu,Elite Knight,Monza,2226,142,Axe Fighting,2
13,Sal Sah,Elite Knight,Gentebra,1198,141,Axe Fighting,2
13,Valegari,Elite Knight,Astera,1411,141,Axe Fighting,2
15,Hydan Aymon,Elite Knight,Nefera,275,140,Axe Fighting,2
15,Lacerator,Elite Knight,Inabra,1327,140,Axe Fighting,2
15,Markelito,Elite Knight,Celesta,1631,140,Axe Fighting,2
15,Rickzher Tank,Elite Knight,Issobra,2119,140,Axe Fighting,2
15,Rowen,Elite Knight,Solidera,1706,140,Axe Fighting,2
15,Thovix,Elite Knight,Bona,856,140,Axe Fighting,2
21,Awf,Elite Knight,Secura,1420,139,Axe Fighting,2
21,Bruneli Wayne,Elite Knight,Serdebra,2320,139,Axe Fighting,2
21,Chill Bomba,Elite Knight,Secura,1489,139,Axe Fighting,2
21,Coatl,Elite Knight,Solidera,1104,139,Axe Fighting,2
21,Divine Hallux,Elite Knight,Oceanis,1226,139,Axe Fighting,2
21,Don Winzer,Elite Knight,Yonabra,1027,139,Axe Fighting,2
21,Lecter,Elite Knight,Inabra,1921,139,Axe Fighting,2
21,Machado Purosangue,Elite Knight,Kalibra,1890,139,Axe Fighting,2
21,Quion,Elite Knight,Celesta,438,139,Axe Fighting,2
21,Rowdz,Elite Knight,Quelibra,1764,139,Axe Fighting,2
21,Rumpie,Elite Knight,Calmera,617,139,Axe Fighting,2
21,Vexcraw,Elite Knight,Rasteibra,1740,139,Axe Fighting,2
33,Aigler,Elite Knight,Quintera,322,138,Axe Fighting,2
33,Aldixa,Elite Knight,Premia,627,138,Axe Fighting,2
33,Burgando,Elite Knight,Peloria,493,138,Axe Fighting,2
33,Coragem Cao Covarde,Elite Knight,Ourobra,1958,138,Axe Fighting,2
33,Dudu Stonecutter,Elite Knight,Ombra,1945,138,Axe Fighting,2
33,Huxy,Elite Knight,Secura,1243,138,Axe Fighting,2
33,Instalek,Elite Knight,Secura,1087,138,Axe Fighting,2
33,Jegue Chan,Elite Knight,Nefera,1294,138,Axe Fighting,2
33,Jirren,Elite Knight,Peloria,1455,138,Axe Fighting,2
33,King Danter,Elite Knight,Celesta,2389,138,Axe Fighting,2
33,Mystrucath,Elite Knight,Luminera,1378,138,Axe Fighting,2
33,Warriior Skeet,Elite Knight,Astera,1557,138,Axe Fighting,2
33,Womolu,Elite Knight,Celebra,1766,138,Axe Fighting,2
33,Wylliam Wallace,Elite Knight,Wintera,1884,138,Axe Fighting,2
47,Caio Sama,Elite Knight,Nefera,1190,137,Axe Fighting,2
47,Clavaty,Elite Knight,Nefera,800,137,Axe Fighting,2
47,Cronyco,Elite Knight,Refugia,1408,137,Axe Fighting,2
47,Dacyziin,Elite Knight,Kalibra,1863,137,Axe Fighting,2
47,Imortus Reaper,Elite Knight,Belobra,1232,137,Axe Fighting,2
47,Kamus Myth,Elite Knight,Serdebra,877,137,Axe Fighting,2
47,Lfo Onethreeseven axe,Elite Knight,Karmeya,1884,137,Axe Fighting,2
47,Nershil,Elite Knight,Secura,1003,137,Axe Fighting,2
47,Old Lapa,Elite Knight,Nefera,1569,137,Axe Fighting,2
47,Pankzy,Elite Knight,Celesta,1039,137,Axe Fighting,2
47,Piratov,Elite Knight,Antica,1026,137,Axe Fighting,2
