Rank,Name,Vocation,World,Level,Points,WorldType
1,Edinho Rancaprofit,Royal Paladin,Serdebra,2341,"213,384,812,262",Open PvP
2,Chris Dictador,Royal Paladin,Ombra,2266,"193,520,311,819",Open PvP
3,Felix Hastalo Infierno,Royal Paladin,Inabra,2247,"188,757,899,065",Open PvP
4,Recall Poderoso,Royal Paladin,Rasteibra,2233,"185,127,942,933",Open PvP
5,Pedrin Impostor,Royal Paladin,Rasteibra,2222,"182,448,544,206",Open PvP
6,Almighty Nova,Royal Paladin,Wintera,2172,"170,417,414,090",Open PvP
7,Ellmagnifinho Danynho,Royal Paladin,Inabra,2158,"167,198,743,040",Open PvP
8,Chapoca Bahia,Royal Paladin,Inabra,2156,"166,744,519,849",Open PvP
9,Hellz Nogb,Royal Paladin,Wintera,2154,"166,311,281,230",Open PvP
10,Fael Fahurr,Royal Paladin,Quelibra,2153,"166,049,966,087",Open PvP
11,Edi Paladino,Royal Paladin,Honbra,2134,"161,554,278,347",Open PvP
12,Turco Loko,Royal Paladin,Inabra,2078,"149,145,890,290",Open PvP
13,Tonim Sniper,Royal Paladin,Jadebra,2074,"148,435,544,871",Open PvP
14,Szmuggy,Royal Paladin,Thyria,2066,"146,594,489,066",Open PvP
15,Pedrin Feliznatal,Royal Paladin,Ourobra,2059,"145,132,991,274",Open PvP
16,Kalashnkov,Royal Paladin,Rasteibra,2053,"143,873,757,201",Open PvP
17,Maarculino,Royal Paladin,Jadebra,2036,"140,439,433,299",Open PvP
18,Partyboost,Royal Paladin,Vunira,2034,"139,880,543,916",Open PvP
19,Sorin Enterpriise,Royal Paladin,Ourobra,2032,"139,560,277,840",Open PvP
20,Pato Zedrin,Royal Paladin,Ourobra,2028,"138,681,088,113",Open PvP
21,Rodrigaaum,Royal Paladin,Inabra,2023,"137,714,687,351",Open PvP
22,Trakhinas,Royal Paladin,Inabra,2008,"134,674,981,446",Open PvP
23,Capetao Tipster,Royal Paladin,Inabra,1968,"126,746,840,995",Open PvP
24,Nonstop Bruno,Royal Paladin,Inabra,1963,"125,728,806,429",Open PvP
25,Gharen Pitbull Auau,Royal Paladin,Jadebra,1953,"123,816,622,801",Open PvP
26,Kuubiq,Royal Paladin,Thyria,1952,"123,746,858,252",Open PvP
27,Zezinho Fallout,Royal Paladin,Ourobra,1952,"123,671,861,965",Open PvP
28,Heyz zerp,Royal Paladin,Inabra,1946,"122,604,962,039",Open PvP
29,Exidysz,Royal Paladin,Honbra,1940,"121,493,493,764",Open PvP
30,Dukoth,Royal Paladin,Quelibra,1926,"118,713,208,302",Open PvP
31,Omel Quita Empleos,Royal Paladin,Vandera,1918,"117,299,625,126",Open PvP
32,Falkzao Supreme Emex,Royal Paladin,Havera,1918,"117,288,037,910",Open PvP
33,Dudopix Corp,Royal Paladin,Ferobra,1905,"114,993,965,170",Open PvP
34,Saullow,Royal Paladin,Rasteibra,1905,"114,957,793,599",Open PvP
35,Shawlim Zeroks,Royal Paladin,Rasteibra,1888,"111,910,237,383",Open PvP
36,Parabellum,Royal Paladin,Rasteibra,1876,"109,757,928,802",Open PvP
37,Relaxado Do Corre,Royal Paladin,Rasteibra,1869,"108,635,647,861",Open PvP
38,Jeremy Toretto,Royal Paladin,Lobera,1865,"107,834,364,487",Open PvP
39,Masterpali,Royal Paladin,Ferobra,1858,"106,658,460,950",Open PvP
40,Lucaaszin,Royal Paladin,Serdebra,1849,"105,132,436,441",Open PvP
41,Groku Fallout,Royal Paladin,Ourobra,1849,"105,060,580,941",Open PvP
42,Demigod of Reveng,Royal Paladin,Ferobra,1824,"100,834,328,597",Open PvP
43,Magnifik Danyveiosair,Paladin,Inabra,1813,"99,150,099,173",Open PvP
44,Alfiler Berserker,Royal Paladin,Ferobra,1811,"98,727,002,221",Open PvP
45,Hefty Hans,Royal Paladin,Xyla,1788,"94,975,901,029",Open PvP
46,Franco Predator,Royal Paladin,Jadebra,1783,"94,271,736,592",Open PvP
47,Pupin Superstar,Royal Paladin,Ourobra,1770,"92,143,903,749",Open PvP
48,Ness Kraveen,Royal Paladin,Inabra,1764,"91,262,434,349",Open PvP
49,Bishop Daa Fuga,Royal Paladin,Honbra,1754,"89,672,643,523",Open PvP
50,Netozero,Royal Paladin,Quelibra,1737,"87,135,459,042",Open PvP
51,Playfor Food,Royal Paladin,Inabra,1728,"85,703,095,786",Open PvP
52,Shainy the Best,Royal Paladin,Ourobra,1718,"84,249,424,410",Open PvP
53,Azka Lunits,Royal Paladin,Ombra,1716,"83,924,086,490",Open PvP
54,Kayhn Kuroi Tenshi,Royal Paladin,Jadebra,1712,"83,471,255,857",Open PvP
55,Kbessza,Royal Paladin,Inabra,1708,"82,766,961,045",Open PvP
56,Piterlanz Kser,Royal Paladin,Lobera,1706,"82,579,200,902",Open PvP
57,Gustavo Endividado,Royal Paladin,Ourobra,1706,"82,489,431,722",Open PvP
58,Ghost of Chimera,Royal Paladin,Solidera,1705,"82,402,734,786",Open PvP
59,Smoker,Royal Paladin,Serdebra,1703,"82,073,798,356",Open PvP
60,Diiih Foradesi,Royal Paladin,Quelibra,1698,"81,323,533,994",Open PvP
61,Tomoho,Royal Paladin,Antica,1698,"81,318,518,161",Open PvP
