Rank,Name,Vocation,World,Level,Points,category,vocation_id
1,Celso,Elder Druid,Nevia,1641,"25,810",Boss Points,0
1,Rockstacker Cleve,Elder Druid,Nevia,1208,"25,810",Boss Points,0
3,Alpha Charly,Royal Paladin,Gentebra,2027,"25,790",Boss Points,0
4,Shay Jomyne,Elder Druid,Celebra,1384,"25,475",Boss Points,0
5,Incredible Toby,Elder Druid,Secura,887,"25,280",Boss Points,0
6,Mathias Bynens,Royal Paladin,Vunira,1415,"25,240",Boss Points,0
7,Jack Sensacional,Elite Knight,Belobra,1597,"25,195",Boss Points,0
8,Werewolf Shorti,Elite Knight,Secura,1308,"25,015",Boss Points,0
9,Thraphik,Elder Druid,Kalibra,1016,"25,005",Boss Points,0
10,Kilseno,Royal Paladin,Secura,1262,"25,000",Boss Points,0
11,Sweaty Kamish,Elite Knight,Secura,932,"24,995",Boss Points,0
12,Alpha Charlyne,Exalted Monk,Kalibra,679,"24,820",Boss Points,0
13,Adriano Dourden,Royal Paladin,Secura,920,"24,755",Boss Points,0
14,Fully,Royal Paladin,Secura,1100,"24,745",Boss Points,0
15,Szympkovsky,Elite Knight,Antica,1058,"24,625",Boss Points,0
16,Benedicto De Amorim,Royal Paladin,Inabra,844,"24,575",Boss Points,0
16,Torimex,Elite Knight,Harmonia,1332,"24,575",Boss Points,0
18,John the Developer,Elite Knight,Kalibra,1215,"24,540",Boss Points,0
19,Corni Sukurs,Elder Druid,Secura,1020,"24,505",Boss Points,0
19,Fina Sirius,Elite Knight,Gentebra,1632,"24,505",Boss Points,0
21,Little Walking Teddy,Royal Paladin,Yonabra,1325,"24,490",Boss Points,0
22,Quro,Elder Druid,Belobra,893,"24,480",Boss Points,0
23,Myrkz,Royal Paladin,Lobera,1513,"24,450",Boss Points,0
24,Valiiant krzychu,Royal Paladin,Secura,1241,"24,440",Boss Points,0
25,Ares Coldhands,Royal Paladin,Inabra,1368,"24,360",Boss Points,0
25,Ravenovsky,Royal Paladin,Secura,844,"24,360",Boss Points,0
27,Fizoleczek,Elite Knight,Antica,861,"24,350",Boss Points,0
27,Picture,Elite Knight,Antica,953,"24,350",Boss Points,0
29,Itzz Anastasia,Elder Druid,Monza,904,"24,315",Boss Points,0
30,Pangping,Royal Paladin,Karmeya,1395,"24,300",Boss Points,0
31,Broccolini,Elite Knight,Gravitera,1179,"24,275",Boss Points,0
32,Ma ri,Elder Druid,Gentebra,1442,"24,230",Boss Points,0
33,Palaz,Royal Paladin,Ourobra,1359,"24,220",Boss Points,0
34,Kamastinx,Elite Knight,Antica,938,"24,205",Boss Points,0
35,Tschas,Elder Druid,Secura,1022,"24,200",Boss Points,0
36,David in Panic,Elder Druid,Inabra,1237,"24,190",Boss Points,0
37,Cavaleiro Zyn,Royal Paladin,Gentebra,1199,"24,175",Boss Points,0
38,Flowing Rain,Elite Knight,Yonabra,1229,"24,135",Boss Points,0
39,Stugaan,Elite Knight,Gravitera,1377,"24,120",Boss Points,0
40,Nerala,Elite Knight,Secura,845,"24,105",Boss Points,0
41,Wuwu Eter,Elder Druid,Ustebra,962,"24,090",Boss Points,0
42,Polarek,Elder Druid,Secura,828,"24,085",Boss Points,0
43,Bullistic,Royal Paladin,Lobera,1401,"24,055",Boss Points,0
43,Serby,Royal Paladin,Nevia,1165,"24,055",Boss Points,0
45,Uriel Simacek,Elite Knight,Kalibra,904,"23,985",Boss Points,0
46,Lord Strikee,Elder Druid,Harmonia,1357,"23,980",Boss Points,0
47,Acidd,Master Sorcerer,Descubra,1084,"23,960",Boss Points,0
48,Tavadur,Royal Paladin,Secura,509,"23,950",Boss Points,0
49,Veld,Master Sorcerer,Kalibra,724,"23,935",Boss Points,0
50,Rayn Shus,Elite Knight,Celebra,1018,"23,905",Boss Points,0
51,Gutzim,Knight,Inabra,803,"23,890",Boss Points,0
52,Nefii,Royal Paladin,Nefera,924,"23,870",Boss Points,0
53,Blaina Siwynia,Master Sorcerer,Antica,974,"23,855",Boss Points,0
54,Sibon Faur,Elite Knight,Vunira,1189,"23,845",Boss Points,0
54,Special Frank,Elder Druid,Serdebra,1519,"23,845",Boss Points,0
56,Korixos,Master Sorcerer,Refugia,1247,"23,780",Boss Points,0
57,Koztos,Elite Knight,Secura,887,"23,690",Boss Points,0
58,Ioo,Elder Druid,Astera,1225,"23,625",Boss Points,0
59,Cinek Lubon,Royal Paladin,Harmonia,857,"23,620",Boss Points,0
60,Popolos Paladino,Royal Paladin,Secura,899,"23,610",Boss Points,0
61,Cornus Mass,Royal Paladin,Monza,765,"23,595",Boss Points,0
62,Ezudux,Royal Paladin,Gentebra,2019,"23,550",Boss Points,0
63,Spirall fall,Elite Knight,Quelibra,1208,"23,470",Boss Points,0
64,Machado Purosangue,Elite Knight,Kalibra,1893,"23,445",Boss Points,0
64,Offf Liiineee,Elite Knight,Wintera,767,"23,445",Boss Points,0
66,Elvenor,Royal Paladin,Celesta,1333,"23,440",Boss Points,0
67,Kaos Boss,Elite Knight,Nefera,793,"23,410",Boss Points,0
68,Dolaa,Elite Knight,Bona,828,"23,350",Boss Points,0
69,Brave,Elder Druid,Lobera,1128,"23,330",Boss Points,0
69,Suguimoto,Elder Druid,Descubra,1521,"23,330",Boss Points,0
71,Magier kalinowa,Elder Druid,Bona,831,"23,320",Boss Points,0
72,Gogrex,Royal Paladin,Xyla,1239,"23,300",Boss Points,0
73,Slodka Ulcia,Royal Paladin,Secura,782,"23,285",Boss Points,0
74,Guii,Elite Knight,Celebra,2403,"23,245",Boss Points,0
75,Boba Addon,Elite Knight,Harmonia,1153,"23,235",Boss Points,0
76,Painus,Elder Druid,Jacabra,704,"23,205",Boss Points,0
77,Konii Tuptii,Elder Druid,Monza,877,"23,200",Boss Points,0
77,Sora,Elder Druid,Astera,1433,"23,200",Boss Points,0
79,Downdolino,Royal Paladin,Nefera,1297,"23,195",Boss Points,0
79,Lady Tafuri,Elite Knight,Nefera,1829,"23,195",Boss Points,0
81,Miyu Amaya,Elder Druid,Karmeya,1733,"23,165",Boss Points,0
82,Sokon Eltanke,Master Sorcerer,Ustebra,1295,"23,145",Boss Points,0
83,Thee Hugod,Elite Knight,Honbra,1168,"23,090",Boss Points,0
84,Amazing Raffu,Royal Paladin,Gravitera,1237,"23,010",Boss Points,0
85,Mi Vingarei,Elite Knight,Inabra,689,"23,000",Boss Points,0
86,Kado Leads,Master Sorcerer,Celebra,860,"22,940",Boss Points,0
87,Dcko,Master Sorcerer,Secura,941,"22,910",Boss Points,0
88,Mozenako,Elite Knight,Kalibra,628,"22,870",Boss Points,0
89,Wingboy,Master Sorcerer,Rasteibra,1334,"22,865",Boss Points,0
90,Neverlucky Wills,Royal Paladin,Venebra,959,"22,855",Boss Points,0
91,Shidden,Royal Paladin,Gladibra,1287,"22,850",Boss Points,0
92,Cavots,Elite Knight,Ustebra,1017,"22,830",Boss Points,0
93,Aretax Naza,Elite Knight,Belobra,1041,"22,820",Boss Points,0
94,Zarakson,Royal Paladin,Secura,1308,"22,810",Boss Points,0
95,Little Flor,Elder Druid,Inabra,654,"22,790",Boss Points,0
96,Defense Intelligence Agency,Master Sorcerer,Dia,995,"22,785",Boss Points,0
96,Huxy,Elite Knight,Secura,1244,"22,785",Boss Points,0
98,Ominae Yu,Elite Knight,Yonabra,1725,"22,780",Boss Points,0
99,Ichigo Dimmadome,Royal Paladin,Antica,1111,"22,765",Boss Points,0
100,Pauleta de Xantera,Royal Paladin,Inabra,998,"22,750",Boss Points,0
101,Fanas,Elder Druid,Lobera,1448,"22,730",Boss Points,0
101,Lady Meredith,Royal Paladin,Bona,751,"22,730",Boss Points,0
103,Lord Marshals,Royal Paladin,Peloria,1612,"22,715",Boss Points,0
104,Nymerja,Royal Paladin,Vunira,745,"22,680",Boss Points,0
104,Zdenerwowana Lokomotywa,Royal Paladin,Dia,1030,"22,680",Boss Points,0
106,Lady Bengals,Royal Paladin,Kalibra,820,"22,655",Boss Points,0
107,Petersburski Elektryk,Elder Druid,Antica,560,"22,595",Boss Points,0
108,Joker Hazard,Elite Knight,Belobra,1092,"22,560",Boss Points,0
109,Losing Sleep,Master Sorcerer,Yonabra,1103,"22,555",Boss Points,0
110,Marcus Eon,Elite Knight,Thyria,907,"22,545",Boss Points,0
111,Ano Vix,Elder Druid,Gravitera,1103,"22,540",Boss Points,0
112,Arinth,Elite Knight,Monza,2143,"22,495",Boss Points,0
113,Krwawy Larck,Royal Paladin,Thyria,710,"22,490",Boss Points,0
114,Krysson,Royal Paladin,Vunira,1001,"22,470",Boss Points,0
115,Demon Joselita,Royal Paladin,Quelibra,1150,"22,450",Boss Points,0
116,Asphaltus,Elite Knight,Bona,863,"22,440",Boss Points,0
117,Guardian'Henry,Elite Knight,Kalibra,1149,"22,430",Boss Points,0
