Rank,Name,Vocation,World,Level,Score,category,vocation_id
1,Goraca,Master Sorcerer,Bona,2894,"11,428",Drome Score,0
2,Hero Reis,Royal Paladin,Astera,2338,"11,397",Drome Score,0
3,Bobeek,Elder Druid,Bona,2898,"11,385",Drome Score,0
4,Ferangel,Royal Paladin,Bona,2520,"11,259",Drome Score,0
5,Smoothyz,Royal Paladin,Kalibra,2284,"11,141",Drome Score,0
6,Vitiinn,Royal Paladin,Belobra,2101,"11,024",Drome Score,0
7,Haarin,Elder Druid,Monza,1720,"10,961",Drome Score,0
8,Hiro Teensina,Elder Druid,Gentebra,2111,"10,950",Drome Score,0
9,Judge,Royal Paladin,Celebra,1875,"10,902",Drome Score,0
10,Likwidatorr,Elder Druid,Monza,1721,"10,863",Drome Score,0
11,Rayo,Royal Paladin,Gentebra,2372,"10,860",Drome Score,0
12,Xenge Teensina,Elite Knight,Gentebra,2072,"10,859",Drome Score,0
13,Szmuggy,Royal Paladin,Thyria,2066,"10,767",Drome Score,0
14,Syriz,Master Sorcerer,Thyria,2195,"10,735",Drome Score,0
15,Sage Baw,Elder Druid,Belobra,2141,"10,662",Drome Score,0
16,Marculino the Titan,Elite Knight,Kalibra,2375,"10,637",Drome Score,0
17,Warlord Leonny,Royal Paladin,Belobra,2706,"10,623",Drome Score,0
18,Darkz Leo,Master Sorcerer,Gentebra,1879,"10,598",Drome Score,0
19,Teus,Master Sorcerer,Descubra,2552,"10,558",Drome Score,0
20,Apex Pierre,Royal Paladin,Epoca,1859,"10,554",Drome Score,0
21,Mirotth,Elite Knight,Belobra,1969,"10,553",Drome Score,0
22,Rayzack,Master Sorcerer,Descubra,1770,"10,544",Drome Score,0
23,Ezudux,Royal Paladin,Gentebra,2019,"10,524",Drome Score,0
24,Ranny Zolnierz Elder,Master Sorcerer,Antica,2036,"10,517",Drome Score,0
25,Daso II,Royal Paladin,Antica,1605,"10,511",Drome Score,0
26,Exorinho,Elite Knight,Thyria,1992,"10,489",Drome Score,0
27,Al Meow,Royal Paladin,Thyria,1653,"10,420",Drome Score,0
28,Petalchaser,Royal Paladin,Nefera,1625,"10,397",Drome Score,0
29,Arinth,Elite Knight,Monza,2143,"10,365",Drome Score,0
30,Dillon Duenodefirmera,Elder Druid,Firmera,1949,"10,351",Drome Score,0
30,Lecter,Elite Knight,Inabra,1922,"10,351",Drome Score,0
32,Fanas,Elder Druid,Lobera,1448,"10,333",Drome Score,0
33,Lady Tafuri,Elite Knight,Nefera,1829,"10,313",Drome Score,0
34,Jaruga,Royal Paladin,Nevia,1545,"10,279",Drome Score,0
35,Eternal Ichigo Kurosaki,Elite Knight,Astera,1685,"10,277",Drome Score,0
36,Octuous,Elder Druid,Lobera,1746,"10,268",Drome Score,0
37,Almom,Elite Knight,Inabra,1874,"10,256",Drome Score,0
38,Velix,Elite Knight,Calmera,1648,"10,250",Drome Score,0
39,Alphahorcrux,Elite Knight,Havera,1640,"10,214",Drome Score,0
40,Warlord Bread,Elder Druid,Belobra,2703,"10,207",Drome Score,0
41,Uhaacz,Elder Druid,Karmeya,2335,"10,164",Drome Score,0
42,Tomoho,Royal Paladin,Antica,1698,"10,162",Drome Score,0
43,Ale Devasso,Royal Paladin,Collabra,1830,"10,161",Drome Score,0
44,Piatka,Royal Paladin,Harmonia,1754,"10,156",Drome Score,0
45,Szimix,Elder Druid,Celesta,2567,"10,099",Drome Score,0
46,Angel Pro Damage,Elder Druid,Yonabra,2000,"10,093",Drome Score,0
47,Szechuan Sauce,Royal Paladin,Xyla,1368,"10,088",Drome Score,0
48,Kovacsz,Master Sorcerer,Belobra,1965,"10,077",Drome Score,0
49,Alpha Charly,Royal Paladin,Gentebra,2027,"10,072",Drome Score,0
50,Danan the shihan,Elite Knight,Quintera,1659,"10,069",Drome Score,0
51,Sofi Nie,Elite Knight,Havera,1011,"10,066",Drome Score,0
52,Akkrilus,Royal Paladin,Celesta,953,"10,060",Drome Score,0
53,Baker Paladin,Royal Paladin,Pacera,1510,"10,057",Drome Score,0
54,Mo rgu,Elite Knight,Monza,2232,"10,054",Drome Score,0
55,Shounan,Master Sorcerer,Belobra,1944,"10,049",Drome Score,0
56,Special Frank,Elder Druid,Serdebra,1519,"10,046",Drome Score,0
57,Avarr,Royal Paladin,Premia,1465,"10,023",Drome Score,0
58,Mokolokinho,Elder Druid,Belobra,1875,"10,006",Drome Score,0
59,Rudi Paladean,Royal Paladin,Peloria,1611,"9,968",Drome Score,0
60,Chinese Fighting,Elder Druid,Lobera,1261,"9,958",Drome Score,0
61,Vexcraw,Elite Knight,Rasteibra,1743,"9,952",Drome Score,0
62,Soiji,Elite Knight,Inabra,2029,"9,947",Drome Score,0
63,Judgementdays,Elder Druid,Calmera,2035,"9,946",Drome Score,0
64,Padre Invierno,Elder Druid,Luminera,1791,"9,942",Drome Score,0
65,Aegoth Darko,Master Sorcerer,Havera,1374,"9,937",Drome Score,0
66,Nasty Kasper,Royal Paladin,Antica,1257,"9,932",Drome Score,0
67,Sabziro,Royal Paladin,Vunira,1592,"9,922",Drome Score,0
68,Caffeina Implacavel,Master Sorcerer,Kalibra,2342,"9,910",Drome Score,0
69,Kuubiq,Royal Paladin,Thyria,1952,"9,883",Drome Score,0
70,Mendanha,Master Sorcerer,Belobra,1365,"9,849",Drome Score,0
71,Kharsek,Elite Knight,Gladera,1985,"9,848",Drome Score,0
72,Zezinho Eurofeer,Elite Knight,Ourobra,2004,"9,824",Drome Score,0
73,Licotur,Royal Paladin,Ombra,1437,"9,806",Drome Score,0
74,Hermaan,Royal Paladin,Monza,1947,"9,799",Drome Score,0
75,Skum Rayon,Royal Paladin,Luminera,1550,"9,794",Drome Score,0
76,Kronek,Royal Paladin,Firmera,1774,"9,772",Drome Score,0
77,Nozferato,Master Sorcerer,Quelibra,1536,"9,771",Drome Score,0
78,Machado Purosangue,Elite Knight,Kalibra,1893,"9,738",Drome Score,0
