Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Crossfox Rave,None,Lobera,70,124,Fishing,0
2,Cave Rat,None,Nefera,64,121,Fishing,0
3,Kobtwo,Druid,Calmera,103,113,Fishing,0
4,Jakubabka,Elite Knight,Monza,732,112,Fishing,0
4,Manvill,Royal Paladin,Bona,322,112,Fishing,0
4,Mephiw,Elder Druid,Celesta,206,112,Fishing,0
7,Zapalony Wedkarz,Knight,Karmeya,36,111,Fishing,0
8,Aniu Kete,Elite Knight,Venebra,20,109,Fishing,0
8,Kelfo,Knight,Nefera,81,109,Fishing,0
8,Souleron Gravax,Master Sorcerer,Calmera,291,109,Fishing,0
11,Guerrero De Las Sombras,Elite Knight,Antica,1210,108,Fishing,0
12,Kic Zajec,None,Peloria,57,107,Fishing,0
12,Knight Roronoa Zoro,Knight,Pacera,206,107,Fishing,0
12,Thiaguinho Cesar,Knight,Etebra,16,107,Fishing,0
15,Ally Druid,Elder Druid,Talera,28,104,Fishing,0
15,Hadoukeen,Elite Knight,Firmera,396,104,Fishing,0
15,Wai lk,None,Antica,62,104,Fishing,0
18,Katapatyy,Elite Knight,Harmonia,489,103,Fishing,0
18,Loranthor,Royal Paladin,Gentebra,260,103,Fishing,0
18,Nootaikok,Knight,Kalibra,17,103,Fishing,0
21,Baker Paladin,Royal Paladin,Pacera,1510,102,Fishing,0
21,Bolo de'lolo,Elite Knight,Refugia,286,102,Fishing,0
21,Diigoo,Paladin,Peloria,410,102,Fishing,0
21,Lesterzenho,Master Sorcerer,Antica,121,102,Fishing,0
21,Mystic Stayer,None,Gladera,136,102,Fishing,0
21,Tcosta,Knight,Descubra,68,102,Fishing,0
21,Vis Pacem,Sorcerer,Nefera,102,102,Fishing,0
21,Wanda Mosketao,Master Sorcerer,Vunira,59,102,Fishing,0
29,Dupid'Knight,Elite Knight,Inabra,214,101,Fishing,0
29,Ellenroh Elessedil,Master Sorcerer,Secura,304,101,Fishing,0
29,Hermio Rookstayerka,None,Vunira,105,101,Fishing,0
29,Kinah Verde,Elite Knight,Gladera,150,101,Fishing,0
29,Sale Kyon,Master Sorcerer,Luminera,236,101,Fishing,0
29,Tiro Certo Gyn,Royal Paladin,Kalibra,410,101,Fishing,0
35,Almighty Max,Elite Knight,Secura,213,100,Fishing,0
35,Harv Heimdallsson,Elite Knight,Peloria,342,100,Fishing,0
35,Hipopotamus Druid,Elder Druid,Harmonia,53,100,Fishing,0
35,Jufe Desoncido,None,Lobera,92,100,Fishing,0
35,Laufer,Elder Druid,Astera,101,100,Fishing,0
35,Marishka'Soul,Elder Druid,Nefera,210,100,Fishing,0
35,Maytzuk,Knight,Celebra,202,100,Fishing,0
35,Nareull The Fisherman,Elite Knight,Solidera,20,100,Fishing,0
35,Nekhronoz,None,Wintera,171,100,Fishing,0
35,Quest Power,None,Ustebra,2,100,Fishing,0
35,Squint Zebra,Master Sorcerer,Astera,120,100,Fishing,0
35,Wredein,Elder Druid,Pacera,256,100,Fishing,0
47,Aura Hellbender,Elder Druid,Secura,412,99,Fishing,0
47,Bladzinhow,Sorcerer,Menera,110,99,Fishing,0
47,Curufiny,Royal Paladin,Monza,180,99,Fishing,0
47,Don von Crypt,Elite Knight,Lobera,120,99,Fishing,0
47,Dunha on Chimera,Master Sorcerer,Talera,54,99,Fishing,0
47,Dynamiic,Master Sorcerer,Lobera,78,99,Fishing,0
47,Eca Maga,Elder Druid,Belobra,607,99,Fishing,0
47,Hydan Aymon,Elite Knight,Nefera,275,99,Fishing,0
47,Its Derass,Knight,Tornabra,8,99,Fishing,0
47,Lipera Legend,Elite Knight,Refugia,512,99,Fishing,0
47,Sameuly,Elite Knight,Antica,802,99,Fishing,0
58,Alvene Thoma,Knight,Karmeya,12,98,Fishing,0
58,Greg the Witcher,Master Sorcerer,Refugia,127,98,Fishing,0
58,Magic Celesta,Master Sorcerer,Celesta,139,98,Fishing,0
58,Mataxi Wonka,Elder Druid,Pacera,244,98,Fishing,0
58,Next'devil,Elite Knight,Gladera,119,98,Fishing,0
58,Ol Punchy,Elite Knight,Calmera,170,98,Fishing,0
58,Zikzy,Knight,Ustebra,16,98,Fishing,0
65,Amyno Eoxim,Knight,Refugia,236,97,Fishing,0
65,Darth Cook,Elite Knight,Lobera,70,97,Fishing,0
65,Harvalien,None,Karmeya,144,97,Fishing,0
65,Kinjou,Elite Knight,Lobera,108,97,Fishing,0
65,Levy Tran,Elite Knight,Epoca,718,97,Fishing,0
65,Lindinha de Azul,Elder Druid,Serdebra,66,97,Fishing,0
65,Malchi Dokitz,Knight,Bona,36,97,Fishing,0
65,Master Dzidzi,Elder Druid,Havera,84,97,Fishing,0
65,Mummie Knight,Elite Knight,Secura,59,97,Fishing,0
65,Prince'Magician,Master Sorcerer,Bona,92,97,Fishing,0
75,Ameriov Rookstayer,None,Vunira,71,96,Fishing,0
75,Druida Mak,Elder Druid,Pacera,39,96,Fishing,0
75,Dunric Van,None,Zunera,62,96,Fishing,0
75,Fabreq,None,Monza,117,96,Fishing,0
75,Fader Anders,Sorcerer,Monza,355,96,Fishing,0
75,Fighter Mick,Elite Knight,Nefera,390,96,Fishing,0
75,Gaxeo Spinngista,Monk,Celesta,8,96,Fishing,0
75,Ghaort,Elder Druid,Refugia,43,96,Fishing,0
75,Hellsoul Roz,Sorcerer,Belobra,334,96,Fishing,0
75,Hipsomnus,Elite Knight,Menera,170,96,Fishing,0
75,Ikki The Cat,Sorcerer,Kalibra,368,96,Fishing,0
75,Jojozinha,Master Sorcerer,Zunera,57,96,Fishing,0
75,Kali Alio,Knight,Luminera,15,96,Fishing,0
75,Kel Darkwood,Druid,Refugia,68,96,Fishing,0
75,Kire Mimo Chokolat,Knight,Nefera,261,96,Fishing,0
75,Makavelliz,Master Sorcerer,Lobera,62,96,Fishing,0
75,Mela Teru,None,Bona,52,96,Fishing,0
75,Nimb Darkblood,Elite Knight,Calmera,104,96,Fishing,0
75,Pescado De Antica,Druid,Antica,18,96,Fishing,0
75,Rainha de Edron,Elder Druid,Astera,119,96,Fishing,0
75,Shaula,Druid,Peloria,133,96,Fishing,0
96,Abraxorix,Royal Paladin,Premia,332,95,Fishing,0
96,Angelica Costa,Elder Druid,Luminera,209,95,Fishing,0
96,Daniel Sao Paulino,Master Sorcerer,Gladera,129,95,Fishing,0
96,Eulalie Moe,Elder Druid,Talera,30,95,Fishing,0
96,Ninrode Warrior,Knight,Havera,235,95,Fishing,0
96,Obolix,Knight,Vunira,210,95,Fishing,0
96,Osfurg,Elite Knight,Wintera,696,95,Fishing,0
96,Sayguner,Elder Druid,Thyria,140,95,Fishing,0
96,Tezriane,Master Sorcerer,Astera,149,95,Fishing,0
96,Tharkas,Royal Paladin,Antica,160,95,Fishing,0
96,Vihio,None,Monza,2,95,Fishing,0
107,Alexia de Martinez,Elite Knight,Gladera,381,94,Fishing,0
107,Demon Rook'stayer,None,Thyria,33,94,Fishing,0
107,Enry,Elite Knight,Thyria,54,94,Fishing,0
107,General Netdown,Elite Knight,Ustebra,51,94,Fishing,0
107,Godeo Abri,Master Sorcerer,Havera,129,94,Fishing,0
107,Gray Mouser,None,Havera,41,94,Fishing,0
107,Kaos Barbarian,Elite Knight,Gladera,443,94,Fishing,0
107,Lady skorpia,Elder Druid,Peloria,105,94,Fishing,0
107,Lould,Elite Knight,Talera,234,94,Fishing,0
107,Nosik,Elder Druid,Peloria,100,94,Fishing,0
107,Rei Wojcik,Elite Knight,Ustebra,81,94,Fishing,0
107,Sadas Yosindius,Master Sorcerer,Astera,377,94,Fishing,0
107,Sir Dragsalot,Elite Knight,Lobera,359,94,Fishing,0
107,The Cap,None,Zuna,74,94,Fishing,0
107,Zabevo,Elder Druid,Calmera,130,94,Fishing,0
122,Bladiadik,Master Sorcerer,Celesta,515,93,Fishing,0
122,Cuhrir,Master Sorcerer,Pacera,103,93,Fishing,0
122,Curse of the Dragon,Elite Knight,Antica,121,93,Fishing,0
122,Dara Dramon,Elder Druid,Peloria,93,93,Fishing,0
122,Doktorb,Elder Druid,Celesta,45,93,Fishing,0
122,Don Mastema,None,Thyria,207,93,Fishing,0
122,Elora'Kamyh,Master Sorcerer,Lobera,121,93,Fishing,0
122,Extraterrestre,Elite Knight,Kalibra,630,93,Fishing,0
122,Jotakie,Master Sorcerer,Vunira,47,93,Fishing,0
122,Lying Fisherman,Knight,Issobra,52,93,Fishing,0
122,Nantes Atlantique,Elite Knight,Harmonia,293,93,Fishing,0
122,Nat Death Blade,Master Sorcerer,Zunera,142,93,Fishing,0
122,Onderheuvel,Master Sorcerer,Calmera,167,93,Fishing,0
122,Piscaxu,Master Sorcerer,Calmera,164,93,Fishing,0
122,Ronaldo Polez,Master Sorcerer,Talera,56,93,Fishing,0
122,Ruziza,Royal Paladin,Lobera,101,93,Fishing,0
122,Shiranelis Levin,Master Sorcerer,Astera,107,93,Fishing,0
122,Silenilda Druid,Elder Druid,Refugia,91,93,Fishing,0
122,Sir Vanity,Royal Paladin,Refugia,445,93,Fishing,0
122,Stary Gonzol,Master Sorcerer,Luminera,150,93,Fishing,0
