Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Rafaelkiller,Elite Knight,Gentebra,1905,152,Axe Fighting,2
2,Stepwise,Elite Knight,Descubra,603,148,Axe Fighting,2
3,Bad Sauce,Elite Knight,Havera,1107,146,Axe Fighting,2
4,Daedrith,Knight,Nefera,607,144,Axe Fighting,2
4,Jack Aubrey,Elite Knight,Premia,506,144,Axe Fighting,2
4,Machinbear,Elite Knight,Celebra,1118,144,Axe Fighting,2
4,Viggo Slayer,Elite Knight,Secura,1460,144,Axe Fighting,2
8,Galiazzi,Elite Knight,Ustebra,1179,143,Axe Fighting,2
8,Halloiv,Elite Knight,Gentebra,1462,143,Axe Fighting,2
8,Moose Tape,Elite Knight,Gladera,1768,143,Axe Fighting,2
11,Fabrkz,Elite Knight,Celebra,1280,142,Axe Fighting,2
11,Mo rgu,Elite Knight,Monza,2232,142,Axe Fighting,2
13,Sal Sah,Elite Knight,Gentebra,1198,141,Axe Fighting,2
13,Valegari,Elite Knight,Astera,1414,141,Axe Fighting,2
15,Hydan Aymon,Elite Knight,Nefera,275,140,Axe Fighting,2
15,Lacerator,Elite Knight,Inabra,1332,140,Axe Fighting,2
15,Markelito,Elite Knight,Celesta,1634,140,Axe Fighting,2
15,Rickzher Tank,Elite Knight,Issobra,2124,140,Axe Fighting,2
15,Rowen,Elite Knight,Solidera,1712,140,Axe Fighting,2
15,Thovix,Elite Knight,Bona,856,140,Axe Fighting,2
21,Awf,Elite Knight,Secura,1424,139,Axe Fighting,2
21,Bruneli Wayne,Elite Knight,Serdebra,2326,139,Axe Fighting,2
21,Chill Bomba,Elite Knight,Secura,1489,139,Axe Fighting,2
21,Coatl,Elite Knight,Solidera,1104,139,Axe Fighting,2
21,Divine Hallux,Elite Knight,Oceanis,1226,139,Axe Fighting,2
21,Don Winzer,Elite Knight,Yonabra,1027,139,Axe Fighting,2
21,Lecter,Elite Knight,Inabra,1922,139,Axe Fighting,2
21,Machado Purosangue,Elite Knight,Kalibra,1893,139,Axe Fighting,2
21,Quion,Elite Knight,Celesta,438,139,Axe Fighting,2
21,Rowdz,Elite Knight,Quelibra,1770,139,Axe Fighting,2
21,Rumpie,Elite Knight,Calmera,617,139,Axe Fighting,2
21,Vexcraw,Elite Knight,Rasteibra,1743,139,Axe Fighting,2
33,Aigler,Elite Knight,Quintera,322,138,Axe Fighting,2
33,Aldixa,Elite Knight,Premia,628,138,Axe Fighting,2
33,Burgando,Elite Knight,Peloria,494,138,Axe Fighting,2
33,Cesargxz,Elite Knight,Talera,1886,138,Axe Fighting,2
33,Dudu Stonecutter,Elite Knight,Ombra,1952,138,Axe Fighting,2
33,Huxy,Elite Knight,Secura,1244,138,Axe Fighting,2
33,Instalek,Elite Knight,Secura,1088,138,Axe Fighting,2
33,Jegue Chan,Elite Knight,Nefera,1299,138,Axe Fighting,2
33,Jirren,Elite Knight,Peloria,1457,138,Axe Fighting,2
33,King Danter,Elite Knight,Celesta,2394,138,Axe Fighting,2
33,Lfo Onethreeseven axe,Elite Knight,Karmeya,1887,138,Axe Fighting,2
33,Marcolight,Elite Knight,Ourobra,1963,138,Axe Fighting,2
33,Mystrucath,Elite Knight,Luminera,1380,138,Axe Fighting,2
33,Warriior Skeet,Elite Knight,Astera,1562,138,Axe Fighting,2
33,Womolu,Elite Knight,Celebra,1770,138,Axe Fighting,2
48,Caio Sama,Elite Knight,Nefera,1190,137,Axe Fighting,2
48,Clavaty,Elite Knight,Nefera,800,137,Axe Fighting,2
48,Cronyco,Elite Knight,Refugia,1411,137,Axe Fighting,2
48,Dacyziin,Elite Knight,Kalibra,1865,137,Axe Fighting,2
48,Imortus Reaper,Elite Knight,Belobra,1235,137,Axe Fighting,2
48,Kamus Myth,Elite Knight,Serdebra,877,137,Axe Fighting,2
48,Nershil,Elite Knight,Secura,1003,137,Axe Fighting,2
48,Old Lapa,Elite Knight,Nefera,1572,137,Axe Fighting,2
48,Pankzy,Elite Knight,Celesta,1039,137,Axe Fighting,2
48,Piratov,Elite Knight,Antica,1037,137,Axe Fighting,2
48,Reiko Fearles,Elite Knight,Refugia,1516,137,Axe Fighting,2
