Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Orlyp,Royal Paladin,Nefera,958,155,Distance Fighting,3
2,Hero Reis,Royal Paladin,Astera,2338,154,Distance Fighting,3
3,Dragon Steven,Royal Paladin,Gentebra,892,151,Distance Fighting,3
4,Alpha Charly,Royal Paladin,Gentebra,2027,147,Distance Fighting,3
4,Cahcorrea,Royal Paladin,Kalibra,570,147,Distance Fighting,3
6,Almighty Nova,Royal Paladin,Wintera,2172,146,Distance Fighting,3
7,Arkelogon,Royal Paladin,Celebra,2060,145,Distance Fighting,3
7,Edmarp,Royal Paladin,Bona,1081,145,Distance Fighting,3
9,Bratku Boy,Royal Paladin,Secura,2152,144,Distance Fighting,3
9,Ferangel,Royal Paladin,Bona,2520,144,Distance Fighting,3
9,Flanbers Penn,Royal Paladin,Yonabra,1849,144,Distance Fighting,3
9,Lady Meredith,Royal Paladin,Bona,751,144,Distance Fighting,3
9,Mathias Bynens,Royal Paladin,Vunira,1415,144,Distance Fighting,3
9,Old Noe,Royal Paladin,Secura,1959,144,Distance Fighting,3
9,Vepeh,Royal Paladin,Celebra,2807,144,Distance Fighting,3
16,Alucinethor,Royal Paladin,Inabra,1216,143,Distance Fighting,3
16,Dawox,Royal Paladin,Calmera,830,143,Distance Fighting,3
16,Jounetsu,Royal Paladin,Astera,1628,143,Distance Fighting,3
16,Rinnyan,Royal Paladin,Oceanis,966,143,Distance Fighting,3
20,Above Average,Royal Paladin,Pacera,864,142,Distance Fighting,3
20,Astroboys,Royal Paladin,Astera,1444,142,Distance Fighting,3
20,Corinthians Slayer,Royal Paladin,Quelibra,1234,142,Distance Fighting,3
20,Hayeti,Royal Paladin,Refugia,1801,142,Distance Fighting,3
20,Herox,Royal Paladin,Thyria,1485,142,Distance Fighting,3
20,Meurok,Royal Paladin,Yonabra,1400,142,Distance Fighting,3
20,Mia Moonshine,Royal Paladin,Epoca,1360,142,Distance Fighting,3
20,Rodlex,Royal Paladin,Fibera,1302,142,Distance Fighting,3
20,Roglordi,Royal Paladin,Bona,506,142,Distance Fighting,3
20,Ruslex,Royal Paladin,Lobera,867,142,Distance Fighting,3
20,Tecek,Royal Paladin,Refugia,2270,142,Distance Fighting,3
20,Warlord Leonny,Royal Paladin,Belobra,2706,142,Distance Fighting,3
32,Aaron Legolas,Royal Paladin,Pacera,532,141,Distance Fighting,3
32,Akkrilus,Royal Paladin,Celesta,953,141,Distance Fighting,3
32,Baker Paladin,Royal Paladin,Pacera,1510,141,Distance Fighting,3
32,Ballantynez,Royal Paladin,Yonabra,1775,141,Distance Fighting,3
32,Caaok,Royal Paladin,Belobra,2093,141,Distance Fighting,3
32,Chris Dictador,Royal Paladin,Ombra,2266,141,Distance Fighting,3
32,Cubbii,Royal Paladin,Celesta,1455,141,Distance Fighting,3
32,Devzin,Royal Paladin,Celesta,2072,141,Distance Fighting,3
32,Fael Fahurr,Royal Paladin,Quelibra,2153,141,Distance Fighting,3
32,Falkzao Supreme Emex,Royal Paladin,Havera,1918,141,Distance Fighting,3
32,Ilurin,Royal Paladin,Bona,1180,141,Distance Fighting,3
32,Izeekao,Royal Paladin,Celebra,1809,141,Distance Fighting,3
32,Leo Nid'as,Royal Paladin,Gentebra,973,141,Distance Fighting,3
32,Matshow,Royal Paladin,Belobra,1641,141,Distance Fighting,3
32,Myrkz,Royal Paladin,Lobera,1513,141,Distance Fighting,3
32,Nerdezera,Royal Paladin,Ustebra,1296,141,Distance Fighting,3
32,Oswaldo Toxico,Royal Paladin,Kalibra,2035,141,Distance Fighting,3
32,Rodrigaaum,Royal Paladin,Inabra,2023,141,Distance Fighting,3
32,Scharfschutzen,Royal Paladin,Gladera,492,141,Distance Fighting,3
32,Silentshell,Royal Paladin,Antica,1317,141,Distance Fighting,3
32,Skaf,Royal Paladin,Ferobra,1157,141,Distance Fighting,3
32,Tale Rion,Royal Paladin,Nefera,1721,141,Distance Fighting,3
32,Venoox,Royal Paladin,Celesta,2272,141,Distance Fighting,3
32,Veyllor,Royal Paladin,Gentebra,2845,141,Distance Fighting,3
56,Alex Froggy,Royal Paladin,Vunira,1481,140,Distance Fighting,3
56,Brother Nighthawk,Royal Paladin,Luminera,808,140,Distance Fighting,3
56,Cropper Phale,Royal Paladin,Nevia,1638,140,Distance Fighting,3
56,Daso II,Royal Paladin,Antica,1605,140,Distance Fighting,3
56,Eckows,Royal Paladin,Yonabra,1792,140,Distance Fighting,3
