Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Magiczny,Master Sorcerer,Refugia,2206,156,Magic Level,4
2,Nicoly Kenty,Master Sorcerer,Gentebra,1654,155,Magic Level,4
3,Bexten,Master Sorcerer,Gentebra,1307,150,Magic Level,4
4,Kovel The Eternal,Master Sorcerer,Vunira,669,148,Magic Level,4
5,Bigboy Damage,Master Sorcerer,Thyria,1547,147,Magic Level,4
5,Darem Leywin,Master Sorcerer,Antica,385,147,Magic Level,4
5,Mago Morto,Master Sorcerer,Celebra,2746,147,Magic Level,4
5,Tyezkk,Master Sorcerer,Quelibra,720,147,Magic Level,4
9,Blue Wizard,Master Sorcerer,Gladera,357,146,Magic Level,4
9,Fobison,Master Sorcerer,Antica,933,146,Magic Level,4
9,Nicty Bad,Master Sorcerer,Venebra,945,146,Magic Level,4
9,Njorn,Master Sorcerer,Yonabra,1765,146,Magic Level,4
13,Cheaalino,Master Sorcerer,Celesta,1638,144,Magic Level,4
13,Cicronela,Master Sorcerer,Astera,1394,144,Magic Level,4
13,Ponno Maru,Master Sorcerer,Talera,1135,144,Magic Level,4
16,Bocian Damora,Master Sorcerer,Karmeya,1513,143,Magic Level,4
16,Junzaao,Master Sorcerer,Belobra,2068,143,Magic Level,4
16,Katsura Kogorou,Master Sorcerer,Gentebra,1347,143,Magic Level,4
16,Machnitsky,Master Sorcerer,Descubra,1730,143,Magic Level,4
16,Melmag,Master Sorcerer,Secura,949,143,Magic Level,4
16,Muskrat,Master Sorcerer,Wintera,727,143,Magic Level,4
22,Goraca,Master Sorcerer,Bona,2894,142,Magic Level,4
22,Sigma Rigs,Master Sorcerer,Calmera,1518,142,Magic Level,4
22,Sir Brancaleone,Sorcerer,Peloria,520,142,Magic Level,4
22,Skattejegern,Master Sorcerer,Harmonia,698,142,Magic Level,4
22,Toxic Ghost Esecee,Master Sorcerer,Havera,2047,142,Magic Level,4
22,Zaamora Insane,Master Sorcerer,Menera,1891,142,Magic Level,4
28,Astarotth,Master Sorcerer,Nefera,256,141,Magic Level,4
28,Faustino Brabo,Master Sorcerer,Celebra,1627,141,Magic Level,4
28,Inappropriate Soul,Master Sorcerer,Secura,1279,141,Magic Level,4
28,Prometheus Ascaruss,Master Sorcerer,Secura,357,141,Magic Level,4
28,Ragon Lian,Master Sorcerer,Secura,527,141,Magic Level,4
28,Sir Tom Bombadil,Master Sorcerer,Havera,1536,141,Magic Level,4
28,Vollupia,Master Sorcerer,Zuna,278,141,Magic Level,4
35,Biaalyxx,Master Sorcerer,Celesta,1700,140,Magic Level,4
35,Bielzinxd,Master Sorcerer,Nefera,1685,140,Magic Level,4
35,Dragom Ball,Master Sorcerer,Talera,1764,140,Magic Level,4
35,Hardcor,Master Sorcerer,Vunira,1193,140,Magic Level,4
35,Just Lucifer,Master Sorcerer,Bona,1742,140,Magic Level,4
35,Master Truski,Master Sorcerer,Harmonia,842,140,Magic Level,4
35,Missy Mystique,Master Sorcerer,Thyria,610,140,Magic Level,4
35,Rafittzz,Master Sorcerer,Belobra,2054,140,Magic Level,4
35,Tiger Backwoods,Master Sorcerer,Quidera,1087,140,Magic Level,4
35,Todos Mueren,Master Sorcerer,Premia,926,140,Magic Level,4
35,Ultimate Destroyer,Master Sorcerer,Menera,604,140,Magic Level,4
35,Zarothprime,Master Sorcerer,Antica,1437,140,Magic Level,4
47,Baaeck,Master Sorcerer,Gentebra,2637,139,Magic Level,4
47,Belintina,Master Sorcerer,Refugia,1624,139,Magic Level,4
47,Cirus Toxico,Master Sorcerer,Kalibra,2275,139,Magic Level,4
47,Clebin Rula,Master Sorcerer,Ferobra,963,139,Magic Level,4
47,Dieb Ze Drunkurd,Master Sorcerer,Lobera,737,139,Magic Level,4
47,Dudodix,Master Sorcerer,Ferobra,1699,139,Magic Level,4
47,Onslaught Sorcerer,Master Sorcerer,Solidera,1657,139,Magic Level,4
47,Pyhroh,Master Sorcerer,Lobera,870,139,Magic Level,4
47,Rickzy,Master Sorcerer,Astera,1269,139,Magic Level,4
47,Saint Vicenzo,Master Sorcerer,Belobra,604,139,Magic Level,4
47,Teus,Master Sorcerer,Descubra,2552,139,Magic Level,4
58,Boysorc,Master Sorcerer,Obscubra,2159,138,Magic Level,4
58,Cato,Master Sorcerer,Wintera,1174,138,Magic Level,4
58,Gert Ar,Master Sorcerer,Harmonia,1482,138,Magic Level,4
58,Junkz,Master Sorcerer,Kalibra,1941,138,Magic Level,4
58,Khaos Poderoso,Master Sorcerer,Rasteibra,2522,138,Magic Level,4
58,Kruko,Master Sorcerer,Karmeya,965,138,Magic Level,4
58,Lefay,Master Sorcerer,Honbra,1914,138,Magic Level,4
58,Lichtsz,Master Sorcerer,Inabra,2073,138,Magic Level,4
58,Miojo Doido,Master Sorcerer,Gentebra,1652,138,Magic Level,4
58,Not Mychar,Master Sorcerer,Luminera,1627,138,Magic Level,4
58,Nozferato,Master Sorcerer,Quelibra,1536,138,Magic Level,4
58,Rift Duken,Master Sorcerer,Gentebra,2283,138,Magic Level,4
58,Tyko Durden,Master Sorcerer,Gentebra,1986,138,Magic Level,4
71,Allexandro,Master Sorcerer,Havera,976,137,Magic Level,4
71,Aluxi,Master Sorcerer,Kalibra,1760,137,Magic Level,4
71,Closedfriends Fernandoo,Master Sorcerer,Jadebra,1550,137,Magic Level,4
71,Coh en,Master Sorcerer,Yonabra,2171,137,Magic Level,4
71,Davidtje,Master Sorcerer,Bona,1340,137,Magic Level,4
71,Duke Dan,Master Sorcerer,Collabra,1203,137,Magic Level,4
71,Eksman,Master Sorcerer,Monza,2144,137,Magic Level,4
71,Evil Ruan,Master Sorcerer,Collabra,1929,137,Magic Level,4
71,Fernizx,Master Sorcerer,Luminera,2142,137,Magic Level,4
71,Firemane Avenger,Master Sorcerer,Ferobra,1398,137,Magic Level,4
71,Greamir,Master Sorcerer,Celesta,2155,137,Magic Level,4
71,Guimba Bruto,Master Sorcerer,Serdebra,1497,137,Magic Level,4
71,Kiriuz Kser,Master Sorcerer,Lobera,1314,137,Magic Level,4
71,Lord Zilez,Master Sorcerer,Vunira,1085,137,Magic Level,4
71,Mariuz Arrogante,Master Sorcerer,Solidera,1026,137,Magic Level,4
71,Neggich,Master Sorcerer,Havera,1493,137,Magic Level,4
71,Piopek,Master Sorcerer,Thyria,371,137,Magic Level,4
71,Powerdoll,Master Sorcerer,Retalia,417,137,Magic Level,4
71,Rand Silverfang,Master Sorcerer,Antica,658,137,Magic Level,4
71,Sokon Eltanke,Master Sorcerer,Ustebra,1295,137,Magic Level,4
71,Tonim Mage,Master Sorcerer,Jadebra,1924,137,Magic Level,4
71,Vincent'Dra,Master Sorcerer,Antica,1304,137,Magic Level,4
71,Walla Enteado,Master Sorcerer,Collabra,1816,137,Magic Level,4
71,Warrior of ragnar,Master Sorcerer,Quintera,924,137,Magic Level,4
71,Yankoz Maestro,Master Sorcerer,Antica,1555,137,Magic Level,4
96,Blue Chaos Rage,Master Sorcerer,Nefera,1008,136,Magic Level,4
96,Cybres Jack,Master Sorcerer,Celebra,1650,136,Magic Level,4
96,Dark Filgueira,Master Sorcerer,Refugia,1294,136,Magic Level,4
96,Darkz Leo,Master Sorcerer,Gentebra,1879,136,Magic Level,4
96,Dash Deluxe,Master Sorcerer,Secura,1658,136,Magic Level,4
96,Don Pancada,Master Sorcerer,Ustebra,1344,136,Magic Level,4
96,Drathur,Master Sorcerer,Yovera,879,136,Magic Level,4
96,Franknitro,Master Sorcerer,Lobera,1308,136,Magic Level,4
96,Imperiious,Master Sorcerer,Lobera,1550,136,Magic Level,4
96,Innk Muller,Master Sorcerer,Yonabra,1615,136,Magic Level,4
96,Jurusz,Master Sorcerer,Kalibra,1297,136,Magic Level,4
96,Kik Firmot,Master Sorcerer,Menera,1317,136,Magic Level,4
96,Kovacsz,Master Sorcerer,Belobra,1965,136,Magic Level,4
96,Krayzie Thug,Master Sorcerer,Monza,1462,136,Magic Level,4
96,Kurusaki Kun,Master Sorcerer,Nefera,1167,136,Magic Level,4
96,Lady Venganza,Master Sorcerer,Calmera,1927,136,Magic Level,4
96,Lahesaru,Master Sorcerer,Lutabra,930,136,Magic Level,4
96,Lormora,Master Sorcerer,Monza,1784,136,Magic Level,4
96,Luh is,Master Sorcerer,Descubra,1361,136,Magic Level,4
96,Nicol,Master Sorcerer,Vunira,1427,136,Magic Level,4
96,Professor Rumbucket,Master Sorcerer,Astera,819,136,Magic Level,4
96,Rainha do Nilo,Master Sorcerer,Serdebra,1096,136,Magic Level,4
96,Ranny Zolnierz Elder,Master Sorcerer,Antica,2036,136,Magic Level,4
96,Shounan,Master Sorcerer,Belobra,1944,136,Magic Level,4
