Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Lord Executer,Elite Knight,Premia,1253,148,Sword Fighting,2
2,Lord Bidu Kina,Elite Knight,Descubra,1215,147,Sword Fighting,2
3,Orangeona,Elite Knight,Wintera,1355,146,Sword Fighting,2
3,Sir Dragsalot,Elite Knight,Lobera,359,146,Sword Fighting,2
5,Bar,Elite Knight,Quidera,1758,144,Sword Fighting,2
5,Toxic Chico Chill,Elite Knight,Solidera,971,144,Sword Fighting,2
7,Astronis,Elite Knight,Astera,759,143,Sword Fighting,2
7,Darkslayer Ronin,Elite Knight,Premia,1325,143,Sword Fighting,2
7,Jackson Knight,Elite Knight,Kalibra,1897,143,Sword Fighting,2
7,Ki Naitao Olim,Elite Knight,Belobra,2459,143,Sword Fighting,2
7,Penko Biznez Enthusiast,Elite Knight,Secura,1230,143,Sword Fighting,2
7,Shadow liger,Elite Knight,Pacera,700,143,Sword Fighting,2
7,Tcharles,Elite Knight,Belobra,1403,143,Sword Fighting,2
7,Tottz,Elite Knight,Calmera,581,143,Sword Fighting,2
15,Asmitta,Elite Knight,Ourobra,1124,142,Sword Fighting,2
15,Aujla,Elite Knight,Gladera,758,142,Sword Fighting,2
15,Carnotaurus,Elite Knight,Secura,928,142,Sword Fighting,2
15,Kharsek,Elite Knight,Gladera,1985,142,Sword Fighting,2
15,Magnifik Ekdany,Elite Knight,Inabra,1589,142,Sword Fighting,2
15,Mexicano Tequileiro,Elite Knight,Monza,542,142,Sword Fighting,2
15,Rangel Lestat,Elite Knight,Gentebra,1603,142,Sword Fighting,2
15,Zitob,Elite Knight,Monza,1145,142,Sword Fighting,2
23,Draco Uchiha,Elite Knight,Collabra,2129,141,Sword Fighting,2
23,Etel Grig,Elite Knight,Lobera,521,141,Sword Fighting,2
23,Eternal Ichigo Kurosaki,Elite Knight,Astera,1685,141,Sword Fighting,2
23,Maurolkit,Elite Knight,Secura,1922,141,Sword Fighting,2
23,Moe The Knight,Elite Knight,Nefera,577,141,Sword Fighting,2
23,Mystic Videl,Elite Knight,Secura,672,141,Sword Fighting,2
29,Andrewsek,Elite Knight,Nefera,1189,140,Sword Fighting,2
29,Bossprime,Elite Knight,Antica,1840,140,Sword Fighting,2
