Rank,Name,Vocation,World,Level,Points,WorldType
1,Trathos,None,Thyria,254,"269,173,177",Open PvP
2,Colin Fletcher,None,Thyria,222,"178,361,746",Open PvP
3,Don Mastema,None,Thyria,208,"145,759,780",Open PvP
4,Digi mortal,None,Antica,207,"144,661,764",Open PvP
5,Kuwabara Rookstayer,None,Peloria,202,"134,644,514",Open PvP
6,Nightre Mage,None,Thyria,177,"90,112,806",Open PvP
7,Nekhronoz,None,Wintera,171,"80,609,459",Open PvP
8,Rookero de'Master,None,Peloria,170,"79,403,001",Open PvP
9,Ratito Axedamage,None,Talera,170,"79,335,519",Open PvP
10,Suvrie,None,Vunira,161,"67,763,049",Open PvP
11,Hudinho,None,Talera,156,"61,445,965",Open PvP
12,Orian Zagon,None,Peloria,155,"60,596,409",Open PvP
13,Morpheus Rookstayer,None,Vunira,155,"60,256,076",Open PvP
14,Sonny Rooker,None,Talera,151,"55,859,078",Open PvP
15,Kronnos of Kaos,None,Talera,149,"53,742,338",Open PvP
16,Nalia Oririon,None,Solidera,149,"53,393,585",Open PvP
17,Darkgladir,None,Peloria,146,"50,679,537",Open PvP
18,Oo Jedynak Oo,None,Antica,143,"47,487,924",Open PvP
19,Surnuz,None,Havera,141,"45,700,761",Open PvP
20,General Hiden Skull,None,Havera,141,"45,362,628",Open PvP
21,Mystic Dark Ninja,None,Vunira,140,"44,545,744",Open PvP
22,Ranncor,None,Lobera,139,"42,980,901",Open PvP
23,Derchis Rooker,None,Thyria,136,"40,391,052",Open PvP
24,El,None,Antica,135,"39,314,114",Open PvP
25,Skynet of Hell,None,Lobera,134,"38,440,547",Open PvP
26,Merion Anjo,None,Solidera,134,"38,358,423",Open PvP
27,Xayeek,None,Thyria,133,"37,679,231",Open PvP
28,Big Bambik,None,Thyria,129,"34,834,590",Open PvP
29,Tarik Rooker,None,Peloria,128,"33,828,037",Open PvP
30,Lohor,None,Xyla,128,"33,560,691",Open PvP
31,Payton,None,Antica,122,"29,208,343",Open PvP
32,Katador de Dragaozinho,None,Wintera,121,"28,383,913",Open PvP
33,Adventurer Billy,None,Antica,121,"28,375,657",Open PvP
34,Axe Burning,None,Havera,120,"27,587,077",Open PvP
35,Draminha Suvan Rook,None,Havera,120,"27,574,680",Open PvP
36,Molto,None,Premia,118,"26,578,732",Open PvP
37,Vanessa of Furora,None,Thyria,117,"25,364,351",Open PvP
38,Ma Vu,None,Talera,116,"25,287,525",Open PvP
39,Jancio,None,Thyria,116,"25,122,598",Open PvP
40,Endriu Welc,None,Vunira,116,"24,965,601",Open PvP
41,Mobinha,None,Quintera,115,"24,484,728",Open PvP
42,Rookstayer Imortal,None,Vunira,115,"24,095,925",Open PvP
43,Princess Nahely,None,Talera,114,"23,551,004",Open PvP
44,Splosha,None,Peloria,114,"23,523,207",Open PvP
45,Mantegalks,None,Antica,114,"23,462,896",Open PvP
46,Don Barone,None,Havera,113,"22,809,823",Open PvP
