Rank,Name,Vocation,World,Level,Points,WorldType
1,Dudopix Worldwide,Elite Knight,Ferobra,2377,"223,486,944,905",Open PvP
2,Bruneli Wayne,Elite Knight,Serdebra,2345,"214,484,662,956",Open PvP
3,Bomba Chapeleiro,Elite Knight,Honbra,2324,"208,793,273,501",Open PvP
4,Alchemistzin,Elite Knight,Quelibra,2277,"196,366,003,798",Open PvP
5,Knighttt Poderoso,Elite Knight,Rasteibra,2192,"175,133,677,447",Open PvP
6,Conde Danimax,Elite Knight,Inabra,2146,"164,300,750,533",Open PvP
7,Pedrin Orangepodi,Elite Knight,Rasteibra,2116,"157,625,651,470",Open PvP
8,Ragnarr Vilao,Elite Knight,Honbra,2098,"153,520,998,501",Open PvP
9,Soiji,Elite Knight,Inabra,2059,"145,070,793,922",Open PvP
10,Kallashy,Elite Knight,Honbra,2051,"143,490,995,378",Open PvP
11,Destructive Kronun,Elite Knight,Talera,2051,"143,377,533,572",Open PvP
12,Chris Donhodo Ombra,Elite Knight,Ombra,2045,"142,273,584,070",Open PvP
13,Zezinho Eurofeer,Elite Knight,Ourobra,2028,"138,767,341,271",Open PvP
14,Magnifik Danytank,Elite Knight,Quelibra,2021,"137,337,369,468",Open PvP
15,Amora Enterprise,Elite Knight,Ourobra,2017,"136,436,880,198",Open PvP
16,Exorinho,Elite Knight,Thyria,2011,"135,195,468,023",Open PvP
17,Jand Supremoo,Elite Knight,Jadebra,1989,"130,864,759,682",Open PvP
18,Bag You Covet,Elite Knight,Ourobra,1983,"129,591,206,153",Open PvP
19,Dudu Stonecutter,Elite Knight,Ombra,1980,"129,037,444,029",Open PvP
20,Deadmani,Elite Knight,Thyria,1979,"128,807,952,939",Open PvP
21,Toxic Kleine Esecee,Elite Knight,Havera,1959,"125,010,582,304",Open PvP
22,Zmek,Elite Knight,Antica,1941,"121,607,397,762",Open PvP
23,Munhoz Holdfast,Elite Knight,Ferobra,1939,"121,253,671,412",Open PvP
24,Lecter,Elite Knight,Inabra,1925,"118,677,592,188",Open PvP
25,Kiperek,Elite Knight,Vunira,1896,"113,294,009,776",Open PvP
26,Cesargxz,Elite Knight,Talera,1895,"113,183,102,740",Open PvP
27,Almom,Elite Knight,Inabra,1894,"112,988,021,365",Open PvP
28,Anita Supreme Emex,Elite Knight,Havera,1888,"111,910,167,764",Open PvP
29,Hellz Negb,Elite Knight,Wintera,1883,"110,986,597,316",Open PvP
30,Chris Subownerdo Gbe,Elite Knight,Ombra,1869,"108,623,390,232",Open PvP
31,Pdois Evoluido,Elite Knight,Rasteibra,1861,"107,231,426,833",Open PvP
32,Bossprime,Elite Knight,Antica,1840,"103,594,262,830",Open PvP
33,Ragnar Ekbomba,Elite Knight,Quelibra,1833,"102,361,991,646",Open PvP
34,Big Boss Revival,Elite Knight,Premia,1831,"102,114,355,660",Open PvP
35,Lichtsz Rindodoboleto,Elite Knight,Inabra,1821,"100,417,028,814",Open PvP
36,Kimbow Thor,Elite Knight,Ombra,1821,"100,316,845,403",Open PvP
37,Tintin Hulk,Elite Knight,Rasteibra,1818,"99,920,773,662",Open PvP
38,Skoolls,Elite Knight,Jadebra,1812,"98,851,185,366",Open PvP
39,Zezinho Enterprise,Elite Knight,Ourobra,1805,"97,716,434,236",Open PvP
40,Orzack,Elite Knight,Quelibra,1792,"95,694,584,331",Open PvP
41,Rowdz,Elite Knight,Quelibra,1791,"95,515,313,943",Open PvP
42,Coxa Metanol,Elite Knight,Rasteibra,1787,"94,850,103,492",Open PvP
43,Tonim Tank,Elite Knight,Jadebra,1773,"92,617,370,542",Open PvP
44,Highflxyerk,Elite Knight,Quidera,1772,"92,467,003,480",Open PvP
45,Bar,Elite Knight,Quidera,1771,"92,388,463,196",Open PvP
46,Ekforsale,Elite Knight,Serdebra,1758,"90,357,764,804",Open PvP
47,Abs Lilozin,Elite Knight,Rasteibra,1754,"89,652,825,301",Open PvP
48,Geramoo,Elite Knight,Inabra,1752,"89,374,878,017",Open PvP
49,Vexcraw,Elite Knight,Jadebra,1749,"88,877,811,659",Open PvP
50,Gui Fallout,Elite Knight,Ourobra,1746,"88,521,812,399",Open PvP
51,Orle Gniazdo,Elite Knight,Antica,1739,"87,362,669,393",Open PvP
52,Rowen,Elite Knight,Solidera,1736,"86,947,200,925",Open PvP
53,Mathxd,Elite Knight,Rasteibra,1731,"86,230,988,855",Open PvP
54,Franco Thunder,Elite Knight,Jadebra,1726,"85,446,925,577",Open PvP
55,Thay El Patron,Elite Knight,Solidera,1722,"84,822,759,934",Open PvP
56,Hintarus Rei Calvo,Elite Knight,Serdebra,1715,"83,809,184,616",Open PvP
57,Naillowzin,Elite Knight,Inabra,1713,"83,512,372,685",Open PvP
58,Gragao Evoluido,Elite Knight,Rasteibra,1706,"82,496,160,566",Open PvP
59,Kamiry,Elite Knight,Ourobra,1701,"81,798,998,876",Open PvP
60,Jhonek,Elite Knight,Ferobra,1699,"81,468,847,933",Open PvP
61,Elmagnifiko caballerodany,Elite Knight,Inabra,1698,"81,438,323,550",Open PvP
62,Hwpato,Elite Knight,Talera,1698,"81,345,235,394",Open PvP
63,Agiotales,Elite Knight,Rasteibra,1697,"81,286,030,240",Open PvP
64,Aler Tius,Elite Knight,Solidera,1695,"80,876,154,526",Open PvP
65,Dee Liife Snake,Elite Knight,Inabra,1692,"80,507,027,772",Open PvP
66,Zezinho Qrcode Infinito,Elite Knight,Ourobra,1679,"78,688,540,937",Open PvP
67,Knight of Rafael,Elite Knight,Quelibra,1678,"78,580,456,052",Open PvP
68,Elegancki Miko,Elite Knight,Thyria,1675,"78,063,359,231",Open PvP
69,Danan the shihan,Elite Knight,Quintera,1673,"77,814,133,892",Open PvP
70,Dudopix Inc,Elite Knight,Quelibra,1672,"77,680,875,506",Open PvP
71,Feh Tryhard,Elite Knight,Serdebra,1667,"77,048,785,422",Open PvP
72,Moon Knighty,Elite Knight,Honbra,1661,"76,207,151,990",Open PvP
73,Alvsrodrigo Neutro,Elite Knight,Rasteibra,1656,"75,430,788,250",Open PvP
74,Pancholina Emex,Elite Knight,Solidera,1647,"74,209,225,080",Open PvP
75,Alphahorcrux,Elite Knight,Havera,1646,"74,055,509,351",Open PvP
76,Nyge,Elite Knight,Antica,1643,"73,710,195,785",Open PvP
77,Tomek Bloczy,Elite Knight,Xyla,1637,"72,858,222,033",Open PvP
78,Knochi,Elite Knight,Antica,1630,"71,969,193,497",Open PvP
79,Ti to Goexp,Elite Knight,Serdebra,1621,"70,853,873,347",Open PvP
80,Mikey olo,Elite Knight,Vunira,1620,"70,708,918,516",Open PvP
81,Adrinhio,Elite Knight,Thyria,1612,"69,673,477,907",Open PvP
82,Magnifik Ekdany,Elite Knight,Inabra,1609,"69,289,563,556",Open PvP
83,Remek Ajan,Elite Knight,Peloria,1607,"69,011,320,194",Open PvP
84,Necro Dragonheart,Elite Knight,Lobera,1606,"68,791,080,757",Open PvP
85,Specialtyz,Elite Knight,Ferobra,1604,"68,632,116,697",Open PvP
86,Duuuuh,Elite Knight,Inabra,1603,"68,515,395,682",Open PvP
87,Carolich,Elite Knight,Havera,1601,"68,192,010,709",Open PvP
88,Seleskva Zedrin,Elite Knight,Ourobra,1597,"67,738,304,649",Open PvP
89,Roffa The King,Elite Knight,Vunira,1595,"67,409,525,165",Open PvP
90,Joek,Elite Knight,Thyria,1592,"67,063,278,280",Open PvP
91,Leechiano,Elite Knight,Lobera,1592,"67,022,262,157",Open PvP
92,Raul Locomia,Elite Knight,Quelibra,1585,"66,170,214,901",Open PvP
93,Dede Tiranit,Elite Knight,Ourobra,1580,"65,497,447,138",Open PvP
94,Arcy Seba,Elite Knight,Serdebra,1579,"65,425,196,450",Open PvP
