Rank,Name,Vocation,World,Level,Points,Category
1,Aruarian Druid,Elder Druid,Menera,1462,"26,009",Charm Points
1,Axy,Elder Druid,Yonabra,1380,"26,009",Charm Points
1,Dreams,Elder Druid,Yonabra,1364,"26,009",Charm Points
1,Fanas,Elder Druid,Lobera,1468,"26,009",Charm Points
1,Gata Vitoria,Elite Knight,Yonabra,1414,"26,009",Charm Points
1,Lairuf,Elder Druid,Refugia,1562,"26,009",Charm Points
1,Myrkz,Royal Paladin,Lobera,1530,"26,009",Charm Points
1,Poppel the knight,Elite Knight,Peloria,1419,"26,009",Charm Points
9,Alpha Charly,Royal Paladin,Gentebra,2039,"25,959",Charm Points
9,Alpha Charlyne,Exalted Monk,Gentebra,707,"25,959",Charm Points
9,Mi Sioo,Royal Paladin,Harmonia,1898,"25,959",Charm Points
12,Gakild,Royal Paladin,Yonabra,1623,"25,944",Charm Points
13,Knightis,Elite Knight,Karmeya,1200,"25,909",Charm Points
13,Luconn,Elite Knight,Secura,1178,"25,909",Charm Points
13,Mathias Bynens,Royal Paladin,Vunira,1430,"25,909",Charm Points
13,Niquit,Master Sorcerer,Antica,1728,"25,909",Charm Points
13,Roffa The King,Elite Knight,Vunira,1595,"25,909",Charm Points
13,Royal Kado,Royal Paladin,Secura,1263,"25,909",Charm Points
13,Tarmon Gai Don,Elder Druid,Peloria,1300,"25,909",Charm Points
20,Mirotth,Elite Knight,Belobra,1993,"25,889",Charm Points
21,Cybres Jack,Master Sorcerer,Celebra,1663,"25,884",Charm Points
22,Max Fleury,Elite Knight,Celebra,2105,"25,864",Charm Points
23,Old Noe,Royal Paladin,Secura,1961,"25,859",Charm Points
24,Bambaryla Witek,Elder Druid,Thyria,1925,"25,839",Charm Points
25,Caaok,Royal Paladin,Belobra,2117,"25,814",Charm Points
26,Sage of Ice,Elder Druid,Belobra,1016,"25,784",Charm Points
27,Zyro'flame,Master Sorcerer,Secura,1432,"25,614",Charm Points
28,Danan the shihan,Elite Knight,Quintera,1673,"25,549",Charm Points
29,Exorinho,Elite Knight,Thyria,2011,"25,514",Charm Points
30,Arterossy,Royal Paladin,Thyria,1508,"25,489",Charm Points
30,Rodoxxx,Royal Paladin,Nefera,1587,"25,489",Charm Points
30,Szmuggy,Royal Paladin,Thyria,2086,"25,489",Charm Points
33,Czikita,Elder Druid,Secura,2063,"25,464",Charm Points
34,Dash Deluxe,Master Sorcerer,Secura,1660,"25,389",Charm Points
34,Machado Purosangue,Elite Knight,Kalibra,1907,"25,389",Charm Points
36,Special Frank,Elder Druid,Serdebra,1528,"25,364",Charm Points
37,Venganza,Royal Paladin,Calmera,1970,"25,289",Charm Points
38,Winy Roven,Elder Druid,Collabra,1725,"25,259",Charm Points
39,Zhurda,Sorcerer,Retalia,1614,"25,189",Charm Points
40,Tengil,Master Sorcerer,Secura,1315,"25,159",Charm Points
41,Arinth,Elite Knight,Monza,2152,"25,139",Charm Points
41,Lunatic Princess,Elite Knight,Celesta,2207,"25,139",Charm Points
41,Oswaldo Toxico,Royal Paladin,Kalibra,2061,"25,139",Charm Points
44,Dakota,Elite Knight,Blumera,1630,"25,109",Charm Points
44,Kilseno,Royal Paladin,Secura,1272,"25,109",Charm Points
46,Angel Pro Damage,Elder Druid,Yonabra,2013,"25,089",Charm Points
47,Celso,Elder Druid,Nevia,1659,"25,084",Charm Points
48,Bladewolf,Elite Knight,Descubra,1458,"25,039",Charm Points
48,Dillon Duenodefirmera,Elder Druid,Firmera,1954,"25,039",Charm Points
50,Blaina Siwynia,Master Sorcerer,Antica,984,"24,909",Charm Points
50,Fully,Royal Paladin,Secura,1122,"24,909",Charm Points
52,Raven Erus,Elite Knight,Yonabra,1566,"24,869",Charm Points
53,Flanbers Penn,Royal Paladin,Yonabra,1860,"24,814",Charm Points
54,Fizoleczek,Elite Knight,Antica,868,"24,809",Charm Points
55,Lady Himiko,Royal Paladin,Karmeya,943,"24,789",Charm Points
55,Valiiant krzychu,Royal Paladin,Secura,1253,"24,789",Charm Points
57,Leoxy Ousado,Elder Druid,Terribra,1549,"24,739",Charm Points
58,Lord Gerson Atlas,Elite Knight,Rasteibra,1176,"24,709",Charm Points
59,Roffa Godz,Elder Druid,Lobera,1412,"24,689",Charm Points
60,Ominae Yu,Elite Knight,Yonabra,1738,"24,674",Charm Points
61,Mareecki,Master Sorcerer,Harmonia,1318,"24,639",Charm Points
62,Forseti Ases,Elite Knight,Belobra,1455,"24,589",Charm Points
63,Floky Monkey,Master Sorcerer,Thyria,1578,"24,564",Charm Points
64,Sennin Kami,Royal Paladin,Thyria,1399,"24,514",Charm Points
65,Sarys Sire,Elder Druid,Secura,824,"24,509",Charm Points
66,Pu,Elder Druid,Lobera,1690,"24,489",Charm Points
67,Jay Assassin,Elite Knight,Nevia,1359,"24,444",Charm Points
68,Teev,Royal Paladin,Monza,1387,"24,414",Charm Points
69,Energy Puff,Master Sorcerer,Premia,1163,"24,409",Charm Points
69,Fi na,Elite Knight,Gentebra,1662,"24,409",Charm Points
71,Luziadas,Elite Knight,Calmera,1280,"24,339",Charm Points
72,Diones Machine,Elite Knight,Descubra,2142,"24,305",Charm Points
72,Haarin,Elder Druid,Monza,1720,"24,305",Charm Points
74,Fippez,Paladin,Secura,1002,"24,289",Charm Points
74,Miojo Doido,Master Sorcerer,Gentebra,1670,"24,289",Charm Points
76,Black foot,Elder Druid,Secura,1146,"24,209",Charm Points
76,Lord Strikee,Elder Druid,Harmonia,1372,"24,209",Charm Points
78,Tecek,Royal Paladin,Refugia,2270,"24,169",Charm Points
79,Darkbookmagic,Elite Knight,Ferobra,1321,"24,139",Charm Points
80,Re nanzin,Elite Knight,Ferobra,1354,"24,109",Charm Points
81,Medyq,Elder Druid,Premia,1110,"24,089",Charm Points
82,Miki Greg,Royal Paladin,Descubra,1376,"24,039",Charm Points
82,Xan Farmer,Master Sorcerer,Refugia,1594,"24,039",Charm Points
84,Sibon Faur,Elite Knight,Vunira,1190,"24,009",Charm Points
85,Kamiil,Master Sorcerer,Refugia,1582,"23,989",Charm Points
