Rank,Name,Vocation,World,Level,Skill Level,Category
1,Moe The Knight,Elite Knight,Nefera,578,142,Shielding
2,Astronis,Elite Knight,Astera,760,140,Shielding
3,Vomlet,Knight,Harmonia,11,135,Shielding
4,Titanicc,Elite Knight,Astera,810,134,Shielding
5,Actually,Elite Knight,Astera,50,133,Shielding
6,Instalek,Elite Knight,Secura,1097,132,Shielding
6,Lord Bidu Kina,Elite Knight,Descubra,1230,132,Shielding
6,Marotinho,Elite Knight,Yonabra,972,132,Shielding
6,Mary Ark,Elite Knight,Venebra,608,132,Shielding
6,Tialys,Elite Knight,Monza,182,132,Shielding
11,Barao Relampejante,Elite Knight,Yonabra,2044,131,Shielding
12,Cliany,Elite Knight,Secura,580,130,Shielding
12,Darkslayer Ronin,Elite Knight,Premia,1325,130,Shielding
12,Hensh,Elite Knight,Gentebra,1890,130,Shielding
12,Lipera Legend,Elite Knight,Refugia,583,130,Shielding
12,Machinbear,Elite Knight,Celebra,1137,130,Shielding
12,Sir Articus,Elite Knight,Astera,834,130,Shielding
18,Gilmax Knight,Elite Knight,Gladera,741,129,Shielding
18,Lady Angeling,Elite Knight,Gentebra,534,129,Shielding
18,Mystic Videl,Elite Knight,Secura,673,129,Shielding
18,Rafaelkiller,Elite Knight,Gentebra,1905,129,Shielding
18,Shadow liger,Elite Knight,Pacera,701,129,Shielding
18,Sir Dragsalot,Elite Knight,Lobera,359,129,Shielding
18,Tottz,Elite Knight,Calmera,584,129,Shielding
18,Typha,Elite Knight,Astera,653,129,Shielding
26,Halloiv,Elite Knight,Gentebra,1485,128,Shielding
26,Ibixy,Elite Knight,Secura,762,128,Shielding
26,Jackops,Elite Knight,Harmonia,736,128,Shielding
26,Kharsek,Elite Knight,Gladera,1992,128,Shielding
26,Lecter,Elite Knight,Inabra,1925,128,Shielding
26,Makayy,Elite Knight,Inabra,600,128,Shielding
26,Natarius Scotfield,Elite Knight,Astera,614,128,Shielding
26,Osmano,Elite Knight,Lobera,577,128,Shielding
26,Recollection,Knight,Venebra,14,128,Shielding
26,Reigrant Arcsteel,Elite Knight,Celebra,1217,128,Shielding
26,Tawyrl,Knight,Kalibra,15,128,Shielding
26,Tyrind,Elite Knight,Wintera,675,128,Shielding
26,Yuri Jammy,Elite Knight,Havera,781,128,Shielding
39,Allskillsheep,Knight,Gentebra,13,127,Shielding
39,Boosterio,Elite Knight,Refugia,862,127,Shielding
39,Druida Joselito Lolz,Knight,Ustebra,11,127,Shielding
39,Filusia,Knight,Monza,708,127,Shielding
39,Flanbers Penn,Royal Paladin,Yonabra,1860,127,Shielding
39,Gaxizzy,Elite Knight,Monza,1204,127,Shielding
39,General George Washington,Elite Knight,Yovera,117,127,Shielding
39,Knight Sunblade,Elite Knight,Pacera,510,127,Shielding
39,Lipssky,Elite Knight,Refugia,1773,127,Shielding
39,Lord Fearip,Elite Knight,Gladera,974,127,Shielding
39,Maurolkit,Elite Knight,Secura,1934,127,Shielding
39,Mo rgu,Elite Knight,Monza,2256,127,Shielding
