Rank,Name,Vocation,World,Level,Points,WorldType
1,Bloodrunk Leech,Exalted Monk,Lobera,984,"15,814,025,350",Open PvP
2,Leriisa,Exalted Monk,Thyria,945,"14,009,561,062",Open PvP
3,Masnus,Exalted Monk,Vunira,940,"13,786,354,781",Open PvP
4,Monkii Donky,Exalted Monk,Solidera,934,"13,528,655,312",Open PvP
5,Saga Poderoso,Exalted Monk,Ombra,931,"13,386,987,081",Open PvP
6,Tomek Monkuje,Exalted Monk,Xyla,903,"12,203,390,083",Open PvP
7,Shoocker,Exalted Monk,Quelibra,902,"12,187,753,837",Open PvP
8,Almighty Punch,Exalted Monk,Havera,901,"12,114,059,545",Open PvP
9,Rynce jak rury,Exalted Monk,Citra,900,"12,079,607,664",Open PvP
10,Don Josei,Exalted Monk,Quidera,899,"12,060,609,852",Open PvP
11,Launk,Exalted Monk,Honbra,896,"11,921,952,707",Open PvP
12,Monk Dudu,Exalted Monk,Rasteibra,865,"10,729,537,923",Open PvP
13,Fisterious,Exalted Monk,Xyla,865,"10,712,788,920",Open PvP
14,Bombeiro Pugilista,Exalted Monk,Rasteibra,856,"10,380,751,997",Open PvP
15,Zster,Exalted Monk,Thyria,848,"10,124,260,151",Open PvP
16,Shabir Monk,Exalted Monk,Quidera,839,"9,781,547,358",Open PvP
17,Ki Kyou,Exalted Monk,Serdebra,829,"9,430,771,806",Open PvP
18,The Mazino,Exalted Monk,Antica,823,"9,232,518,174",Open PvP
19,Shaolinzinha,Exalted Monk,Serdebra,820,"9,129,159,624",Open PvP
20,Abs Monkzada,Exalted Monk,Honbra,820,"9,123,087,391",Open PvP
21,Malandroxo,Exalted Monk,Solidera,819,"9,102,110,697",Open PvP
22,Saga iluminado,Exalted Monk,Xymera,819,"9,095,713,684",Open PvP
23,Piasteczka,Exalted Monk,Thyria,802,"8,538,226,504",Open PvP
24,Shakhex,Exalted Monk,Ferobra,800,"8,486,482,056",Open PvP
25,Psico Paglis,Exalted Monk,Jadebra,793,"8,276,750,655",Open PvP
26,Monk Mingo,Exalted Monk,Quidera,793,"8,262,593,855",Open PvP
27,Cwil,Exalted Monk,Ferobra,790,"8,176,543,897",Open PvP
28,Elmif Aila,Exalted Monk,Peloria,783,"7,949,873,893",Open PvP
29,Monk Yi,Exalted Monk,Tornabra,780,"7,860,492,896",Open PvP
30,Dantalix,Exalted Monk,Vunira,780,"7,852,684,191",Open PvP
