Rank,Name,Vocation,World,Level,Points,WorldType
1,Khaos Poderoso,Master Sorcerer,Rasteibra,2552,"276,370,068,809",Open PvP
2,Goa Luccas,Master Sorcerer,Inabra,2416,"234,656,928,979",Open PvP
3,Syriz,Master Sorcerer,Thyria,2222,"182,487,677,038",Open PvP
4,Dany Ellmagnifico,Master Sorcerer,Inabra,2187,"173,958,883,725",Open PvP
5,Zonatto Bombinhams,Master Sorcerer,Ombra,2174,"170,972,524,117",Open PvP
6,Goa Santiago,Master Sorcerer,Ourobra,2105,"155,060,720,536",Open PvP
7,Lichtsz,Master Sorcerer,Inabra,2099,"153,823,632,740",Open PvP
8,Neto Orangepodi,Master Sorcerer,Jadebra,2088,"151,391,633,914",Open PvP
9,Fraanco,Master Sorcerer,Unebra,2085,"150,739,665,336",Open PvP
10,Chris Zeroum,Master Sorcerer,Ombra,2082,"150,019,226,037",Open PvP
11,Toxic Ghost Esecee,Master Sorcerer,Havera,2065,"146,366,863,347",Open PvP
12,Icarus Cltcansado,Master Sorcerer,Ourobra,2059,"145,103,972,065",Open PvP
13,Ranny Zolnierz Elder,Master Sorcerer,Antica,2057,"144,804,160,423",Open PvP
14,Arc Mago Marujo,Master Sorcerer,Serdebra,2034,"139,873,327,623",Open PvP
15,Pedrin Aposentado,Master Sorcerer,Jadebra,2033,"139,644,079,177",Open PvP
16,Maza lov,Master Sorcerer,Ourobra,2025,"138,161,771,037",Open PvP
17,Intenzao Supreme Emex,Master Sorcerer,Havera,2013,"135,733,903,690",Open PvP
18,Leozinnxd,Master Sorcerer,Rasteibra,2006,"134,191,524,612",Open PvP
19,Chefao Magnifikdany,Master Sorcerer,Quelibra,1999,"132,824,746,512",Open PvP
20,Murillaoloko,Master Sorcerer,Quelibra,1993,"131,557,569,913",Open PvP
21,Zedrin Ltda,Master Sorcerer,Jadebra,1990,"130,993,863,229",Open PvP
22,Hintz Dimavontadi,Master Sorcerer,Rasteibra,1974,"127,899,206,343",Open PvP
23,Lefay,Master Sorcerer,Honbra,1970,"127,153,508,928",Open PvP
24,Ghaaren Toxico,Master Sorcerer,Honbra,1969,"126,875,302,063",Open PvP
25,Tonim Mage,Master Sorcerer,Jadebra,1967,"126,491,835,808",Open PvP
26,Yukiti,Master Sorcerer,Ourobra,1954,"124,086,317,306",Open PvP
27,Sir Wendoza,Master Sorcerer,Rasteibra,1944,"122,231,569,774",Open PvP
28,Bertinhow,Master Sorcerer,Quelibra,1938,"120,987,507,910",Open PvP
29,Heitorx Zedrin,Master Sorcerer,Ourobra,1928,"119,258,406,911",Open PvP
30,Heinzinki,Master Sorcerer,Vunira,1918,"117,384,113,153",Open PvP
31,Sorin Amarelou,Master Sorcerer,Inabra,1912,"116,139,063,833",Open PvP
32,Doggosaurus,Master Sorcerer,Premia,1909,"115,681,450,288",Open PvP
33,Aiacos Navy Seal,Master Sorcerer,Talera,1895,"113,088,158,684",Open PvP
34,Otaviul,Master Sorcerer,Inabra,1880,"110,509,299,634",Open PvP
35,Erius Mage,Master Sorcerer,Inabra,1878,"110,056,613,304",Open PvP
36,Epus,Master Sorcerer,Vunira,1837,"103,053,627,624",Open PvP
37,Wharlock,Master Sorcerer,Havera,1834,"102,606,013,229",Open PvP
38,Shainy the Great,Master Sorcerer,Ourobra,1795,"96,162,186,833",Open PvP
39,Thor Fin Camisadez,Master Sorcerer,Honbra,1793,"95,885,850,828",Open PvP
40,Dragom Ball,Master Sorcerer,Talera,1788,"94,996,918,766",Open PvP
41,Mourao Returns,Master Sorcerer,Rasteibra,1787,"94,932,619,751",Open PvP
42,Pedrin Ferias Infinita,Master Sorcerer,Rasteibra,1783,"94,271,959,698",Open PvP
43,Remarkable Deco,Master Sorcerer,Inabra,1770,"92,206,645,968",Open PvP
44,Baudao,Master Sorcerer,Serdebra,1765,"91,424,806,237",Open PvP
45,Que Jon,Master Sorcerer,Serdebra,1765,"91,364,697,379",Open PvP
