Rank,Name,Title,Vocation,World,Level,Points,Category
1,Bibi Return,Enlightened of Tibia,Master Sorcerer,Terribra,1192,"13,705",Loyalty Points
2,Zarakson,Enlightened of Tibia,Royal Paladin,Secura,1317,"9,700",Loyalty Points
3,Kitiara,Enlightened of Tibia,Master Sorcerer,Antica,347,"8,810",Loyalty Points
4,Aegornel Thaelin,Enlightened of Tibia,Knight,Antica,8,"8,797",Loyalty Points
4,Lord Zwiebus,Enlightened of Tibia,Royal Paladin,Antica,308,"8,797",Loyalty Points
4,Yrza,Enlightened of Tibia,Elite Knight,Secura,368,"8,797",Loyalty Points
7,Martin Langbogen,Enlightened of Tibia,Royal Paladin,Monza,358,"8,713",Loyalty Points
8,Faetrea Sage,Enlightened of Tibia,Elder Druid,Pacera,654,"8,688",Loyalty Points
9,Ikot Buwer,Enlightened of Tibia,None,Antica,2,"8,656",Loyalty Points
10,Vofibu's Housemaid,Enlightened of Tibia,Master Sorcerer,Antica,214,"8,598",Loyalty Points
11,Trixi,Enlightened of Tibia,Royal Paladin,Premia,671,"8,560",Loyalty Points
12,Lord Karr,Enlightened of Tibia,Royal Paladin,Wintera,574,"8,554",Loyalty Points
13,Lady Eilonway,Enlightened of Tibia,Elite Knight,Celesta,398,"8,527",Loyalty Points
14,Drath Mikari,Enlightened of Tibia,None,Ourobra,11,"8,504",Loyalty Points
15,Sir slaughter,Enlightened of Tibia,Elder Druid,Antica,374,"8,497",Loyalty Points
16,Esmara,Enlightened of Tibia,Sorcerer,Antica,8,"8,457",Loyalty Points
17,Ay,Enlightened of Tibia,Elder Druid,Antica,256,"8,450",Loyalty Points
18,Shib Ryian,Enlightened of Tibia,Knight,Secura,2,"8,425",Loyalty Points
19,Master of Desaster,Enlightened of Tibia,Elite Knight,Antica,394,"8,397",Loyalty Points
20,Sir Master Slayer,Enlightened of Tibia,Knight,Lobera,11,"8,389",Loyalty Points
21,Astera Tiger,Enlightened of Tibia,Master Sorcerer,Astera,407,"8,379",Loyalty Points
22,Polywog,Enlightened of Tibia,Elder Druid,Premia,187,"8,377",Loyalty Points
23,Spirit of Light,Enlightened of Tibia,Elite Knight,Yovera,337,"8,369",Loyalty Points
24,Ladyabby,Enlightened of Tibia,Master Sorcerer,Calmera,73,"8,358",Loyalty Points
25,Lothore Lotth,Enlightened of Tibia,Master Sorcerer,Antica,20,"8,352",Loyalty Points
25,Red Wolfen,Enlightened of Tibia,Royal Paladin,Gladera,369,"8,352",Loyalty Points
27,Omarskip,Enlightened of Tibia,Elite Knight,Gladera,331,"8,330",Loyalty Points
28,Vukar,Enlightened of Tibia,Elite Knight,Antica,271,"8,302",Loyalty Points
29,Lightning Count,Enlightened of Tibia,Master Sorcerer,Premia,224,"8,291",Loyalty Points
30,Rider the Sorcerer,Enlightened of Tibia,Master Sorcerer,Antica,461,"8,283",Loyalty Points
31,Kinath,Enlightened of Tibia,Master Sorcerer,Premia,396,"8,248",Loyalty Points
32,Alix,Enlightened of Tibia,Elder Druid,Antica,213,"8,209",Loyalty Points
33,Pastora Samama Dacolina,Enlightened of Tibia,Sorcerer,Terribra,16,"8,206",Loyalty Points
34,Zantyr,Enlightened of Tibia,Druid,Secura,20,"8,194",Loyalty Points
35,Lady Lela,Enlightened of Tibia,Elder Druid,Calmera,175,"8,176",Loyalty Points
36,Aldixa,Enlightened of Tibia,Elite Knight,Premia,637,"8,173",Loyalty Points
37,Lord Mikus,Enlightened of Tibia,Master Sorcerer,Lobera,366,"8,168",Loyalty Points
38,Methistos,Enlightened of Tibia,Master Sorcerer,Lobera,164,"8,161",Loyalty Points
39,Tida Shystwi,Enlightened of Tibia,None,Gladera,2,"8,159",Loyalty Points
39,Yary Anpy,Enlightened of Tibia,Elder Druid,Secura,43,"8,159",Loyalty Points
41,Lighthouse Larry,Enlightened of Tibia,Knight,Antica,17,"8,152",Loyalty Points
42,Deludoo,Enlightened of Tibia,Elite Knight,Harmonia,210,"8,151",Loyalty Points
43,Raainhha,Enlightened of Tibia,Elder Druid,Quelibra,130,"8,136",Loyalty Points
44,Feymain,Enlightened of Tibia,Elder Druid,Luminera,506,"8,135",Loyalty Points
45,Tom Bones,Enlightened of Tibia,Knight,Peloria,14,"8,130",Loyalty Points
46,Exequter,Enlightened of Tibia,Master Sorcerer,Peloria,695,"8,124",Loyalty Points
47,Leferty,Enlightened of Tibia,Elite Knight,Calmera,776,"8,110",Loyalty Points
48,Big Time,Enlightened of Tibia,Elite Knight,Quidera,1050,"8,107",Loyalty Points
49,Daliscar,Enlightened of Tibia,Elder Druid,Secura,308,"8,106",Loyalty Points
50,Corym Charletan,Enlightened of Tibia,Sorcerer,Eclipta,134,"8,093",Loyalty Points
51,Luthientinuviel,Enlightened of Tibia,Master Sorcerer,Antica,116,"8,086",Loyalty Points
52,Theoul Jenhio,Enlightened of Tibia,Royal Paladin,Antica,20,"8,082",Loyalty Points
53,Aura,Enlightened of Tibia,Elite Knight,Secura,128,"8,081",Loyalty Points
54,Dragon-Tail,Enlightened of Tibia,Elite Knight,Secura,770,"8,080",Loyalty Points
55,Figue,Enlightened of Tibia,Elite Knight,Antica,361,"8,079",Loyalty Points
56,Lady Wolfen,Enlightened of Tibia,Elder Druid,Gladera,154,"8,073",Loyalty Points
57,Janda,Enlightened of Tibia,Royal Paladin,Secura,535,"8,070",Loyalty Points
58,Pyranha,Enlightened of Tibia,Elite Knight,Calmera,255,"8,056",Loyalty Points
59,Kiniron Fyna,Enlightened of Tibia,None,Thyria,2,"8,050",Loyalty Points
60,Haraster,Enlightened of Tibia,Elite Knight,Refugia,953,"8,033",Loyalty Points
61,Shamhala,Enlightened of Tibia,Elder Druid,Monza,487,"8,016",Loyalty Points
62,Salox De'Sade,Enlightened of Tibia,Elite Knight,Menera,364,"8,008",Loyalty Points
63,Odd Henceforth,Enlightened of Tibia,Elite Knight,Lobera,231,"7,978",Loyalty Points
64,Achilles Tiger,Enlightened of Tibia,Royal Paladin,Astera,286,"7,970",Loyalty Points
65,Lord Ratt,Enlightened of Tibia,Royal Paladin,Gladera,578,"7,969",Loyalty Points
66,Soul of Mastro on Harmonia,Enlightened of Tibia,Master Sorcerer,Harmonia,34,"7,966",Loyalty Points
67,Sir Dragsalot,Enlightened of Tibia,Elite Knight,Lobera,359,"7,965",Loyalty Points
68,Marie-Jane,Enlightened of Tibia,Elite Knight,Peloria,226,"7,951",Loyalty Points
69,Hermelino,Enlightened of Tibia,None,Zuna,1,"7,950",Loyalty Points
70,Belgareth,Enlightened of Tibia,Master Sorcerer,Antica,236,"7,945",Loyalty Points
71,Timvix,Enlightened of Tibia,Elite Knight,Peloria,265,"7,935",Loyalty Points
72,Zephergal,Enlightened of Tibia,Royal Paladin,Pacera,229,"7,923",Loyalty Points
