Rank,Name,Vocation,World,Level,Skill Level,Category
1,Rafaelkiller,Elite Knight,Gentebra,1906,152,Axe Fighting
2,Stepwise,Elite Knight,Descubra,603,148,Axe Fighting
3,Bad Sauce,Elite Knight,Havera,1115,146,Axe Fighting
4,Viggo Slayer,Elite Knight,Secura,1477,145,Axe Fighting
5,Daedrith,Knight,Nefera,607,144,Axe Fighting
5,Jack Aubrey,Elite Knight,Premia,510,144,Axe Fighting
5,Machinbear,Elite Knight,Celebra,1143,144,Axe Fighting
8,Avooo,Elite Knight,Kalanta,1203,143,Axe Fighting
8,Halloiv,Elite Knight,Gentebra,1495,143,Axe Fighting
8,Moose Tape,Elite Knight,Gladera,1768,143,Axe Fighting
11,Fabrkz,Elite Knight,Celebra,1310,142,Axe Fighting
11,Mo rgu,Elite Knight,Monza,2272,142,Axe Fighting
13,Adol Fek,Elite Knight,Bona,1206,141,Axe Fighting
13,Valegari,Elite Knight,Astera,1435,141,Axe Fighting
15,Hydan Aymon,Elite Knight,Nefera,288,140,Axe Fighting
15,Lacerator,Elite Knight,Inabra,1359,140,Axe Fighting
15,Markelito,Elite Knight,Celesta,1657,140,Axe Fighting
15,Rickzher Tank,Elite Knight,Issobra,2160,140,Axe Fighting
15,Rowdz,Elite Knight,Quelibra,1799,140,Axe Fighting
15,Rowen,Elite Knight,Solidera,1750,140,Axe Fighting
15,Thovix,Elite Knight,Bona,856,140,Axe Fighting
22,Aigler,Elite Knight,Quintera,322,139,Axe Fighting
22,Aldixa,Elite Knight,Premia,637,139,Axe Fighting
22,Awf,Elite Knight,Secura,1440,139,Axe Fighting
22,Bruneli Wayne,Elite Knight,Serdebra,2357,139,Axe Fighting
22,Chill Bomba,Elite Knight,Secura,1499,139,Axe Fighting
22,Coatl,Elite Knight,Solidera,1104,139,Axe Fighting
22,Divine Hallux,Elite Knight,Oceanis,1226,139,Axe Fighting
22,Don Winzer,Elite Knight,Yonabra,1027,139,Axe Fighting
22,Huxy,Elite Knight,Secura,1262,139,Axe Fighting
22,Inkkton,Elite Knight,Celesta,1334,139,Axe Fighting
22,Lecter,Elite Knight,Inabra,1930,139,Axe Fighting
22,Machado Purosangue,Elite Knight,Kalibra,1918,139,Axe Fighting
22,Quion,Elite Knight,Celesta,443,139,Axe Fighting
22,Rumpie,Elite Knight,Calmera,617,139,Axe Fighting
22,Vexcraw,Elite Knight,Jadebra,1754,139,Axe Fighting
37,Burgando,Elite Knight,Peloria,504,138,Axe Fighting
37,Cesargxz,Elite Knight,Talera,1905,138,Axe Fighting
37,Cronyco,Elite Knight,Refugia,1417,138,Axe Fighting
37,Dudu Stonecutter,Elite Knight,Ombra,1999,138,Axe Fighting
37,Instalek,Elite Knight,Secura,1104,138,Axe Fighting
37,Jirren,Elite Knight,Peloria,1474,138,Axe Fighting
37,King Danter,Elite Knight,Celesta,2425,138,Axe Fighting
37,Lubelek,Elite Knight,Karmeya,1894,138,Axe Fighting
37,Marco letta,Elite Knight,Ourobra,1996,138,Axe Fighting
37,Mystrucath,Elite Knight,Luminera,1388,138,Axe Fighting
37,Warriior Skeet,Elite Knight,Astera,1577,138,Axe Fighting
37,Womolu,Elite Knight,Celebra,1798,138,Axe Fighting
49,Beargunzio,Elite Knight,Zunera,1359,137,Axe Fighting
49,Bo Ironside,Elite Knight,Harmonia,1296,137,Axe Fighting
49,Caio Sama,Elite Knight,Nefera,1197,137,Axe Fighting
49,Clavaty,Elite Knight,Nefera,802,137,Axe Fighting
49,Divekio,Elite Knight,Luminera,1890,137,Axe Fighting
49,Imortus Reaper,Elite Knight,Belobra,1248,137,Axe Fighting
49,Ivanzerah Namaxima,Elite Knight,Ustebra,1773,137,Axe Fighting
49,Kamus Myth,Elite Knight,Serdebra,878,137,Axe Fighting
49,Nershil,Elite Knight,Secura,1004,137,Axe Fighting
49,Old Lapa,Elite Knight,Nefera,1600,137,Axe Fighting
49,Pankzy,Elite Knight,Celesta,1039,137,Axe Fighting
49,Reiko Fearles,Elite Knight,Refugia,1553,137,Axe Fighting
49,Sky Jet,Elite Knight,Lobera,1550,137,Axe Fighting
49,Tavarao Berserker,Elite Knight,Belobra,1053,137,Axe Fighting
49,Titmoris,Elite Knight,Secura,1120,137,Axe Fighting
64,Benji maxs,Elite Knight,Solidera,896,136,Axe Fighting
64,Bhelklakolova,Elite Knight,Yonabra,1660,136,Axe Fighting
64,Bomba Chapeleiro,Elite Knight,Honbra,2340,136,Axe Fighting
64,Elipe Street,Elite Knight,Celebra,1274,136,Axe Fighting
64,Enough Exp,Elite Knight,Celesta,1379,136,Axe Fighting
64,Frozen Axe,Elite Knight,Serdebra,1282,136,Axe Fighting
64,Hatie,Elite Knight,Monza,1794,136,Axe Fighting
64,Killtec,Elite Knight,Antica,450,136,Axe Fighting
64,Kiss my Axee,Elite Knight,Havera,892,136,Axe Fighting
