Rank,Name,Vocation,World,Level,Skill Level,Category
1,Orlyp,Royal Paladin,Nefera,982,156,Distance Fighting
2,Hero Reis,Royal Paladin,Astera,2360,154,Distance Fighting
3,Dragon Steven,Royal Paladin,Gentebra,892,151,Distance Fighting
4,Almighty Nova,Royal Paladin,Wintera,2197,147,Distance Fighting
4,Alpha Charly,Royal Paladin,Gentebra,2043,147,Distance Fighting
4,Cahcorrea,Royal Paladin,Kalibra,576,147,Distance Fighting
7,Arkelogon,Royal Paladin,Celebra,2095,145,Distance Fighting
7,Edmarp,Royal Paladin,Bona,1098,145,Distance Fighting
7,Old Noe,Royal Paladin,Secura,1964,145,Distance Fighting
10,Bratku Boy,Royal Paladin,Secura,2157,144,Distance Fighting
10,Dawox,Royal Paladin,Calmera,839,144,Distance Fighting
10,Ferangel,Royal Paladin,Bona,2553,144,Distance Fighting
10,Flanbers Penn,Royal Paladin,Yonabra,1866,144,Distance Fighting
10,Lady Meredith,Royal Paladin,Bona,758,144,Distance Fighting
10,Mathias Bynens,Royal Paladin,Vunira,1444,144,Distance Fighting
10,Vepeh,Royal Paladin,Celebra,2836,144,Distance Fighting
17,Alucinethor,Royal Paladin,Inabra,1220,143,Distance Fighting
17,Ayanokouji Skaywalker,Royal Paladin,Astera,1458,143,Distance Fighting
17,Jounetsu,Royal Paladin,Astera,1640,143,Distance Fighting
17,Rinnyan,Royal Paladin,Oceanis,1011,143,Distance Fighting
21,Above Average,Royal Paladin,Pacera,883,142,Distance Fighting
21,Baker Paladin,Royal Paladin,Pacera,1517,142,Distance Fighting
21,Corinthians Slayer,Royal Paladin,Quelibra,1253,142,Distance Fighting
21,Cute Krzysiu,Royal Paladin,Refugia,1809,142,Distance Fighting
21,Herox,Royal Paladin,Thyria,1505,142,Distance Fighting
21,Mia Moonshine,Royal Paladin,Epoca,1361,142,Distance Fighting
21,Rodlex,Royal Paladin,Tempestera,1302,142,Distance Fighting
21,Roglordi,Royal Paladin,Yonabra,540,142,Distance Fighting
21,Ruslex,Royal Paladin,Lobera,891,142,Distance Fighting
21,Sall Sa,Royal Paladin,Gentebra,1419,142,Distance Fighting
21,Ven Vi,Royal Paladin,Refugia,2271,142,Distance Fighting
21,Veyllor,Royal Paladin,Gentebra,2877,142,Distance Fighting
21,Warlord Leonny,Royal Paladin,Belobra,2747,142,Distance Fighting
34,Aaron Legolas,Royal Paladin,Pacera,533,141,Distance Fighting
34,Akkrilus,Royal Paladin,Celesta,963,141,Distance Fighting
34,Caaok,Royal Paladin,Belobra,2126,141,Distance Fighting
34,Chris Dictador,Royal Paladin,Ombra,2306,141,Distance Fighting
34,Cubbii,Royal Paladin,Celesta,1457,141,Distance Fighting
34,Devzin,Royal Paladin,Celesta,2084,141,Distance Fighting
34,Fael Fahurr,Royal Paladin,Quelibra,2181,141,Distance Fighting
34,Falkzao Supreme Emex,Royal Paladin,Havera,1935,141,Distance Fighting
34,Ilurin,Royal Paladin,Bona,1186,141,Distance Fighting
34,Izeekao,Royal Paladin,Celebra,1830,141,Distance Fighting
34,Lefi,Royal Paladin,Calmera,1029,141,Distance Fighting
34,Leo Nid'as,Royal Paladin,Gentebra,973,141,Distance Fighting
34,Marwin Devile,Royal Paladin,Celebra,1259,141,Distance Fighting
34,Matshow,Royal Paladin,Belobra,1649,141,Distance Fighting
34,Mitmachina,Royal Paladin,Celesta,1784,141,Distance Fighting
34,Myrkz,Royal Paladin,Lobera,1543,141,Distance Fighting
34,Nerdezera,Royal Paladin,Ustebra,1315,141,Distance Fighting
34,Oswaldo Toxico,Royal Paladin,Kalibra,2079,141,Distance Fighting
34,Rodrigaaum,Royal Paladin,Inabra,2049,141,Distance Fighting
34,Scharfschutzen,Royal Paladin,Gladera,493,141,Distance Fighting
34,Silentshell,Royal Paladin,Antica,1317,141,Distance Fighting
34,Skaf,Royal Paladin,Ferobra,1183,141,Distance Fighting
34,Tale Rion,Royal Paladin,Nefera,1734,141,Distance Fighting
34,Venoox,Royal Paladin,Celesta,2307,141,Distance Fighting
58,Alex Froggy,Royal Paladin,Vunira,1520,140,Distance Fighting
58,Alfiler Flecha Sombria,Royal Paladin,Ferobra,1856,140,Distance Fighting
58,Angel Agatha,Royal Paladin,Gentebra,479,140,Distance Fighting
58,Brother Nighthawk,Royal Paladin,Luminera,808,140,Distance Fighting
58,Cropper Phale,Royal Paladin,Nevia,1656,140,Distance Fighting
58,Daso II,Royal Paladin,Antica,1624,140,Distance Fighting
58,Eckows,Royal Paladin,Yonabra,1812,140,Distance Fighting
58,Ellmagnifinho Danynho,Royal Paladin,Inabra,2180,140,Distance Fighting
58,Ezudux,Royal Paladin,Gentebra,2050,140,Distance Fighting
58,Furito Fraco,Royal Paladin,Zunera,1103,140,Distance Fighting
58,Furyprime,Royal Paladin,Antica,1635,140,Distance Fighting
58,Jaruga,Royal Paladin,Nevia,1552,140,Distance Fighting
58,Litwin,Royal Paladin,Refugia,880,140,Distance Fighting
58,Lord Marshals,Royal Paladin,Peloria,1639,140,Distance Fighting
58,Mazzeriin,Royal Paladin,Karmeya,2417,140,Distance Fighting
58,Meatbow,Royal Paladin,Epoca,1750,140,Distance Fighting
58,Rayo,Royal Paladin,Gentebra,2399,140,Distance Fighting
58,Royal Yattaman,Royal Paladin,Refugia,1264,140,Distance Fighting
58,Tahask,Royal Paladin,Belobra,1294,140,Distance Fighting
58,Unholy Skyzen,Royal Paladin,Solidera,1086,140,Distance Fighting
58,Venus,Royal Paladin,Vunira,1136,140,Distance Fighting
58,Villero Lgante,Royal Paladin,Astera,1476,140,Distance Fighting
58,Viny Twentyone,Royal Paladin,Serdebra,1429,140,Distance Fighting
58,Vitiinn,Royal Paladin,Belobra,2121,140,Distance Fighting
58,Will Fibrado,Royal Paladin,Quelibra,1035,140,Distance Fighting
58,Yu'Maxi,Royal Paladin,Yonabra,584,140,Distance Fighting
58,Yunski,Royal Paladin,Secura,2144,140,Distance Fighting
85,Al Ziponny,Royal Paladin,Belobra,1818,139,Distance Fighting
85,Arthas Lightborn,Royal Paladin,Yonabra,1992,139,Distance Fighting
85,Balas King,Royal Paladin,Nevia,1516,139,Distance Fighting
85,Bestia Losu,Royal Paladin,Monza,1138,139,Distance Fighting
85,Bullistic,Royal Paladin,Lobera,1404,139,Distance Fighting
85,Capetao Tipster,Royal Paladin,Inabra,1993,139,Distance Fighting
85,Chron Ix,Royal Paladin,Quidera,1073,139,Distance Fighting
85,Cloud Valek,Royal Paladin,Harmonia,1686,139,Distance Fighting
85,Dakudo Bakuna,Royal Paladin,Secura,405,139,Distance Fighting
85,Demn,Royal Paladin,Luminera,1924,139,Distance Fighting
85,Drasski,Royal Paladin,Secura,1544,139,Distance Fighting
85,Geeovarcher,Royal Paladin,Descubra,721,139,Distance Fighting
85,Ginowi,Royal Paladin,Monza,2038,139,Distance Fighting
85,Higzy,Royal Paladin,Gentebra,1621,139,Distance Fighting
85,Izkov Flei,Royal Paladin,Zunera,1571,139,Distance Fighting
85,Jaz,Royal Paladin,Calmera,1105,139,Distance Fighting
85,Kommander,Royal Paladin,Celebra,2763,139,Distance Fighting
85,Kronek,Royal Paladin,Firmera,1797,139,Distance Fighting
85,Leg Olaz,Royal Paladin,Quintera,500,139,Distance Fighting
85,Mi Sioo,Royal Paladin,Harmonia,1906,139,Distance Fighting
85,Mondarius,Royal Paladin,Inabra,1249,139,Distance Fighting
85,Nott Primetime,Royal Paladin,Descubra,2171,139,Distance Fighting
85,Passion Killer,Royal Paladin,Gladera,437,139,Distance Fighting
85,Radraz,Royal Paladin,Vunira,1403,139,Distance Fighting
85,Salsa Agridoce,Royal Paladin,Oceanis,1406,139,Distance Fighting
85,Sapin Rhasta,Royal Paladin,Gentebra,1577,139,Distance Fighting
