Rank,Name,Vocation,World,Level,Skill Level,Category
1,The Avatar,Exalted Monk,Calmera,534,135,Fist Fighting
2,Mua Lan,Exalted Monk,Secura,667,131,Fist Fighting
3,Alpha Charlyne,Exalted Monk,Gentebra,713,130,Fist Fighting
3,Maximus Punch,Exalted Monk,Astera,695,130,Fist Fighting
5,Bloodrunk Leech,Exalted Monk,Lobera,984,128,Fist Fighting
5,Salviano Monk,Exalted Monk,Ferobra,532,128,Fist Fighting
5,Toniim,Exalted Monk,Jadebra,573,128,Fist Fighting
8,Astromeliaa,Exalted Monk,Solidera,246,127,Fist Fighting
9,Shin Ryuu,Exalted Monk,Blumera,716,126,Fist Fighting
10,Launk,Exalted Monk,Honbra,896,125,Fist Fighting
10,Masnus,Exalted Monk,Vunira,940,125,Fist Fighting
10,Pho Pho,Exalted Monk,Monza,142,125,Fist Fighting
10,Tarnowski Blokers,Elite Knight,Gladera,164,125,Fist Fighting
14,Enlightened Lootboxx,Exalted Monk,Yovera,561,124,Fist Fighting
14,Monk Yi,Exalted Monk,Tornabra,780,124,Fist Fighting
14,Zaaw Insane,Exalted Monk,Calmera,906,124,Fist Fighting
17,Einya Lightheart,Exalted Monk,Peloria,622,123,Fist Fighting
17,General George Washington,Elite Knight,Yovera,117,123,Fist Fighting
17,Monkii Donky,Exalted Monk,Solidera,934,123,Fist Fighting
17,The King Fighter,Exalted Monk,Jadebra,542,123,Fist Fighting
21,Aelistar,Exalted Monk,Nefera,507,122,Fist Fighting
21,Apex Monk,Exalted Monk,Nefera,492,122,Fist Fighting
21,Roaming Dread,Exalted Monk,Harmonia,157,122,Fist Fighting
21,Rokkye,Exalted Monk,Gentebra,840,122,Fist Fighting
21,Xura Shinsei,Exalted Monk,Ferobra,644,122,Fist Fighting
26,Airowun,Exalted Monk,Blumera,471,121,Fist Fighting
26,Bearju,Exalted Monk,Nefera,433,121,Fist Fighting
26,Gvyn Bleidd,Exalted Monk,Antica,164,121,Fist Fighting
26,Juanito Gallagher,Exalted Monk,Quidera,710,121,Fist Fighting
26,Lata Ogon,Exalted Monk,Celesta,289,121,Fist Fighting
26,Mivrael,Exalted Monk,Karmeya,319,121,Fist Fighting
26,Mixmonk,Exalted Monk,Pacera,606,121,Fist Fighting
26,Onro Silverhand,Exalted Monk,Menera,464,121,Fist Fighting
26,Tefciowy Monk,Exalted Monk,Antica,367,121,Fist Fighting
35,Aris Monk,Exalted Monk,Wintera,328,120,Fist Fighting
35,Craig the knight,Elite Knight,Lobera,938,120,Fist Fighting
