Rank,Name,Vocation,World,Level,Skill Level,Category
1,Lord Executer,Elite Knight,Premia,1253,148,Sword Fighting
2,Lord Bidu Kina,Elite Knight,Descubra,1239,147,Sword Fighting
3,Orangeona,Elite Knight,Lobera,1362,146,Sword Fighting
3,Sir Dragsalot,Elite Knight,Lobera,359,146,Sword Fighting
5,Astronis,Elite Knight,Astera,762,144,Sword Fighting
5,Bar,Elite Knight,Quidera,1780,144,Sword Fighting
5,Tcharles,Elite Knight,Belobra,1415,144,Sword Fighting
5,Toxic Chico Chill,Elite Knight,Solidera,971,144,Sword Fighting
9,Darkslayer Ronin,Elite Knight,Premia,1326,143,Sword Fighting
9,Jackson Knight,Elite Knight,Kalibra,1918,143,Sword Fighting
9,Ki Naitao Olim,Elite Knight,Belobra,2491,143,Sword Fighting
9,Penko Biznez Enthusiast,Elite Knight,Secura,1278,143,Sword Fighting
9,Shadow liger,Elite Knight,Pacera,707,143,Sword Fighting
9,Tottz,Elite Knight,Calmera,591,143,Sword Fighting
9,Zitob,Elite Knight,Monza,1157,143,Sword Fighting
16,Asmitta,Elite Knight,Ourobra,1166,142,Sword Fighting
16,Aujla,Elite Knight,Gladera,759,142,Sword Fighting
16,Carnotaurus,Elite Knight,Secura,937,142,Sword Fighting
16,Kharsek,Elite Knight,Gladera,1994,142,Sword Fighting
16,Magnifik Ekdany,Elite Knight,Inabra,1631,142,Sword Fighting
16,Mexicano Tequileiro,Elite Knight,Monza,542,142,Sword Fighting
16,Moe The Knight,Elite Knight,Nefera,582,142,Sword Fighting
16,Rangel Lestat,Elite Knight,Gentebra,1620,142,Sword Fighting
24,Diones Machine,Elite Knight,Descubra,2155,141,Sword Fighting
24,Etel Grig,Elite Knight,Lobera,521,141,Sword Fighting
24,Eternal Ichigo Kurosaki,Elite Knight,Astera,1695,141,Sword Fighting
24,Maurolkit,Elite Knight,Secura,1942,141,Sword Fighting
24,Mystic Videl,Elite Knight,Secura,673,141,Sword Fighting
29,Abisaga,Elite Knight,Belobra,1571,140,Sword Fighting
29,Andrewsek,Elite Knight,Nefera,1195,140,Sword Fighting
29,Bossprime,Elite Knight,Antica,1841,140,Sword Fighting
29,Braboeka,Elite Knight,Jadebra,1537,140,Sword Fighting
29,Dystopian,Elite Knight,Vunira,1305,140,Sword Fighting
29,Latulla Keldon Overseer,Elite Knight,Secura,1930,140,Sword Fighting
29,Lord Maseda,Elite Knight,Antica,1453,140,Sword Fighting
29,Roadster Kitad,Elite Knight,Talera,1504,140,Sword Fighting
29,Rus ty,Elite Knight,Descubra,1815,140,Sword Fighting
29,Smurfaren,Elite Knight,Vunira,516,140,Sword Fighting
29,Zos Io Pan,Elite Knight,Serdebra,1097,140,Sword Fighting
40,Barao Relampejante,Elite Knight,Yonabra,2049,139,Sword Fighting
40,Bartanky,Elite Knight,Tornabra,1213,139,Sword Fighting
40,Bigg Melon,Elite Knight,Bona,1331,139,Sword Fighting
40,Galvarg,Elite Knight,Inabra,1283,139,Sword Fighting
