Rank,Name,Vocation,World,Level,Points,WorldType
1,Trathos,None,Thyria,253,"266,516,580",Open PvP
2,Colin Fletcher,None,Thyria,221,"175,210,609",Open PvP
3,Digi mortal,None,Antica,207,"144,661,764",Open PvP
4,Don Mastema,None,Thyria,207,"144,244,840",Open PvP
5,Kuwabara Rookstayer,None,Peloria,200,"130,353,860",Open PvP
6,Nightre Mage,None,Thyria,176,"89,106,013",Open PvP
7,Nekhronoz,None,Wintera,171,"80,609,459",Open PvP
8,Rookero de'Master,None,Peloria,170,"79,402,890",Open PvP
9,Ratito Axedamage,None,Talera,168,"77,572,187",Open PvP
10,Suvrie,None,Vunira,159,"64,820,061",Open PvP
11,Orian Zagon,None,Peloria,155,"60,596,409",Open PvP
12,Morpheus Rookstayer,None,Vunira,155,"60,256,076",Open PvP
13,Hudinho,None,Talera,155,"59,889,390",Open PvP
14,Sonny Rooker,None,Talera,151,"55,859,078",Open PvP
15,Nalia Oririon,None,Solidera,149,"53,393,585",Open PvP
16,Kronnos of Kaos,None,Talera,147,"51,241,673",Open PvP
17,Darkgladir,None,Peloria,146,"50,679,537",Open PvP
18,Oo Jedynak Oo,None,Antica,143,"47,487,694",Open PvP
19,General Hiden Skull,None,Havera,141,"45,339,012",Open PvP
20,Mystic Dark Ninja,None,Vunira,140,"44,530,992",Open PvP
21,Surnuz,None,Havera,139,"43,570,239",Open PvP
22,Ranncor,None,Lobera,138,"42,368,488",Open PvP
23,Derchis Rooker,None,Thyria,136,"40,391,052",Open PvP
24,Merion Anjo,None,Solidera,134,"38,357,983",Open PvP
25,Skynet of Hell,None,Lobera,134,"38,353,063",Open PvP
26,Xayeek,None,Thyria,133,"37,679,231",Open PvP
27,El,None,Antica,131,"36,323,058",Open PvP
28,Lohor,None,Xyla,127,"33,269,911",Open PvP
29,Big Bambik,None,Thyria,127,"33,177,639",Open PvP
30,Tarik Rooker,None,Peloria,122,"29,379,009",Open PvP
31,Payton,None,Antica,122,"29,208,343",Open PvP
32,Adventurer Billy,None,Antica,121,"28,373,941",Open PvP
33,Axe Burning,None,Havera,120,"27,587,077",Open PvP
34,Draminha Suvan Rook,None,Havera,120,"27,574,680",Open PvP
35,Katador de Dragaozinho,None,Wintera,119,"27,111,865",Open PvP
36,Molto,None,Premia,118,"26,578,732",Open PvP
37,Vanessa of Furora,None,Thyria,117,"25,364,351",Open PvP
38,Ma Vu,None,Talera,116,"25,283,462",Open PvP
39,Jancio,None,Thyria,116,"25,122,598",Open PvP
40,Endriu Welc,None,Vunira,116,"24,965,601",Open PvP
41,Mobinha,None,Quintera,115,"24,484,728",Open PvP
42,Rookstayer Imortal,None,Vunira,115,"24,095,925",Open PvP
43,Princess Nahely,None,Talera,114,"23,551,004",Open PvP
44,Splosha,None,Peloria,114,"23,523,207",Open PvP
45,Mantegalks,None,Antica,113,"23,295,654",Open PvP
46,Don Barone,None,Havera,113,"22,809,823",Open PvP
47,Victorzim,None,Vunira,112,"22,553,692",Open PvP
48,Brasileiro Milioneiro,None,Jaguna,112,"22,480,941",Open PvP
49,Maas,None,Solidera,112,"22,464,816",Open PvP
50,Urlacher,None,Antica,111,"22,117,196",Open PvP
51,Tribute Devil Rooker,None,Wintera,111,"21,621,759",Open PvP
52,Spinex,None,Antica,111,"21,599,199",Open PvP
53,Sunrise,None,Antica,110,"21,582,918",Open PvP
54,Kano Nako,None,Thyria,110,"21,528,655",Open PvP
55,Rein Rookstayer,None,Peloria,110,"21,219,294",Open PvP
56,Lunatic Dreamer,None,Lobera,110,"21,143,260",Open PvP
57,Anamilbeast,None,Solidera,110,"21,130,066",Open PvP
58,Lee Mastema,None,Thyria,110,"21,005,000",Open PvP
59,Filho de Rookgaard,None,Lobera,109,"20,662,976",Open PvP
60,Vampyre Louis,None,Lobera,109,"20,514,484",Open PvP
61,Stonecold Mega,None,Antica,109,"20,450,635",Open PvP
62,Dyesel,None,Talera,108,"20,306,917",Open PvP
63,Silven Akashi Rooker,None,Lobera,108,"20,298,171",Open PvP
64,Deleader,None,Solidera,108,"20,073,025",Open PvP
65,Breath Doterra,None,Lobera,108,"19,978,459",Open PvP
66,Szwe Azura,None,Peloria,108,"19,976,426",Open PvP
67,Pan Najlepszy,None,Peloria,107,"19,696,789",Open PvP
68,Grim Rook'Master,None,Solidera,107,"19,435,921",Open PvP
69,Adventurer Adrian,None,Vunira,107,"19,342,695",Open PvP
70,Aloho Eoxa,None,Vunira,107,"19,335,107",Open PvP
71,Fulck,None,Inabra,106,"19,000,794",Open PvP
72,Perfectly Knight,None,Vunira,106,"18,829,675",Open PvP
73,Masterwizard,None,Solidera,106,"18,825,696",Open PvP
74,Par Levi,None,Havera,105,"18,667,234",Open PvP
75,Kwieto,None,Vunira,105,"18,635,701",Open PvP
76,Irmao de Kratos,None,Solidera,105,"18,401,321",Open PvP
77,Figz Rook Vibes,None,Antica,105,"18,225,859",Open PvP
78,Hermio Rookstayerka,None,Vunira,105,"18,224,861",Open PvP
79,Mepi Samoonnhem,None,Havera,104,"17,991,112",Open PvP
80,Voodoo Rhythm,None,Havera,104,"17,962,663",Open PvP
81,Zim Kadabra,None,Antica,104,"17,781,658",Open PvP
82,Star Rook,None,Thyria,103,"17,303,389",Open PvP
83,Mistic Gregor,None,Peloria,103,"17,198,121",Open PvP
84,Rookist,None,Lobera,102,"16,988,756",Open PvP
85,Bogus Rookstayer,None,Peloria,102,"16,903,128",Open PvP
86,Hyacinth de Rookgaard,None,Lobera,101,"16,353,152",Open PvP
87,Strugu Rookslayer,None,Antica,101,"16,322,290",Open PvP
88,Ron Rookslayer,None,Vunira,101,"16,311,801",Open PvP
89,Wizyax,None,Vunira,101,"16,306,562",Open PvP
90,Mis Quala,None,Thyria,101,"16,223,039",Open PvP
91,Bitrot,None,Lobera,101,"16,195,538",Open PvP
92,Cona Rookstayer,None,Antica,101,"16,189,190",Open PvP
93,Algos Seyletrel,None,Wintera,100,"16,043,886",Open PvP
94,Lealuk,None,Peloria,100,"15,958,495",Open PvP
95,Rookstayer Seriusis,None,Antica,100,"15,953,816",Open PvP
96,Levi Miresty,None,Solidera,100,"15,781,754",Open PvP
97,Tarik Pletsch,None,Vunira,100,"15,779,564",Open PvP
98,Shiv Guardian,None,Talera,100,"15,726,440",Open PvP
99,Jakub Suchyman,None,Vunira,100,"15,708,396",Open PvP
100,Talisis Alveen,None,Antica,100,"15,707,153",Open PvP
101,Rookgaards Prince,None,Havera,100,"15,703,832",Open PvP
102,Daedlus,None,Antica,100,"15,700,211",Open PvP
103,Halina Kiepska,None,Vunira,99,"15,691,615",Open PvP
104,Rook Ades,None,Vunira,99,"15,689,912",Open PvP
105,Tort,None,Talera,99,"15,641,360",Open PvP
106,Batman Voador,None,Ombra,99,"15,628,542",Open PvP
107,Soliox,None,Antica,99,"15,300,726",Open PvP
108,War Brothers,None,Lobera,97,"14,641,896",Open PvP
109,Bendito sodboa,None,Havera,97,"14,558,047",Open PvP
110,Carina Muerte,None,Havera,97,"14,427,634",Open PvP
111,Zyxu,None,Talera,97,"14,409,693",Open PvP
112,Magnificent Rookgaardian,None,Wintera,96,"14,030,613",Open PvP
113,Arni-Rook,None,Vunira,96,"13,993,399",Open PvP
114,Lord Mazai,None,Antica,96,"13,903,080",Open PvP
115,Leonello Rooker,None,Talera,96,"13,895,592",Open PvP
116,Samara-rosa,None,Talera,95,"13,537,794",Open PvP
117,Ligax Zetharie,None,Vunira,95,"13,534,981",Open PvP
