Rank,Name,Vocation,World,Level,Points,WorldType
1,Khaos Poderoso,Master Sorcerer,Rasteibra,2522,"266,960,293,115",Open PvP
2,Goa Luccas,Master Sorcerer,Inabra,2368,"220,946,010,018",Open PvP
3,Syriz,Master Sorcerer,Thyria,2195,"175,930,652,397",Open PvP
4,Dany Ellmagnifico,Master Sorcerer,Inabra,2165,"168,868,353,141",Open PvP
5,Zonatto Bombinhams,Master Sorcerer,Honbra,2138,"162,560,408,589",Open PvP
6,Lichtsz,Master Sorcerer,Inabra,2073,"148,200,494,351",Open PvP
7,Goa Luccas Neto,Master Sorcerer,Ourobra,2063,"146,007,663,277",Open PvP
8,Neto Orangepodi,Master Sorcerer,Rasteibra,2057,"144,768,806,648",Open PvP
9,Toxic Ghost Esecee,Master Sorcerer,Havera,2047,"142,612,167,500",Open PvP
10,Fraanco,Master Sorcerer,Jadebra,2045,"142,152,055,327",Open PvP
11,Ranny Zolnierz Elder,Master Sorcerer,Antica,2036,"140,333,707,765",Open PvP
12,Chris Zeroum,Master Sorcerer,Ombra,2032,"139,555,402,678",Open PvP
13,Icarus Cltcansado,Master Sorcerer,Ourobra,2029,"138,817,238,355",Open PvP
14,Maza lov,Master Sorcerer,Rasteibra,2017,"136,427,689,051",Open PvP
15,Arc Mago Marujo,Master Sorcerer,Serdebra,2006,"134,159,573,624",Open PvP
16,Intenzao Supreme Emex,Master Sorcerer,Havera,1999,"132,824,040,870",Open PvP
17,Pedrin Aposentado,Master Sorcerer,Rasteibra,1997,"132,502,614,492",Open PvP
18,Leozinnxd,Master Sorcerer,Rasteibra,1973,"127,787,944,270",Open PvP
19,Chefao Magnifikdany,Sorcerer,Inabra,1972,"127,555,850,583",Open PvP
20,Murillaoloko,Master Sorcerer,Quelibra,1956,"124,420,758,129",Open PvP
21,Zedrin Ltda,Master Sorcerer,Ourobra,1953,"123,898,955,643",Open PvP
22,Hintz Dimavontadi,Master Sorcerer,Rasteibra,1942,"121,771,158,301",Open PvP
23,Divininho,Master Sorcerer,Ombra,1937,"120,836,350,269",Open PvP
24,Tonim Mage,Master Sorcerer,Jadebra,1924,"118,352,599,852",Open PvP
25,Bertinho Enrikow,Master Sorcerer,Quelibra,1923,"118,229,150,551",Open PvP
26,Lefay,Master Sorcerer,Honbra,1914,"116,607,804,248",Open PvP
27,Yukiti,Master Sorcerer,Ourobra,1913,"116,478,453,317",Open PvP
28,Sir Wendoza,Master Sorcerer,Rasteibra,1911,"116,057,877,232",Open PvP
29,Heinzinki,Master Sorcerer,Vunira,1895,"113,068,597,289",Open PvP
30,Heitorx Zedrin,Master Sorcerer,Ourobra,1891,"112,448,703,678",Open PvP
31,Sorin Amarelou,Master Sorcerer,Inabra,1888,"111,880,690,015",Open PvP
32,Hellz Nagb,Master Sorcerer,Wintera,1884,"111,172,687,265",Open PvP
33,Doggosaurus,Master Sorcerer,Premia,1872,"109,032,707,448",Open PvP
34,Otaviul,Master Sorcerer,Inabra,1844,"104,180,255,764",Open PvP
35,Erius Mage,Master Sorcerer,Inabra,1841,"103,778,990,407",Open PvP
36,Epus,Master Sorcerer,Vunira,1831,"102,132,085,539",Open PvP
37,Wharlock,Master Sorcerer,Havera,1822,"100,599,922,830",Open PvP
38,Mourao Returns,Master Sorcerer,Rasteibra,1772,"92,532,468,490",Open PvP
39,Pedrin Ferias Infinita,Master Sorcerer,Rasteibra,1770,"92,191,360,312",Open PvP
40,Thor Fin Camisadez,Master Sorcerer,Honbra,1765,"91,421,613,963",Open PvP
41,Dragom Ball,Master Sorcerer,Talera,1764,"91,233,968,099",Open PvP
42,Shainy the Great,Master Sorcerer,Ourobra,1762,"90,868,052,856",Open PvP
43,Que Jon,Master Sorcerer,Serdebra,1748,"88,774,154,996",Open PvP
44,Magnifik Emperatordany,Master Sorcerer,Inabra,1734,"86,710,039,968",Open PvP
45,Baudao,Master Sorcerer,Serdebra,1727,"85,647,291,919",Open PvP
46,Remarkable Deco,Master Sorcerer,Inabra,1725,"85,367,752,489",Open PvP
47,Goa Luke,Master Sorcerer,Quelibra,1722,"84,900,263,890",Open PvP
48,Adorned Pouncer,Master Sorcerer,Honbra,1716,"84,026,824,519",Open PvP
49,Ahoky,Master Sorcerer,Solidera,1708,"82,756,020,071",Open PvP
50,Niquit,Master Sorcerer,Antica,1705,"82,383,639,865",Open PvP
51,Volkiz Emex,Master Sorcerer,Solidera,1705,"82,351,681,167",Open PvP
52,Duzoco Inofensivo,Master Sorcerer,Jadebra,1701,"81,820,684,103",Open PvP
53,Dudodix,Master Sorcerer,Ferobra,1699,"81,456,380,247",Open PvP
54,Uchiha Dono Tornabra,Master Sorcerer,Tornabra,1698,"81,439,152,212",Open PvP
55,Unstoppable Mozar,Master Sorcerer,Jadebra,1695,"80,935,360,846",Open PvP
56,Sorin Vilao,Master Sorcerer,Ourobra,1675,"78,138,314,310",Open PvP
57,Vepe Ohz,Master Sorcerer,Quelibra,1668,"77,129,828,710",Open PvP
58,Ze Zinho,Master Sorcerer,Ourobra,1665,"76,730,054,015",Open PvP
59,Sha Dowh,Master Sorcerer,Premia,1665,"76,711,686,106",Open PvP
60,Onslaught Sorcerer,Master Sorcerer,Solidera,1657,"75,654,360,568",Open PvP
61,Skabp Intolerante,Master Sorcerer,Ferobra,1656,"75,439,954,722",Open PvP
62,Jacm Bombiinha,Master Sorcerer,Ferobra,1655,"75,371,349,346",Open PvP
63,Hera Kivaa Fallout,Master Sorcerer,Ourobra,1644,"73,850,949,831",Open PvP
64,Zdzi Siek,Master Sorcerer,Peloria,1643,"73,686,316,961",Open PvP
65,Biellzinha,Master Sorcerer,Inabra,1632,"72,259,525,743",Open PvP
66,Fael Gumpshrimp,Master Sorcerer,Quelibra,1630,"72,005,861,216",Open PvP
67,Young Talent,Master Sorcerer,Thyria,1630,"71,972,789,773",Open PvP
68,Shoockerzim,Master Sorcerer,Inabra,1628,"71,707,407,821",Open PvP
69,Teteu Endividado,Master Sorcerer,Honbra,1625,"71,366,899,313",Open PvP
70,Smoking Killer,Master Sorcerer,Solidera,1617,"70,229,265,792",Open PvP
71,Unicorn Lady Boy,Master Sorcerer,Lobera,1613,"69,720,582,915",Open PvP
72,Khriszztoph,Master Sorcerer,Ombra,1610,"69,332,668,274",Open PvP
73,Cellio,Master Sorcerer,Rasteibra,1609,"69,241,938,175",Open PvP
74,Knacked,Master Sorcerer,Peloria,1608,"69,059,147,130",Open PvP
75,Bjo,Master Sorcerer,Quelibra,1608,"69,050,818,836",Open PvP
76,Malu Manzan,Master Sorcerer,Serdebra,1598,"67,864,097,624",Open PvP
77,Mejo Vikee,Master Sorcerer,Thyria,1596,"67,607,957,800",Open PvP
78,Riivv,Master Sorcerer,Antica,1588,"66,511,036,701",Open PvP
79,Vitnho,Master Sorcerer,Tornabra,1587,"66,453,181,129",Open PvP
80,Inferno koox,Master Sorcerer,Thyria,1584,"66,113,035,684",Open PvP
81,Radamanthys Navy Seal,Master Sorcerer,Talera,1576,"64,992,716,582",Open PvP
82,Melinxd,Master Sorcerer,Rasteibra,1571,"64,426,777,665",Open PvP
83,Brutus Insane,Master Sorcerer,Rasteibra,1569,"64,153,487,540",Open PvP
84,Hat Kill Stealer,Master Sorcerer,Havera,1568,"64,083,833,302",Open PvP
85,Floky Monkey,Master Sorcerer,Thyria,1560,"63,061,506,190",Open PvP
86,Pekky Khamzai,Master Sorcerer,Antica,1556,"62,609,837,156",Open PvP
87,Yankoz Maestro,Master Sorcerer,Antica,1555,"62,487,963,605",Open PvP
88,Tatuazyyk,Master Sorcerer,Vunira,1551,"62,055,882,694",Open PvP
89,Closedfriends Fernandoo,Master Sorcerer,Jadebra,1550,"61,940,242,588",Open PvP
90,Imperiious,Master Sorcerer,Lobera,1550,"61,869,799,712",Open PvP
91,Bigboy Damage,Master Sorcerer,Thyria,1547,"61,489,242,862",Open PvP
92,Tazari Windu,Master Sorcerer,Rasteibra,1539,"60,582,872,211",Open PvP
93,Kardya Shelby,Master Sorcerer,Havera,1538,"60,402,427,732",Open PvP
94,Sir Tom Bombadil,Master Sorcerer,Havera,1536,"60,258,299,324",Open PvP
