Rank,Name,Vocation,World,Level,Points,category,vocation_id
1,Dreams,Elder Druid,Yonabra,1361,"26,009",Charm Points,0
1,Gata Vitoria,Elite Knight,Yonabra,1388,"26,009",Charm Points,0
3,Aruarian Druid,Elder Druid,Menera,1440,"25,989",Charm Points,0
3,Fanas,Elder Druid,Lobera,1448,"25,989",Charm Points,0
3,Lairuf,Elder Druid,Refugia,1544,"25,989",Charm Points,0
6,Mi Sioo,Royal Paladin,Harmonia,1890,"25,959",Charm Points,0
7,Alpha Charlyne,Exalted Monk,Kalibra,679,"25,949",Charm Points,0
8,Gakild,Royal Paladin,Yonabra,1604,"25,939",Charm Points,0
9,Knightis,Elite Knight,Karmeya,1192,"25,909",Charm Points,0
9,Royal Kado,Royal Paladin,Secura,1255,"25,909",Charm Points,0
11,Mathias Bynens,Royal Paladin,Vunira,1415,"25,899",Charm Points,0
12,Mirotth,Elite Knight,Belobra,1969,"25,889",Charm Points,0
12,Myrkz,Royal Paladin,Lobera,1513,"25,889",Charm Points,0
12,Poppel the knight,Elite Knight,Peloria,1407,"25,889",Charm Points,0
12,Roffa The King,Elite Knight,Vunira,1588,"25,889",Charm Points,0
16,Max Fleury,Elite Knight,Celebra,2087,"25,864",Charm Points,0
16,Niquit,Master Sorcerer,Antica,1705,"25,864",Charm Points,0
18,Luconn,Elite Knight,Secura,1171,"25,859",Charm Points,0
19,Bambaryla Witek,Elder Druid,Thyria,1895,"25,839",Charm Points,0
19,Old Noe,Royal Paladin,Secura,1959,"25,839",Charm Points,0
21,Caaok,Royal Paladin,Belobra,2093,"25,814",Charm Points,0
22,Tarmon Gai Don,Elder Druid,Peloria,1284,"25,809",Charm Points,0
23,Cybres Jack,Master Sorcerer,Celebra,1650,"25,764",Charm Points,0
24,Sage of Ice,Elder Druid,Belobra,1014,"25,664",Charm Points,0
25,Alpha Charly,Royal Paladin,Gentebra,2027,"25,614",Charm Points,0
25,Zyro'flame,Master Sorcerer,Secura,1411,"25,614",Charm Points,0
27,Axy,Elder Druid,Yonabra,1371,"25,609",Charm Points,0
28,Danan the shihan,Elite Knight,Quintera,1659,"25,524",Charm Points,0
29,Exorinho,Elite Knight,Thyria,1992,"25,514",Charm Points,0
30,Rodoxxx,Royal Paladin,Nefera,1580,"25,489",Charm Points,0
30,Szmuggy,Royal Paladin,Thyria,2066,"25,489",Charm Points,0
32,Dash Deluxe,Master Sorcerer,Secura,1658,"25,389",Charm Points,0
33,Czikita,Elder Druid,Secura,2053,"25,364",Charm Points,0
33,Special Frank,Elder Druid,Serdebra,1519,"25,364",Charm Points,0
35,Arterossy,Royal Paladin,Thyria,1498,"25,339",Charm Points,0
35,Machado Purosangue,Elite Knight,Kalibra,1893,"25,339",Charm Points,0
37,Winy Roven,Elder Druid,Collabra,1716,"25,209",Charm Points,0
38,Venganza,Royal Paladin,Calmera,1949,"25,189",Charm Points,0
38,Zhurda,Master Sorcerer,Retalia,1658,"25,189",Charm Points,0
40,Arinth,Elite Knight,Monza,2143,"25,139",Charm Points,0
40,Lunatic Princess,Elite Knight,Celesta,2181,"25,139",Charm Points,0
40,Oswaldo Toxico,Royal Paladin,Kalibra,2035,"25,139",Charm Points,0
40,Tengil,Master Sorcerer,Secura,1311,"25,139",Charm Points,0
44,Angel Pro Damage,Elder Druid,Yonabra,2000,"25,089",Charm Points,0
44,Kilseno,Royal Paladin,Secura,1262,"25,089",Charm Points,0
46,Bladewolf,Elite Knight,Descubra,1443,"25,039",Charm Points,0
46,Dillon Duenodefirmera,Elder Druid,Firmera,1949,"25,039",Charm Points,0
48,Dakota,Elite Knight,Esmera,1621,"24,999",Charm Points,0
49,Celso,Elder Druid,Nevia,1641,"24,964",Charm Points,0
50,Boy Ousado,Elder Druid,Obscubra,1532,"24,739",Charm Points,0
51,Raven Erus,Elite Knight,Yonabra,1541,"24,719",Charm Points,0
52,Roffa Godz,Elder Druid,Lobera,1380,"24,689",Charm Points,0
53,Flanbers Penn,Royal Paladin,Yonabra,1849,"24,664",Charm Points,0
54,Fizoleczek,Elite Knight,Antica,861,"24,589",Charm Points,0
55,Floky Monkey,Master Sorcerer,Thyria,1560,"24,564",Charm Points,0
56,Not Kami,Royal Paladin,Thyria,1378,"24,514",Charm Points,0
57,Blaina Siwynia,Master Sorcerer,Antica,974,"24,509",Charm Points,0
58,Lady Himiko,Royal Paladin,Karmeya,935,"24,489",Charm Points,0
58,Pu,Elder Druid,Lobera,1680,"24,489",Charm Points,0
60,Teev,Royal Paladin,Monza,1380,"24,414",Charm Points,0
61,Energy Puff,Master Sorcerer,Premia,1155,"24,409",Charm Points,0
62,Fully,Royal Paladin,Secura,1100,"24,389",Charm Points,0
63,Mareecki,Master Sorcerer,Harmonia,1308,"24,339",Charm Points,0
64,Ominae Yu,Elite Knight,Yonabra,1725,"24,324",Charm Points,0
65,Draco Uchiha,Elite Knight,Collabra,2129,"24,305",Charm Points,0
65,Haarin,Elder Druid,Monza,1720,"24,305",Charm Points,0
67,Fina Sirius,Elite Knight,Gentebra,1632,"24,289",Charm Points,0
67,Fippez,Royal Paladin,Secura,1002,"24,289",Charm Points,0
67,Miojo Doido,Master Sorcerer,Gentebra,1652,"24,289",Charm Points,0
70,Forseti Ases,Elite Knight,Belobra,1434,"24,264",Charm Points,0
71,Luziadas,Elite Knight,Menera,1268,"24,239",Charm Points,0
72,Tecek,Royal Paladin,Refugia,2270,"24,169",Charm Points,0
73,Valiiant krzychu,Royal Paladin,Secura,1241,"24,064",Charm Points,0
74,Miki Greg,Royal Paladin,Descubra,1371,"24,039",Charm Points,0
75,Darkbookmagic,Knight,Wintera,1315,"23,989",Charm Points,0
75,Lord Gerson Atlas,Elite Knight,Rasteibra,1160,"23,989",Charm Points,0
75,Medyq,Elder Druid,Premia,1094,"23,989",Charm Points,0
75,Sibon Faur,Elite Knight,Vunira,1189,"23,989",Charm Points,0
79,Rayn Shus,Elite Knight,Celebra,1018,"23,964",Charm Points,0
80,Jay Assassin,Elite Knight,Nevia,1346,"23,944",Charm Points,0
81,Alphahorcrux,Elite Knight,Havera,1640,"23,913",Charm Points,0
82,Kamiil,Master Sorcerer,Refugia,1564,"23,889",Charm Points,0
82,Sarys Sire,Elder Druid,Secura,816,"23,889",Charm Points,0
84,Valiant Coseran,Royal Paladin,Yovera,1402,"23,839",Charm Points,0
85,Lord Strikee,Elder Druid,Harmonia,1357,"23,809",Charm Points,0
86,Black foot,Elder Druid,Secura,1138,"23,789",Charm Points,0
87,Hexed,Royal Paladin,Kalibra,1303,"23,724",Charm Points,0
88,Re nanzin,Elite Knight,Ferobra,1349,"23,709",Charm Points,0
89,Que Jin,Elder Druid,Serdebra,1572,"23,699",Charm Points,0
90,Nidro,Royal Paladin,Nevia,1282,"23,639",Charm Points,0
90,Oalarea,Master Sorcerer,Celesta,1094,"23,639",Charm Points,0
92,Mezobegi,Elder Druid,Belobra,1106,"23,614",Charm Points,0
92,Neggich,Master Sorcerer,Havera,1493,"23,614",Charm Points,0
94,Xivana,Elder Druid,Peloria,1554,"23,589",Charm Points,0
95,Darken wolf,Royal Paladin,Luminera,1281,"23,539",Charm Points,0
95,Lady Tafuri,Elite Knight,Nefera,1829,"23,539",Charm Points,0
97,Sapin Rhasta,Royal Paladin,Gentebra,1552,"23,514",Charm Points,0
97,Tomoho,Royal Paladin,Antica,1698,"23,514",Charm Points,0
99,Xan Farmer,Master Sorcerer,Refugia,1571,"23,489",Charm Points,0
100,Fannrond,Elite Knight,Secura,1473,"23,439",Charm Points,0
100,Posseidon the Celestic,Elder Druid,Celebra,1127,"23,439",Charm Points,0
100,Spirall fall,Elite Knight,Quelibra,1208,"23,439",Charm Points,0
103,Downdolino,Royal Paladin,Nefera,1297,"23,414",Charm Points,0
104,Lucia Nidderiea,Elder Druid,Thyria,1187,"23,412",Charm Points,0
105,Ballin Zero,Royal Paladin,Dia,1468,"23,409",Charm Points,0
105,Savage Shadow,Elder Druid,Dia,1468,"23,409",Charm Points,0
107,Quakkap,Master Sorcerer,Vunira,1293,"23,380",Charm Points,0
108,Bamandua,Elite Knight,Issobra,1790,"23,360",Charm Points,0
109,Edwarro,Elite Knight,Monza,1361,"23,239",Charm Points,0
110,Chicofatman,Elder Druid,Nevia,1393,"23,234",Charm Points,0
111,Ares Coldhands,Royal Paladin,Inabra,1368,"23,189",Charm Points,0
111,Ayeevi,Master Sorcerer,Refugia,863,"23,189",Charm Points,0
113,Zamazzu,Royal Paladin,Ferobra,1331,"23,164",Charm Points,0
114,Wsciekly Grzegorz,Master Sorcerer,Secura,1210,"23,089",Charm Points,0
115,Magnifik Danyveiosair,Paladin,Inabra,1813,"23,060",Charm Points,0
116,Caio Sama,Elite Knight,Nefera,1190,"23,039",Charm Points,0
