Rank,Name,Vocation,World,Level,Points,category,vocation_id
1,Ragha Healer,Elder Druid,Kalibra,1998,"5,546",Goshnar's Taint,0
2,Shilfner,Elder Druid,Inabra,1487,"4,768",Goshnar's Taint,0
3,Brunin Himself,Elder Druid,Gentebra,1219,"4,733",Goshnar's Taint,0
4,Messi Siuuu,Elite Knight,Vunira,1488,"4,608",Goshnar's Taint,0
5,Magicallse,Master Sorcerer,Antica,1308,"3,987",Goshnar's Taint,0
6,Zazulejo,Elder Druid,Collabra,1755,"3,980",Goshnar's Taint,0
7,Ezudux,Royal Paladin,Gentebra,2019,"3,919",Goshnar's Taint,0
8,Ameamerr,Master Sorcerer,Venebra,1761,"3,856",Goshnar's Taint,0
9,Ragehazard,Elder Druid,Yonabra,1695,"3,542",Goshnar's Taint,0
10,Hitman Zor,Master Sorcerer,Celebra,1923,"3,522",Goshnar's Taint,0
11,Rubio Yamete Kudasai,Master Sorcerer,Issobra,1890,"3,508",Goshnar's Taint,0
12,Feedy,Elder Druid,Gentebra,2127,"3,444",Goshnar's Taint,0
13,Fenia Tegisa,Elder Druid,Celesta,1931,"3,431",Goshnar's Taint,0
14,Shoxiez,Master Sorcerer,Kalibra,2131,"3,401",Goshnar's Taint,0
15,Zainzao,Elder Druid,Descubra,2181,"3,392",Goshnar's Taint,0
16,Digo do Martelo,Elder Druid,Rasteibra,1654,"3,300",Goshnar's Taint,0
17,Markinhos fernandes,Royal Paladin,Yonabra,1622,"3,261",Goshnar's Taint,0
18,Jotazovisk,Royal Paladin,Collabra,1903,"3,205",Goshnar's Taint,0
19,Agressive Kim Toxica,Elite Knight,Luminera,1940,"3,202",Goshnar's Taint,0
19,Toshiii,Master Sorcerer,Gentebra,1787,"3,202",Goshnar's Taint,0
21,Aery Wicca,Elder Druid,Nefera,1143,"3,133",Goshnar's Taint,0
22,Pedrao Geladeira,Elite Knight,Yonabra,1597,"3,105",Goshnar's Taint,0
23,Kuubiq,Royal Paladin,Thyria,1952,"3,082",Goshnar's Taint,0
24,Dolerozz,Elder Druid,Collabra,1561,"3,046",Goshnar's Taint,0
25,Thzkat Zedrin,Elder Druid,Ourobra,1626,"3,025",Goshnar's Taint,0
26,Zapecao,Master Sorcerer,Collabra,2162,"2,998",Goshnar's Taint,0
27,Radizao,Elite Knight,Collabra,2162,"2,974",Goshnar's Taint,0
28,Sedik,Elder Druid,Antica,1700,"2,928",Goshnar's Taint,0
29,Djonesz,Elite Knight,Issobra,1621,"2,879",Goshnar's Taint,0
30,Tulio Barao,Elite Knight,Collabra,1950,"2,766",Goshnar's Taint,0
31,Exorinho,Elite Knight,Thyria,1992,"2,761",Goshnar's Taint,0
32,Darkz Leo,Master Sorcerer,Gentebra,1879,"2,737",Goshnar's Taint,0
33,Atia Viejo,Master Sorcerer,Menera,1382,"2,722",Goshnar's Taint,0
34,Gragao Evoluido,Elite Knight,Rasteibra,1679,"2,713",Goshnar's Taint,0
35,Kalixto,Elder Druid,Collabra,1972,"2,707",Goshnar's Taint,0
36,Evil Ruan,Master Sorcerer,Collabra,1929,"2,701",Goshnar's Taint,0
37,Pesz Navy seal,Elder Druid,Talera,1672,"2,667",Goshnar's Taint,0
38,Candelabro Gestao Inteligente,Master Sorcerer,Ustebra,1638,"2,647",Goshnar's Taint,0
39,Mejo Vikee,Master Sorcerer,Thyria,1596,"2,646",Goshnar's Taint,0
