Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,The Avatar,Exalted Monk,Calmera,518,132,Fist Fighting,0
2,Mua Lan,Exalted Monk,Secura,569,130,Fist Fighting,0
3,Maximus Punch,Exalted Monk,Astera,684,129,Fist Fighting,0
4,Alpha Charlyne,Exalted Monk,Kalibra,679,128,Fist Fighting,0
5,Bloodrunk Leech,Exalted Monk,Lobera,897,126,Fist Fighting,0
5,Salviano Monk,Exalted Monk,Ferobra,494,126,Fist Fighting,0
7,Astromeliaa,Exalted Monk,Solidera,235,125,Fist Fighting,0
7,Toniim,Exalted Monk,Jadebra,559,125,Fist Fighting,0
9,Masnus,Exalted Monk,Vunira,843,124,Fist Fighting,0
9,Pho Pho,Exalted Monk,Monza,121,124,Fist Fighting,0
9,Tarnowski Blokers,Elite Knight,Gladera,164,124,Fist Fighting,0
12,General George Washington,Elite Knight,Yovera,117,123,Fist Fighting,0
12,Shin Ryuu,Exalted Monk,Vitera,666,123,Fist Fighting,0
14,Einya Lightheart,Exalted Monk,Peloria,562,122,Fist Fighting,0
14,Enlightened Lootboxx,Exalted Monk,Yovera,519,122,Fist Fighting,0
14,Launk,Exalted Monk,Honbra,806,122,Fist Fighting,0
14,Skill Feruhat,Exalted Monk,Antica,614,122,Fist Fighting,0
14,The King Fighter,Exalted Monk,Jadebra,507,122,Fist Fighting,0
14,Zaaw Insane,Exalted Monk,Menera,823,122,Fist Fighting,0
20,Airowun,Exalted Monk,Esmera,470,121,Fist Fighting,0
20,Apex Monk,Exalted Monk,Nefera,464,121,Fist Fighting,0
22,Aelistar,Exalted Monk,Nefera,507,120,Fist Fighting,0
22,Craig the knight,Elite Knight,Lobera,931,120,Fist Fighting,0
22,Elecktrosz,Exalted Monk,Quidera,615,120,Fist Fighting,0
22,Gvyn Bleidd,Exalted Monk,Antica,161,120,Fist Fighting,0
22,Lata Ogon,Exalted Monk,Celesta,270,120,Fist Fighting,0
22,Mastermind Monk,Exalted Monk,Inabra,441,120,Fist Fighting,0
22,Mixmonk,Exalted Monk,Pacera,561,120,Fist Fighting,0
22,Monk Yi,Exalted Monk,Tornabra,725,120,Fist Fighting,0
22,Monkii Donky,Exalted Monk,Solidera,855,120,Fist Fighting,0
22,Nachebriio,Exalted Monk,Solidera,395,120,Fist Fighting,0
22,Onro Silverhand,Exalted Monk,Menera,420,120,Fist Fighting,0
22,Tefciowy Monk,Exalted Monk,Antica,365,120,Fist Fighting,0
34,Alvagari Mephur,Exalted Monk,Bona,492,119,Fist Fighting,0
34,Aris Monk,Exalted Monk,Wintera,323,119,Fist Fighting,0
34,Bearju,Exalted Monk,Nefera,369,119,Fist Fighting,0
34,Hallvarsen,Exalted Monk,Retalia,382,119,Fist Fighting,0
34,Mivrael,Exalted Monk,Karmeya,307,119,Fist Fighting,0
34,Monk Mingo,Exalted Monk,Quidera,690,119,Fist Fighting,0
34,Ramitao,Exalted Monk,Celesta,720,119,Fist Fighting,0
41,Ambitionx Monk,Exalted Monk,Yovera,775,118,Fist Fighting,0
41,Azavelas,Exalted Monk,Ustebra,551,118,Fist Fighting,0
41,Dzisiaj Bicek,Exalted Monk,Xyla,226,118,Fist Fighting,0
41,Khrayvus,Exalted Monk,Gentebra,774,118,Fist Fighting,0
41,Le Macho,Exalted Monk,Quidera,154,118,Fist Fighting,0
41,Monk Dudu,Exalted Monk,Rasteibra,784,118,Fist Fighting,0
41,Monkinhius Pospolitinhius,Exalted Monk,Nevia,42,118,Fist Fighting,0
41,Sion Sereno,Exalted Monk,Yonabra,726,118,Fist Fighting,0
41,The Exile,Monk,Belobra,15,118,Fist Fighting,0
41,Toxic Chackuoo,Exalted Monk,Vunira,257,118,Fist Fighting,0
41,Wywz,Exalted Monk,Ustebra,644,118,Fist Fighting,0
52,Aureliius,Exalted Monk,Pacera,628,117,Fist Fighting,0
52,Don Josei,Exalted Monk,Quidera,819,117,Fist Fighting,0
52,Fra Ngo,Exalted Monk,Jadebra,347,117,Fist Fighting,0
52,Hiroshi Takeda,Exalted Monk,Belobra,517,117,Fist Fighting,0
52,Ki Telka,Exalted Monk,Monza,516,117,Fist Fighting,0
52,Merudrian,Exalted Monk,Antica,566,117,Fist Fighting,0
52,Mnichau,Exalted Monk,Secura,825,117,Fist Fighting,0
52,Mykai,Exalted Monk,Lobera,468,117,Fist Fighting,0
52,Ox Ironfist,Exalted Monk,Rasteibra,213,117,Fist Fighting,0
52,Ragond the Monk,Exalted Monk,Premia,327,117,Fist Fighting,0
52,Roswaall,Exalted Monk,Lobera,652,117,Fist Fighting,0
52,Selifist,Exalted Monk,Nefera,542,117,Fist Fighting,0
52,Siglid,Exalted Monk,Karmeya,661,117,Fist Fighting,0
52,Top Vikingo,Exalted Monk,Luminera,485,117,Fist Fighting,0
66,Bruise Li,Exalted Monk,Nevia,725,116,Fist Fighting,0
66,Floofy Monk,Exalted Monk,Vitera,276,116,Fist Fighting,0
66,Galba,Exalted Monk,Dia,871,116,Fist Fighting,0
66,Gamonk,Exalted Monk,Vitera,232,116,Fist Fighting,0
66,Gyllene Munken,Exalted Monk,Celesta,101,116,Fist Fighting,0
66,Jack Carthas,Exalted Monk,Ombra,532,116,Fist Fighting,0
66,Leriisa,Exalted Monk,Thyria,864,116,Fist Fighting,0
66,Matematyczny Grzandi,Exalted Monk,Secura,606,116,Fist Fighting,0
66,Monk Hong Kong,Exalted Monk,Vunira,453,116,Fist Fighting,0
66,Monkzzera,Exalted Monk,Obscubra,545,116,Fist Fighting,0
66,Omnislasher,Exalted Monk,Bona,514,116,Fist Fighting,0
66,Pacifista do Tibet,Exalted Monk,Descubra,617,116,Fist Fighting,0
66,Ramitu,Exalted Monk,Celebra,484,116,Fist Fighting,0
66,Saga Poderoso,Exalted Monk,Ourobra,883,116,Fist Fighting,0
66,Shengwu,Exalted Monk,Collabra,913,116,Fist Fighting,0
66,Velho Aluvaya,Exalted Monk,Issobra,264,116,Fist Fighting,0
66,Vinsmoke Unlucky,Exalted Monk,Gentebra,425,116,Fist Fighting,0
66,Yrjar,Exalted Monk,Bona,700,116,Fist Fighting,0
84,Angelito Bifestinha,Exalted Monk,Runera,589,115,Fist Fighting,0
84,Bruuthus,Exalted Monk,Gentebra,341,115,Fist Fighting,0
84,Dark Hast,Exalted Monk,Lobera,407,115,Fist Fighting,0
84,Davidinator,Elite Knight,Solidera,249,115,Fist Fighting,0
84,Elemental Fist,Exalted Monk,Serdebra,584,115,Fist Fighting,0
84,Evil Thorn,Exalted Monk,Peloria,276,115,Fist Fighting,0
84,Feril Elera,Exalted Monk,Refugia,690,115,Fist Fighting,0
84,Jab Mortal,Exalted Monk,Ombra,689,115,Fist Fighting,0
