Rank,Name,Vocation,World,Level,Skill Level,category,vocation_id
1,Moe The Knight,Elite Knight,Nefera,577,141,Shielding,0
2,Astronis,Elite Knight,Astera,759,140,Shielding,0
3,Vomlet,Knight,Harmonia,11,135,Shielding,0
4,Titanicc,Elite Knight,Astera,809,134,Shielding,0
5,Actually,Elite Knight,Astera,50,133,Shielding,0
6,Instalek,Elite Knight,Secura,1088,132,Shielding,0
6,Lord Bidu Kina,Elite Knight,Descubra,1215,132,Shielding,0
6,Mary Ark,Elite Knight,Venebra,608,132,Shielding,0
6,Tialys,Elite Knight,Monza,182,132,Shielding,0
10,Barao Relampejante,Elite Knight,Yonabra,2037,131,Shielding,0
10,Marotinho,Elite Knight,Yonabra,965,131,Shielding,0
12,Cliany,Elite Knight,Secura,576,130,Shielding,0
12,Darkslayer Ronin,Elite Knight,Premia,1325,130,Shielding,0
12,Hensh,Elite Knight,Gentebra,1884,130,Shielding,0
12,Lipera Legend,Elite Knight,Refugia,512,130,Shielding,0
12,Machinbear,Elite Knight,Celebra,1118,130,Shielding,0
12,Sir Articus,Elite Knight,Astera,826,130,Shielding,0
18,Gilmax Knight,Elite Knight,Gladera,738,129,Shielding,0
18,Lady Angeling,Elite Knight,Gentebra,534,129,Shielding,0
18,Mystic Videl,Elite Knight,Secura,672,129,Shielding,0
18,Shadow liger,Elite Knight,Pacera,700,129,Shielding,0
18,Sir Dragsalot,Elite Knight,Lobera,359,129,Shielding,0
18,Tottz,Elite Knight,Calmera,581,129,Shielding,0
18,Typha,Elite Knight,Astera,652,129,Shielding,0
25,Halloiv,Elite Knight,Gentebra,1462,128,Shielding,0
25,Ibixy,Elite Knight,Secura,762,128,Shielding,0
25,Jackops,Elite Knight,Harmonia,726,128,Shielding,0
25,Kharsek,Elite Knight,Gladera,1985,128,Shielding,0
25,Lecter,Elite Knight,Inabra,1922,128,Shielding,0
25,Makayy,Elite Knight,Inabra,597,128,Shielding,0
25,Natarius Scotfield,Elite Knight,Astera,613,128,Shielding,0
25,Osmano,Elite Knight,Lobera,571,128,Shielding,0
25,Recollection,Knight,Venebra,14,128,Shielding,0
25,Tawyrl,Knight,Kalibra,15,128,Shielding,0
25,Tyrind,Elite Knight,Wintera,668,128,Shielding,0
36,Allskillsheep,Knight,Gentebra,13,127,Shielding,0
36,Boosterio,Elite Knight,Refugia,861,127,Shielding,0
36,Druida Joselito Lolz,Knight,Ustebra,11,127,Shielding,0
36,Filusia,Knight,Monza,708,127,Shielding,0
36,Flanbers Penn,Royal Paladin,Yonabra,1849,127,Shielding,0
36,Gaxizzy,Elite Knight,Monza,1198,127,Shielding,0
36,General George Washington,Elite Knight,Yovera,117,127,Shielding,0
36,Knight Sunblade,Elite Knight,Pacera,504,127,Shielding,0
36,Lord Fearip,Elite Knight,Gladera,972,127,Shielding,0
36,Maurolkit,Elite Knight,Secura,1922,127,Shielding,0
36,Mo rgu,Elite Knight,Monza,2232,127,Shielding,0
36,Passion Killer,Royal Paladin,Gladera,437,127,Shielding,0
36,Rafaelkiller,Elite Knight,Gentebra,1905,127,Shielding,0
36,Reigrant Arcsteel,Elite Knight,Celebra,1214,127,Shielding,0
36,Sanguineus,Elite Knight,Esmera,195,127,Shielding,0
36,Serpantess,Elite Knight,Refugia,988,127,Shielding,0
36,Sizz Lor,Knight,Ustebra,15,127,Shielding,0
36,Thiaguinho Cesar,Knight,Etebra,16,127,Shielding,0
36,Thor Dust,Knight,Yovera,15,127,Shielding,0
36,Yuri Jammy,Elite Knight,Havera,776,127,Shielding,0
36,Zitob,Elite Knight,Monza,1145,127,Shielding,0
36,Zulus Schaka,Elite Knight,Calmera,891,127,Shielding,0
58,Animus Necandi,Elite Knight,Quelibra,745,126,Shielding,0
58,Apolo Beoni,Elite Knight,Belobra,338,126,Shielding,0
58,Awf,Elite Knight,Secura,1424,126,Shielding,0
58,Block,Elite Knight,Collabra,348,126,Shielding,0
58,Bodzio spoko,Elite Knight,Monza,899,126,Shielding,0
58,Brown Jantar,Elite Knight,Celesta,1022,126,Shielding,0
58,Byron McAllister,Elite Knight,Antica,610,126,Shielding,0
58,Coyote Mui Male,Elite Knight,Bona,521,126,Shielding,0
58,Deadmani,Elite Knight,Thyria,1952,126,Shielding,0
58,Delita Heirall,Elite Knight,Gladera,912,126,Shielding,0
58,Diigoo,Paladin,Peloria,410,126,Shielding,0
58,Eviksin of Sacrelight,Royal Paladin,Luminera,355,126,Shielding,0
58,Extraterrestre,Elite Knight,Kalibra,630,126,Shielding,0
58,Galll,Elite Knight,Gentebra,2653,126,Shielding,0
58,Iskizytu,Elite Knight,Pacera,1203,126,Shielding,0
58,Juan Rood,Elite Knight,Refugia,736,126,Shielding,0
58,Knight Do Sangue,Elite Knight,Wintera,257,126,Shielding,0
58,Knight Zudano,Elite Knight,Monza,560,126,Shielding,0
58,Lady Chylka,Elite Knight,Harmonia,921,126,Shielding,0
58,Legorn Sunrise,Elite Knight,Antica,625,126,Shielding,0
58,Lipssky,Elite Knight,Refugia,1758,126,Shielding,0
58,Loublie,Elite Knight,Pacera,426,126,Shielding,0
58,Marwin Devile,Royal Paladin,Celebra,1247,126,Shielding,0
58,Meniia,Elite Knight,Harmonia,817,126,Shielding,0
58,Mia Moonshine,Royal Paladin,Epoca,1360,126,Shielding,0
