Rank,Name,Vocation,World,Level,Points,WorldType
1,Dudopix Worldwide,Elite Knight,Ferobra,2376,"223,221,694,403",Open PvP
2,Bruneli Wayne,Elite Knight,Serdebra,2344,"214,342,923,002",Open PvP
3,Bomba Chapeleiro,Elite Knight,Honbra,2322,"208,336,655,073",Open PvP
4,Alchemistzin,Elite Knight,Quelibra,2276,"196,187,113,839",Open PvP
5,Knighttt Poderoso,Elite Knight,Rasteibra,2190,"174,776,442,006",Open PvP
6,Conde Danimax,Elite Knight,Inabra,2144,"164,023,513,460",Open PvP
7,Pedrin Orangepodi,Elite Knight,Rasteibra,2114,"157,231,801,405",Open PvP
8,Ragnarr Vilao,Elite Knight,Honbra,2097,"153,390,746,938",Open PvP
9,Soiji,Elite Knight,Inabra,2058,"144,859,520,505",Open PvP
10,Kallashy,Elite Knight,Honbra,2051,"143,394,240,411",Open PvP
11,Destructive Kronun,Elite Knight,Talera,2050,"143,282,799,877",Open PvP
12,Chris Donhodo Ombra,Elite Knight,Ombra,2044,"142,074,426,963",Open PvP
13,Zezinho Eurofeer,Elite Knight,Ourobra,2028,"138,610,942,594",Open PvP
14,Magnifik Danytank,Elite Knight,Quelibra,2020,"137,092,852,241",Open PvP
15,Amora Enterprise,Elite Knight,Ourobra,2015,"136,081,052,564",Open PvP
16,Exorinho,Elite Knight,Thyria,2010,"135,054,838,046",Open PvP
17,Jand Supremoo,Elite Knight,Jadebra,1988,"130,715,411,751",Open PvP
18,Bag You Covet,Elite Knight,Ourobra,1982,"129,473,269,730",Open PvP
19,Dudu Stonecutter,Elite Knight,Ombra,1979,"128,862,916,777",Open PvP
20,Deadmani,Elite Knight,Thyria,1978,"128,621,918,649",Open PvP
21,Toxic Kleine Esecee,Elite Knight,Havera,1958,"124,843,913,963",Open PvP
22,Zmek,Elite Knight,Antica,1941,"121,607,397,762",Open PvP
23,Munhoz Holdfast,Elite Knight,Ferobra,1939,"121,128,842,211",Open PvP
24,Lecter,Elite Knight,Inabra,1925,"118,641,400,990",Open PvP
25,Kiperek,Elite Knight,Vunira,1896,"113,272,924,673",Open PvP
26,Cesargxz,Elite Knight,Talera,1895,"113,064,458,307",Open PvP
27,Almom,Elite Knight,Inabra,1893,"112,860,973,079",Open PvP
28,Anita Supreme Emex,Elite Knight,Havera,1887,"111,739,970,865",Open PvP
29,Hellz Negb,Elite Knight,Wintera,1883,"110,953,237,929",Open PvP
30,Chris Subownerdo Gbe,Elite Knight,Ombra,1869,"108,528,098,504",Open PvP
31,Pdois Evoluido,Elite Knight,Rasteibra,1861,"107,231,426,833",Open PvP
