Rank,Name,Vocation,World,Level,Points,WorldType
1,Edinho Rancaprofit,Royal Paladin,Serdebra,2350,"215,877,746,147",Open PvP
2,Chris Dictador,Royal Paladin,Ombra,2288,"199,162,612,455",Open PvP
3,Felix Hastalo Infierno,Royal Paladin,Inabra,2277,"196,365,778,117",Open PvP
4,Recall Poderoso,Royal Paladin,Rasteibra,2254,"190,446,916,370",Open PvP
5,Pedrin Impostor,Royal Paladin,Rasteibra,2241,"187,265,996,889",Open PvP
6,Almighty Nova,Royal Paladin,Wintera,2186,"173,832,134,979",Open PvP
7,Ellmagnifinho Danynho,Royal Paladin,Inabra,2172,"170,418,370,635",Open PvP
8,Fael Fahurr,Royal Paladin,Quelibra,2171,"170,155,695,872",Open PvP
9,Chapoca Bahia,Royal Paladin,Quelibra,2159,"167,476,179,822",Open PvP
10,Edi Paladino,Royal Paladin,Honbra,2158,"167,217,723,329",Open PvP
11,Hellz Nogb,Royal Paladin,Wintera,2156,"166,722,891,367",Open PvP
12,Turco Loko,Royal Paladin,Inabra,2102,"154,490,446,267",Open PvP
13,Tonim Sniper,Royal Paladin,Jadebra,2095,"152,913,244,515",Open PvP
14,Szmuggy,Royal Paladin,Thyria,2085,"150,786,382,013",Open PvP
15,Pedrin Feliznatal,Royal Paladin,Ourobra,2071,"147,762,456,981",Open PvP
16,Kalashnkov,Royal Paladin,Rasteibra,2070,"147,483,310,575",Open PvP
17,Maarculino,Royal Paladin,Jadebra,2062,"145,755,876,320",Open PvP
18,Sorin Enterpriise,Royal Paladin,Ourobra,2057,"144,719,284,983",Open PvP
19,Pato Zedrin,Royal Paladin,Ourobra,2053,"143,816,277,662",Open PvP
20,Rodrigaaum,Royal Paladin,Inabra,2039,"140,931,111,211",Open PvP
21,Partyboost,Royal Paladin,Vunira,2036,"140,360,843,535",Open PvP
22,Trakhinas,Royal Paladin,Quelibra,2023,"137,636,844,268",Open PvP
23,Capetao Tipster,Royal Paladin,Inabra,1984,"129,846,034,065",Open PvP
24,Kuubiq,Royal Paladin,Thyria,1980,"129,007,871,306",Open PvP
25,Nonstop Bruno,Royal Paladin,Inabra,1977,"128,545,803,707",Open PvP
26,Heyz zerp,Royal Paladin,Inabra,1972,"127,526,420,983",Open PvP
27,Gharen Toxico,Royal Paladin,Jadebra,1970,"127,068,190,292",Open PvP
28,Zezinho Fallout,Royal Paladin,Ourobra,1969,"126,915,970,922",Open PvP
29,Exidysz,Royal Paladin,Honbra,1961,"125,370,141,963",Open PvP
30,Dukoth,Royal Paladin,Quelibra,1938,"121,011,099,546",Open PvP
31,Falkzao Supreme Emex,Royal Paladin,Havera,1930,"119,600,969,271",Open PvP
32,Saullow,Royal Paladin,Rasteibra,1929,"119,405,858,438",Open PvP
33,Dudopix Corp,Royal Paladin,Ferobra,1925,"118,672,397,468",Open PvP
