Rank,Name,Vocation,World,Level,Points,WorldType
1,Dejairzin,Elder Druid,Inabra,2953,"428,716,915,637",Open PvP
2,Pedrin Descongelou,Elder Druid,Rasteibra,2325,"209,060,540,217",Open PvP
3,Megazao Supreme Emex,Elder Druid,Havera,2319,"207,555,781,245",Open PvP
4,Chronos Poderoso,Elder Druid,Rasteibra,2315,"206,370,308,743",Open PvP
5,Sorinzinho,Elder Druid,Jadebra,2295,"201,141,580,207",Open PvP
6,Ze Cueei,Elder Druid,Honbra,2233,"185,258,140,352",Open PvP
7,Tonimm,Elder Druid,Jadebra,2205,"178,376,477,855",Open PvP
8,Toxic Es Fiado,Elder Druid,Havera,2202,"177,502,292,158",Open PvP
9,Sorin Emperor,Elder Druid,Ourobra,2180,"172,327,903,225",Open PvP
10,Ndetarovasz,Elder Druid,Honbra,2177,"171,510,282,555",Open PvP
11,Magnifik Danybruxo,Elder Druid,Inabra,2161,"167,857,680,367",Open PvP
12,Waguinho The Legend,Elder Druid,Quelibra,2102,"154,510,649,804",Open PvP
13,Estilo Inativo,Elder Druid,Rasteibra,2080,"149,728,087,498",Open PvP
14,Rodrigaumd,Elder Druid,Inabra,2071,"147,668,429,553",Open PvP
15,Mighty Peral,Elder Druid,Solidera,2033,"139,647,467,892",Open PvP
16,Luidao Inevitavel,Elder Druid,Ourobra,2012,"135,409,782,784",Open PvP
17,Sinfronio Stark,Elder Druid,Rasteibra,2012,"135,396,322,921",Open PvP
18,Zona tto,Elder Druid,Ombra,2000,"133,040,824,461",Open PvP
19,Biel Schneider,Elder Druid,Inabra,2000,"133,025,586,800",Open PvP
20,Xon Vanetta,Elder Druid,Premia,1985,"130,141,323,716",Open PvP
21,Dudopix Enterprise,Elder Druid,Ferobra,1977,"128,491,717,421",Open PvP
22,Zezinho Ltda,Elder Druid,Ourobra,1967,"126,617,744,567",Open PvP
23,Nexyz Fallout,Elder Druid,Ourobra,1961,"125,308,811,474",Open PvP
24,Batman Malvadao,Elder Druid,Inabra,1953,"123,957,499,646",Open PvP
25,Zee Cuei Store,Elder Druid,Quelibra,1940,"121,339,312,743",Open PvP
26,Thiiagod,Elder Druid,Ferobra,1938,"121,101,011,159",Open PvP
27,So rin,Elder Druid,Ourobra,1928,"119,253,364,231",Open PvP
28,Bu uzz,Elder Druid,Serdebra,1928,"119,100,935,528",Open PvP
29,Xelaum,Elder Druid,Inabra,1926,"118,752,380,093",Open PvP
30,Bambaryla Witek,Elder Druid,Thyria,1925,"118,684,506,015",Open PvP
31,Davidzinhow,Elder Druid,Rasteibra,1921,"117,928,948,756",Open PvP
32,Waguinho Loko,Elder Druid,Quelibra,1920,"117,675,204,015",Open PvP
33,Flango Zeroum,Elder Druid,Ombra,1919,"117,447,821,431",Open PvP
34,Re nanzeraxd,Elder Druid,Serdebra,1919,"117,435,269,560",Open PvP
35,Mgnfiksupremo Liderdany,Elder Druid,Quelibra,1913,"116,410,532,031",Open PvP
36,Guh Tomorrow,Elder Druid,Serdebra,1901,"114,268,486,917",Open PvP
37,Dat Pedrak,Elder Druid,Antica,1886,"111,479,942,337",Open PvP
38,Don Roney,Elder Druid,Jadebra,1883,"110,972,788,511",Open PvP
39,Zezinho Zedrin,Elder Druid,Ourobra,1875,"109,658,286,550",Open PvP
40,Dorivall,Elder Druid,Ombra,1874,"109,459,451,527",Open PvP
41,Aleex con Hat,Elder Druid,Talera,1866,"108,071,872,664",Open PvP
42,Jaacm,Elder Druid,Ferobra,1866,"108,001,455,808",Open PvP
43,Theuzikat,Elder Druid,Quelibra,1853,"105,706,942,395",Open PvP
44,Madiks,Elder Druid,Ourobra,1844,"104,205,870,342",Open PvP
45,Goa Onurb,Elder Druid,Quelibra,1843,"104,109,780,693",Open PvP
46,Rafa Zedrin,Elder Druid,Rasteibra,1836,"102,881,247,094",Open PvP
47,Yuwiz,Elder Druid,Premia,1812,"98,848,555,109",Open PvP
48,Caink Blob,Elder Druid,Inabra,1799,"96,773,999,026",Open PvP
49,Erickaao,Elder Druid,Tornabra,1794,"96,066,040,209",Open PvP
50,Magnifik Curanderodany,Elder Druid,Inabra,1792,"95,595,154,979",Open PvP
51,Hypnos Navy Seal,Elder Druid,Talera,1773,"92,721,536,543",Open PvP
52,Elder Pajji,Elder Druid,Thyria,1773,"92,667,902,065",Open PvP
53,Nyxzz,Elder Druid,Quelibra,1767,"91,736,612,723",Open PvP
54,Octuous,Elder Druid,Lobera,1764,"91,277,918,279",Open PvP
55,Wendoza,Elder Druid,Rasteibra,1761,"90,767,631,292",Open PvP
56,Humble Victor,Elder Druid,Talera,1748,"88,804,267,081",Open PvP
57,Khaosz Cliick Claack,Elder Druid,Xymera,1748,"88,718,762,480",Open PvP
58,King Emex,Elder Druid,Solidera,1742,"87,951,543,644",Open PvP
59,Humble Francksz,Elder Druid,Talera,1739,"87,352,859,421",Open PvP
60,Danika Frozenheart,Elder Druid,Solidera,1738,"87,217,775,773",Open PvP
61,Rhooo,Elder Druid,Lobera,1723,"85,064,032,262",Open PvP
62,Myth Herus,Elder Druid,Ombra,1723,"85,013,582,318",Open PvP
63,Speedda,Elder Druid,Thyria,1721,"84,750,875,229",Open PvP
64,Sedik,Elder Druid,Antica,1716,"83,977,855,127",Open PvP
65,Druf ox,Elder Druid,Inabra,1708,"82,756,174,799",Open PvP
66,Mirunga,Elder Druid,Antica,1704,"82,260,610,967",Open PvP
67,Baphomet Cuei Poderoso,Elder Druid,Rasteibra,1697,"81,275,180,380",Open PvP
68,Pu,Elder Druid,Lobera,1690,"80,297,102,133",Open PvP
69,Leo Cyrus,Elder Druid,Talera,1688,"79,987,640,562",Open PvP
70,Pesz Navy seal,Elder Druid,Talera,1685,"79,460,647,380",Open PvP
71,Zound Wave,Elder Druid,Solidera,1684,"79,327,490,046",Open PvP
72,Lukas,Elder Druid,Inabra,1669,"77,215,531,298",Open PvP
73,Thiago Camisadez,Elder Druid,Honbra,1666,"76,830,274,936",Open PvP
74,Monnymoo,Elder Druid,Solidera,1660,"76,047,900,432",Open PvP
75,Digo do Martelo,Elder Druid,Rasteibra,1656,"75,456,006,684",Open PvP
76,Giin Ho,Elder Druid,Quelibra,1654,"75,169,791,696",Open PvP
77,Kazikk,Elder Druid,Peloria,1646,"74,116,203,754",Open PvP
78,Thzkat Zedrin,Elder Druid,Ourobra,1642,"73,550,540,238",Open PvP
79,Prom Tyll,Elder Druid,Thyria,1642,"73,519,148,359",Open PvP
80,Fael Topgun,Elder Druid,Quelibra,1641,"73,407,096,978",Open PvP
81,Battledroid,Elder Druid,Lobera,1641,"73,396,934,730",Open PvP
82,Kpop Kouth,Elder Druid,Thyria,1640,"73,258,338,126",Open PvP
83,Ala Nha,Elder Druid,Premia,1639,"73,209,802,554",Open PvP
84,Trem Bala Bombinha,Elder Druid,Jadebra,1634,"72,545,597,605",Open PvP
85,Se rrao,Elder Druid,Ourobra,1633,"72,337,503,592",Open PvP
86,Nix Poderoso,Elder Druid,Ourobra,1631,"72,125,363,831",Open PvP
87,Roller Coastter,Elder Druid,Talera,1627,"71,580,966,328",Open PvP
88,Ro driguez,Elder Druid,Ourobra,1626,"71,462,109,055",Open PvP
89,Toxic Pups,Elder Druid,Thyria,1624,"71,162,592,895",Open PvP
90,Biellzin,Elder Druid,Inabra,1624,"71,139,185,266",Open PvP
91,Prepotente Vluntz,Elder Druid,Talera,1622,"70,933,986,910",Open PvP
92,Oblivionxd,Elder Druid,Inabra,1621,"70,815,085,631",Open PvP
93,Tastdingo,Elder Druid,Solidera,1619,"70,510,066,675",Open PvP
94,Tonim Homemdokayhn,Elder Druid,Jadebra,1619,"70,506,019,219",Open PvP
95,Nick Toretto,Elder Druid,Lobera,1613,"69,721,171,156",Open PvP
96,Magnifik Patraodany,Elder Druid,Inabra,1610,"69,350,181,144",Open PvP
97,Xablauzinzs Tropadomantem,Elder Druid,Inabra,1607,"68,961,507,651",Open PvP
98,Skaan Rush,Elder Druid,Serdebra,1604,"68,538,274,394",Open PvP
99,Franco Storm,Elder Druid,Jadebra,1603,"68,396,169,194",Open PvP
100,Ocueistore Praguinhasbomb,Elder Druid,Quelibra,1601,"68,183,511,761",Open PvP
101,Zyviik,Elder Druid,Thyria,1595,"67,378,769,904",Open PvP
102,Imenso Bombaturbinado,Elder Druid,Ourobra,1593,"67,151,377,087",Open PvP
