Rank,Name,Vocation,World,Level,Points,Category
1,Alpha Charly,Royal Paladin,Gentebra,2039,"25,880",Boss Points
2,Celso,Elder Druid,Nevia,1659,"25,810",Boss Points
2,Rockstacker Cleve,Elder Druid,Nevia,1219,"25,810",Boss Points
4,Shay Jomyne,Elder Druid,Celebra,1394,"25,505",Boss Points
5,Mathias Bynens,Royal Paladin,Vunira,1430,"25,420",Boss Points
6,Incredible Toby,Elder Druid,Secura,892,"25,400",Boss Points
7,Jack Sensacional,Elite Knight,Belobra,1626,"25,315",Boss Points
8,Kilseno,Royal Paladin,Secura,1272,"25,105",Boss Points
9,Alpha Charlyne,Exalted Monk,Gentebra,707,"25,100",Boss Points
10,Thraphik,Elder Druid,Kalibra,1041,"25,035",Boss Points
11,Werewolf Shorti,Elite Knight,Secura,1322,"25,015",Boss Points
12,Sweaty Kamish,Elite Knight,Secura,964,"24,995",Boss Points
13,Fi na,Elite Knight,Gentebra,1662,"24,970",Boss Points
13,Fully,Royal Paladin,Secura,1122,"24,970",Boss Points
15,Adriano Dourden,Royal Paladin,Secura,929,"24,755",Boss Points
16,Torimex,Elite Knight,Harmonia,1349,"24,725",Boss Points
17,Corni Sukurs,Elder Druid,Secura,1043,"24,715",Boss Points
17,Szympkovsky,Elite Knight,Antica,1075,"24,715",Boss Points
19,Myrkz,Royal Paladin,Lobera,1530,"24,705",Boss Points
20,Little Walking Teddy,Royal Paladin,Yonabra,1342,"24,670",Boss Points
21,Benedicto De Amorim,Royal Paladin,Inabra,849,"24,635",Boss Points
22,John the Developer,Elite Knight,Kalibra,1242,"24,615",Boss Points
23,Valiiant krzychu,Royal Paladin,Secura,1253,"24,560",Boss Points
24,Picture,Elite Knight,Antica,969,"24,555",Boss Points
25,Ravenovsky,Royal Paladin,Secura,866,"24,490",Boss Points
26,Fizoleczek,Elite Knight,Antica,868,"24,485",Boss Points
27,Quro,Elder Druid,Belobra,901,"24,480",Boss Points
28,Broccolini,Elite Knight,Monstera,1196,"24,395",Boss Points
29,Ares Coldhands,Royal Paladin,Inabra,1379,"24,375",Boss Points
