Rank,Name,Vocation,World,Level,Score,Category
1,Goraca,Master Sorcerer,Bona,2913,"11,648",Drome Score
2,Hero Reis,Royal Paladin,Astera,2353,"11,619",Drome Score
3,Bobeek,Elder Druid,Bona,2916,"11,605",Drome Score
4,Ferangel,Royal Paladin,Bona,2541,"11,473",Drome Score
5,Smoothyz,Royal Paladin,Kalibra,2294,"11,351",Drome Score
6,Vitiinn,Royal Paladin,Belobra,2113,"11,235",Drome Score
7,Haarin,Elder Druid,Monza,1720,"11,164",Drome Score
8,Hiro Teensina,Elder Druid,Gentebra,2128,"11,162",Drome Score
9,Judge,Royal Paladin,Celebra,1896,"11,114",Drome Score
10,Rayo,Royal Paladin,Gentebra,2389,"11,078",Drome Score
11,Xenge Teensina,Elite Knight,Gentebra,2090,"11,071",Drome Score
12,Likwidatorr,Elder Druid,Monza,1727,"11,062",Drome Score
13,Szmuggy,Royal Paladin,Thyria,2086,"10,974",Drome Score
14,Syriz,Master Sorcerer,Thyria,2212,"10,938",Drome Score
15,Sage Baw,Elder Druid,Belobra,2161,"10,870",Drome Score
16,Marculino the Titan,Elite Knight,Kalibra,2382,"10,847",Drome Score
17,Warlord Leonny,Royal Paladin,Belobra,2730,"10,843",Drome Score
18,Darkz Leo,Master Sorcerer,Gentebra,1894,"10,801",Drome Score
19,Mirotth,Elite Knight,Belobra,1993,"10,761",Drome Score
20,Apex Pierre,Royal Paladin,Epoca,1875,"10,757",Drome Score
21,Rayzack,Master Sorcerer,Descubra,1782,"10,746",Drome Score
22,Ezudux,Royal Paladin,Gentebra,2039,"10,735",Drome Score
23,Ranny Zolnierz Elder,Master Sorcerer,Antica,2048,"10,716",Drome Score
24,Daso II,Royal Paladin,Antica,1618,"10,714",Drome Score
25,Teus,Master Sorcerer,Descubra,2570,"10,666",Drome Score
26,Al Meow,Royal Paladin,Thyria,1658,"10,620",Drome Score
27,Petalchaser,Royal Paladin,Nefera,1640,"10,609",Drome Score
28,Exorinho,Elite Knight,Thyria,2011,"10,591",Drome Score
29,Arinth,Elite Knight,Monza,2152,"10,566",Drome Score
30,Lecter,Elite Knight,Inabra,1925,"10,546",Drome Score
