Rank,Name,Vocation,World,Level,Points,Category
1,Ragha Healer,Elder Druid,Kalibra,2007,"5,679",Goshnar's Taint
2,Brunin Himself,Elder Druid,Gentebra,1221,"4,808",Goshnar's Taint
3,Shilfner,Elder Druid,Inabra,1490,"4,800",Goshnar's Taint
4,Messi Siuuu,Elite Knight,Vunira,1486,"4,638",Goshnar's Taint
5,Zazulejo,Elder Druid,Collabra,1760,"4,152",Goshnar's Taint
6,Magicallse,Master Sorcerer,Antica,1316,"4,077",Goshnar's Taint
7,Ameamerr,Master Sorcerer,Venebra,1767,"4,040",Goshnar's Taint
8,Ezudux,Royal Paladin,Gentebra,2039,"4,039",Goshnar's Taint
9,Ragehazard,Elder Druid,Yonabra,1710,"3,627",Goshnar's Taint
10,Hitman Zor,Master Sorcerer,Celebra,1940,"3,612",Goshnar's Taint
11,Rubio Yamete Kudasai,Master Sorcerer,Issobra,1900,"3,508",Goshnar's Taint
12,Emperor Maacaulay,Elder Druid,Gentebra,2146,"3,504",Goshnar's Taint
13,Fenia Tegisa,Elder Druid,Celesta,1948,"3,494",Goshnar's Taint
14,Shoxiez,Master Sorcerer,Kalibra,2145,"3,452",Goshnar's Taint
15,Zainzao,Elder Druid,Descubra,2209,"3,398",Goshnar's Taint
16,Digo do Martelo,Elder Druid,Rasteibra,1656,"3,393",Goshnar's Taint
17,Jotazovisk,Royal Paladin,Collabra,1914,"3,368",Goshnar's Taint
18,Markinhos fernandes,Royal Paladin,Yonabra,1637,"3,346",Goshnar's Taint
19,Toshiii,Master Sorcerer,Gentebra,1810,"3,322",Goshnar's Taint
20,Aery Wicca,Elder Druid,Nefera,1147,"3,268",Goshnar's Taint
21,Agressive Kim Toxica,Elite Knight,Luminera,1944,"3,204",Goshnar's Taint
22,Pedrao Geladeira,Elite Knight,Yonabra,1612,"3,190",Goshnar's Taint
23,Dolerozz,Elder Druid,Collabra,1577,"3,167",Goshnar's Taint
24,Kuubiq,Royal Paladin,Thyria,1981,"3,099",Goshnar's Taint
25,Zapecao,Master Sorcerer,Collabra,2180,"3,087",Goshnar's Taint
26,Radizao,Elite Knight,Collabra,2183,"3,063",Goshnar's Taint
27,Thzkat Zedrin,Elder Druid,Ourobra,1642,"3,025",Goshnar's Taint
28,Sedik,Elder Druid,Antica,1716,"2,958",Goshnar's Taint
29,Tulio Barao,Elite Knight,Collabra,1964,"2,904",Goshnar's Taint
30,Cebolazs Corporation,Elite Knight,Descubra,1637,"2,885",Goshnar's Taint
31,Evil Ruan,Master Sorcerer,Collabra,1938,"2,864",Goshnar's Taint
32,Kalixto,Elder Druid,Collabra,1988,"2,844",Goshnar's Taint
33,Candelabro Gestao Inteligente,Master Sorcerer,Ustebra,1654,"2,820",Goshnar's Taint
34,Darkz Leo,Master Sorcerer,Gentebra,1894,"2,767",Goshnar's Taint
35,Exorinho,Elite Knight,Thyria,2011,"2,761",Goshnar's Taint
36,Atia Viejo,Master Sorcerer,Menera,1388,"2,722",Goshnar's Taint
37,Gragao Evoluido,Elite Knight,Rasteibra,1706,"2,713",Goshnar's Taint
38,Mejo Vikee,Master Sorcerer,Thyria,1612,"2,678",Goshnar's Taint
39,Pesz Navy seal,Elder Druid,Talera,1685,"2,668",Goshnar's Taint
40,Burk,Elder Druid,Celebra,1934,"2,650",Goshnar's Taint
41,True Hayder,Elder Druid,Vunira,1413,"2,619",Goshnar's Taint
42,Gutavo Endividado,Elder Druid,Collabra,1907,"2,605",Goshnar's Taint
43,Alaiz,Elite Knight,Serdebra,1401,"2,578",Goshnar's Taint
44,Donzs,Elder Druid,Kalibra,1771,"2,551",Goshnar's Taint
45,Sorin Amarelou,Master Sorcerer,Inabra,1902,"2,532",Goshnar's Taint
46,Spykon,Elite Knight,Serdebra,1575,"2,524",Goshnar's Taint
47,Dimsterz,Royal Paladin,Collabra,1924,"2,503",Goshnar's Taint
48,Toxic Pups,Elder Druid,Thyria,1624,"2,500",Goshnar's Taint
49,Wtsthischar,Elder Druid,Issobra,1845,"2,496",Goshnar's Taint
50,Tenoorioxd,Elder Druid,Wintera,866,"2,492",Goshnar's Taint
51,Bon de,Elder Druid,Ferobra,1518,"2,485",Goshnar's Taint
52,The Chef Pune,Elder Druid,Astera,1694,"2,473",Goshnar's Taint
53,Ya Adik,Elite Knight,Collabra,1790,"2,467",Goshnar's Taint
54,Mighty Shear,Elder Druid,Ombra,1509,"2,459",Goshnar's Taint
55,The Chef,Royal Paladin,Astera,1799,"2,452",Goshnar's Taint
56,Sage Baw,Elder Druid,Belobra,2161,"2,441",Goshnar's Taint
57,Toddzera,Master Sorcerer,Collabra,1833,"2,430",Goshnar's Taint
58,Max Namikaze,Elder Druid,Collabra,2044,"2,423",Goshnar's Taint
59,Ale Devasso,Royal Paladin,Collabra,1845,"2,412",Goshnar's Taint
60,Caiio Acalix,Elder Druid,Gentebra,1738,"2,409",Goshnar's Taint
61,Thor Zynz,Royal Paladin,Collabra,2031,"2,397",Goshnar's Taint
62,Chiicleat,Elder Druid,Venebra,1634,"2,396",Goshnar's Taint
63,John Sentinels,Master Sorcerer,Gentebra,1706,"2,393",Goshnar's Taint
64,Higzao,Royal Paladin,Gentebra,1457,"2,390",Goshnar's Taint
65,Ma ri,Elder Druid,Gentebra,1444,"2,387",Goshnar's Taint
66,La ra,Elder Druid,Yonabra,1208,"2,380",Goshnar's Taint
67,Nimue Lanuin,Elite Knight,Gentebra,1846,"2,375",Goshnar's Taint
68,Perfekt Bomb,Elder Druid,Talera,990,"2,362",Goshnar's Taint
69,Xigix,Master Sorcerer,Luminera,1784,"2,360",Goshnar's Taint
70,Bruxovinsk,Elder Druid,Collabra,1471,"2,354",Goshnar's Taint
71,Gilby,Elder Druid,Gentebra,1435,"2,349",Goshnar's Taint
72,Neo Enterprise,Royal Paladin,Collabra,1829,"2,341",Goshnar's Taint
73,Ian Phage,Knight,Yonabra,1305,"2,320",Goshnar's Taint
74,Junkz,Master Sorcerer,Kalibra,1951,"2,311",Goshnar's Taint
75,Unnamed Shadow,Royal Paladin,Venebra,1932,"2,306",Goshnar's Taint
76,Koe Psciko,Elite Knight,Collabra,1636,"2,300",Goshnar's Taint
77,Raiden Makoto,Master Sorcerer,Nefera,1508,"2,298",Goshnar's Taint
78,Shidrex,Elite Knight,Refugia,1759,"2,280",Goshnar's Taint
79,Zezinho Enterprise,Elite Knight,Ourobra,1805,"2,272",Goshnar's Taint
