Rank,Name,Title,Vocation,World,Level,Points,Category
1,Bibi Return,Enlightened of Tibia,Master Sorcerer,Terribra,1193,"13,627",Loyalty Points
2,Zarakson,Enlightened of Tibia,Royal Paladin,Secura,1312,"9,651",Loyalty Points
3,Kitiara,Enlightened of Tibia,Master Sorcerer,Antica,347,"8,792",Loyalty Points
4,Aegornel Thaelin,Enlightened of Tibia,Knight,Antica,8,"8,779",Loyalty Points
4,Lord Zwiebus,Enlightened of Tibia,Royal Paladin,Antica,309,"8,779",Loyalty Points
4,Yrza,Enlightened of Tibia,Elite Knight,Secura,368,"8,779",Loyalty Points
7,Martin Langbogen,Enlightened of Tibia,Royal Paladin,Monza,358,"8,695",Loyalty Points
8,Faetrea Sage,Enlightened of Tibia,Elder Druid,Pacera,654,"8,670",Loyalty Points
9,Ikot Buwer,Enlightened of Tibia,None,Antica,2,"8,638",Loyalty Points
10,Vofibu's Housemaid,Enlightened of Tibia,Master Sorcerer,Antica,214,"8,580",Loyalty Points
11,Trixi,Enlightened of Tibia,Royal Paladin,Premia,669,"8,542",Loyalty Points
12,Lord Karr,Enlightened of Tibia,Royal Paladin,Wintera,574,"8,530",Loyalty Points
13,Lady Eilonway,Enlightened of Tibia,Elite Knight,Celesta,397,"8,509",Loyalty Points
14,Sir slaughter,Enlightened of Tibia,Elder Druid,Antica,374,"8,479",Loyalty Points
15,Esmara,Enlightened of Tibia,Sorcerer,Antica,8,"8,439",Loyalty Points
16,Ay,Enlightened of Tibia,Elder Druid,Antica,256,"8,432",Loyalty Points
17,Shib Ryian,Enlightened of Tibia,Knight,Secura,2,"8,407",Loyalty Points
18,Drath Mikari,Enlightened of Tibia,None,Ourobra,11,"8,406",Loyalty Points
19,Master of Desaster,Enlightened of Tibia,Elite Knight,Antica,386,"8,379",Loyalty Points
20,Sir Master Slayer,Enlightened of Tibia,Knight,Lobera,11,"8,371",Loyalty Points
21,Astera Tiger,Enlightened of Tibia,Master Sorcerer,Astera,407,"8,361",Loyalty Points
22,Polywog,Enlightened of Tibia,Elder Druid,Premia,187,"8,359",Loyalty Points
23,Spirit of Light,Enlightened of Tibia,Elite Knight,Yovera,337,"8,351",Loyalty Points
24,Ladyabby,Enlightened of Tibia,Master Sorcerer,Calmera,73,"8,340",Loyalty Points
