Rank,Name,Vocation,World,Level,Skill Level,Category
1,Rafaelkiller,Elite Knight,Gentebra,1905,152,Axe Fighting
2,Stepwise,Elite Knight,Descubra,603,148,Axe Fighting
3,Bad Sauce,Elite Knight,Havera,1113,146,Axe Fighting
4,Viggo Slayer,Elite Knight,Secura,1471,145,Axe Fighting
5,Daedrith,Knight,Nefera,607,144,Axe Fighting
5,Jack Aubrey,Elite Knight,Premia,507,144,Axe Fighting
5,Machinbear,Elite Knight,Celebra,1137,144,Axe Fighting
8,Avooo,Elite Knight,Kalanta,1187,143,Axe Fighting
8,Halloiv,Elite Knight,Gentebra,1485,143,Axe Fighting
8,Moose Tape,Elite Knight,Gladera,1768,143,Axe Fighting
11,Fabrkz,Elite Knight,Celebra,1298,142,Axe Fighting
11,Mo rgu,Elite Knight,Monza,2256,142,Axe Fighting
13,Sal Sah,Elite Knight,Bona,1201,141,Axe Fighting
13,Valegari,Elite Knight,Astera,1428,141,Axe Fighting
15,Hydan Aymon,Elite Knight,Nefera,280,140,Axe Fighting
15,Lacerator,Elite Knight,Inabra,1348,140,Axe Fighting
15,Markelito,Elite Knight,Celesta,1650,140,Axe Fighting
15,Rickzher Tank,Elite Knight,Issobra,2146,140,Axe Fighting
15,Rowdz,Elite Knight,Quelibra,1791,140,Axe Fighting
15,Rowen,Elite Knight,Solidera,1736,140,Axe Fighting
15,Thovix,Elite Knight,Bona,856,140,Axe Fighting
22,Aigler,Elite Knight,Quintera,322,139,Axe Fighting
22,Aldixa,Elite Knight,Premia,634,139,Axe Fighting
22,Awf,Elite Knight,Secura,1434,139,Axe Fighting
22,Bruneli Wayne,Elite Knight,Serdebra,2345,139,Axe Fighting
22,Chill Bomba,Elite Knight,Secura,1492,139,Axe Fighting
22,Coatl,Elite Knight,Solidera,1104,139,Axe Fighting
22,Divine Hallux,Elite Knight,Oceanis,1226,139,Axe Fighting
22,Don Winzer,Elite Knight,Yonabra,1027,139,Axe Fighting
22,Huxy,Elite Knight,Secura,1257,139,Axe Fighting
22,Inkkton,Elite Knight,Celesta,1317,139,Axe Fighting
22,Lecter,Elite Knight,Inabra,1925,139,Axe Fighting
22,Machado Purosangue,Elite Knight,Kalibra,1907,139,Axe Fighting
22,Quion,Elite Knight,Celesta,440,139,Axe Fighting
22,Rumpie,Elite Knight,Calmera,617,139,Axe Fighting
