Rank,Name,Vocation,World,Level,Skill Level,Category
1,Haraster,Elite Knight,Refugia,951,143,Club Fighting
2,Lutador de Mace,Elite Knight,Gentebra,1981,141,Club Fighting
2,Peguca,Elite Knight,Luminera,1163,141,Club Fighting
4,Princess Nickkii,Elite Knight,Nefera,520,140,Club Fighting
5,Vincix Ezwin,Elite Knight,Yonabra,1361,139,Club Fighting
6,Carapanam,Elite Knight,Pacera,1023,138,Club Fighting
6,Darkness Miss Lalatina,Elite Knight,Secura,1576,138,Club Fighting
6,Franco Thunder,Elite Knight,Jadebra,1726,138,Club Fighting
6,Ghoa Kitad,Elite Knight,Talera,1225,138,Club Fighting
6,Psyck,Elite Knight,Ustebra,851,138,Club Fighting
6,Smaug Pro,Elite Knight,Pacera,1836,138,Club Fighting
6,Valteco,Elite Knight,Yonabra,1467,138,Club Fighting
13,Chivolli,Elite Knight,Nevia,764,137,Club Fighting
13,Dffoz,Elite Knight,Blumera,1372,137,Club Fighting
13,Dranongar,Elite Knight,Astera,723,137,Club Fighting
13,Fester Adams,Elite Knight,Belobra,815,137,Club Fighting
13,Kocurrr,Elite Knight,Nevia,1167,137,Club Fighting
13,Musashi Tank,Elite Knight,Venebra,1486,137,Club Fighting
13,The Sauron,Elite Knight,Serdebra,1255,137,Club Fighting
13,Zheng Bonny,Elite Knight,Ustebra,1210,137,Club Fighting
21,Aangel de amor,Elite Knight,Nefera,674,136,Club Fighting
21,Animus Necandi,Elite Knight,Quelibra,747,136,Club Fighting
21,Atencjuszka Navka,Elite Knight,Bona,1273,136,Club Fighting
21,Awdy,Elite Knight,Firmera,1267,136,Club Fighting
21,Ciemnyez,Elite Knight,Venebra,1822,136,Club Fighting
21,Darkside the ghost,Elite Knight,Bona,1521,136,Club Fighting
21,Defates tapa,Elite Knight,Nefera,1495,136,Club Fighting
21,Ruver,Elite Knight,Peloria,703,136,Club Fighting
21,Tiao Pancada,Elite Knight,Celebra,1674,136,Club Fighting
30,Bruzanas,Elite Knight,Quidera,1437,135,Club Fighting
30,Capitan Carl,Elite Knight,Descubra,1050,135,Club Fighting
30,Dark tritonic,Elite Knight,Celesta,1218,135,Club Fighting
30,Don Guralek,Elite Knight,Bona,1047,135,Club Fighting
30,Lord Maluketez,Elite Knight,Lutabra,1471,135,Club Fighting
30,Luziadas,Elite Knight,Calmera,1280,135,Club Fighting
30,Matzes,Elite Knight,Antica,1356,135,Club Fighting
30,Odd Henceforth,Elite Knight,Lobera,231,135,Club Fighting
30,Ordinary Citizen,Knight,Bona,1215,135,Club Fighting
30,Pepinoprime,Elite Knight,Antica,1274,135,Club Fighting
30,Reed Ian,Elite Knight,Dia,1203,135,Club Fighting
30,Ronalxs Predathorzxs,Elite Knight,Talera,1419,135,Club Fighting
30,Serpantess,Elite Knight,Refugia,989,135,Club Fighting
30,Sir Lokus,Elite Knight,Quelibra,1431,135,Club Fighting
30,Szmyra,Elite Knight,Thyria,646,135,Club Fighting
30,Ven om,Elite Knight,Harmonia,1885,135,Club Fighting
30,Vitor Kamickaze,Elite Knight,Inabra,563,135,Club Fighting
47,Asfarck,Elite Knight,Terribra,859,134,Club Fighting
47,Cavots,Elite Knight,Ustebra,1025,134,Club Fighting
47,Darkeduar,Elite Knight,Pacera,1294,134,Club Fighting
47,Dergrom,Elite Knight,Secura,778,134,Club Fighting
47,Juniinhsz,Elite Knight,Lutabra,1141,134,Club Fighting
47,Lady Nefy,Elite Knight,Nefera,1185,134,Club Fighting
47,Mister Brookss,Elite Knight,Quintera,1022,134,Club Fighting
47,Mister Pep,Elite Knight,Belobra,1407,134,Club Fighting
47,Modelindo,Elite Knight,Tornabra,902,134,Club Fighting
47,Nettik,Elite Knight,Secura,1097,134,Club Fighting
47,Orvi,Elite Knight,Secura,408,134,Club Fighting
47,Reigrant Arcsteel,Elite Knight,Celebra,1217,134,Club Fighting
47,Sir King Calvo,Elite Knight,Pacera,656,134,Club Fighting
47,Sky Yujiro,Elite Knight,Secura,1169,134,Club Fighting
61,Actually,Elite Knight,Astera,50,133,Club Fighting
61,Bandzior Ek,Elite Knight,Celesta,891,133,Club Fighting
61,Beczo,Elite Knight,Dia,1553,133,Club Fighting
61,Big Boss Revival,Elite Knight,Premia,1831,133,Club Fighting
61,Clownfiesta Primetime,Elite Knight,Zuna,1417,133,Club Fighting
61,Danipuff,Elite Knight,Yonabra,1995,133,Club Fighting
61,Ferpa Deluxe,Elite Knight,Antica,981,133,Club Fighting
61,Inmortal Gowther,Elite Knight,Wintera,968,133,Club Fighting
61,Juno Relaxsz,Elite Knight,Havera,1360,133,Club Fighting
61,Kabahad,Elite Knight,Peloria,1293,133,Club Fighting
61,King Splyffyn,Elite Knight,Bona,866,133,Club Fighting
61,Klubowy Slawek,Elite Knight,Monza,973,133,Club Fighting
61,Lord-Orion Legend,Elite Knight,Havera,409,133,Club Fighting
61,Norbuss,Elite Knight,Eclipta,1301,133,Club Fighting
61,Oger,Elite Knight,Antica,1231,133,Club Fighting
61,Olooz Rhaio,Elite Knight,Collabra,1388,133,Club Fighting
61,Para nah,Elite Knight,Descubra,1141,133,Club Fighting
61,Ralph Kurama,Elite Knight,Yonabra,1289,133,Club Fighting
61,Rolkins,Elite Knight,Lobera,1311,133,Club Fighting
61,Tank Pos,Elite Knight,Bona,1070,133,Club Fighting
61,Thorsis,Elite Knight,Secura,779,133,Club Fighting
61,Uchiha Barba Branca,Elite Knight,Tornabra,1400,133,Club Fighting
83,Alastor Redgrave,Elite Knight,Calmera,1237,132,Club Fighting
83,Andres Astaroth,Elite Knight,Gladera,1315,132,Club Fighting
83,Anxo,Elite Knight,Vunira,889,132,Club Fighting
83,Bacon Violento,Elite Knight,Belobra,1370,132,Club Fighting
83,Blaer,Elite Knight,Refugia,1107,132,Club Fighting
83,Doug Devasso,Elite Knight,Collabra,1852,132,Club Fighting
83,Dred Redemption,Elite Knight,Calmera,1298,132,Club Fighting
83,Dunmon Stark,Elite Knight,Wintera,1101,132,Club Fighting
83,Elzinter,Elite Knight,Blumera,772,132,Club Fighting
