Rank,Name,Vocation,World,Level,Skill Level,Category
1,Orlyp,Royal Paladin,Nefera,972,155,Distance Fighting
2,Hero Reis,Royal Paladin,Astera,2353,154,Distance Fighting
3,Dragon Steven,Royal Paladin,Gentebra,892,151,Distance Fighting
4,Almighty Nova,Royal Paladin,Wintera,2187,147,Distance Fighting
4,Alpha Charly,Royal Paladin,Gentebra,2039,147,Distance Fighting
4,Cahcorrea,Royal Paladin,Kalibra,572,147,Distance Fighting
7,Arkelogon,Royal Paladin,Celebra,2081,145,Distance Fighting
7,Edmarp,Royal Paladin,Bona,1091,145,Distance Fighting
7,Old Noe,Royal Paladin,Secura,1961,145,Distance Fighting
10,Bratku Boy,Royal Paladin,Secura,2154,144,Distance Fighting
10,Ferangel,Royal Paladin,Bona,2541,144,Distance Fighting
10,Flanbers Penn,Royal Paladin,Yonabra,1860,144,Distance Fighting
10,Lady Meredith,Royal Paladin,Bona,755,144,Distance Fighting
10,Mathias Bynens,Royal Paladin,Vunira,1430,144,Distance Fighting
10,Vepeh,Royal Paladin,Celebra,2827,144,Distance Fighting
16,Alucinethor,Royal Paladin,Inabra,1218,143,Distance Fighting
16,Ayanokouji Skaywalker,Royal Paladin,Astera,1452,143,Distance Fighting
16,Dawox,Royal Paladin,Calmera,832,143,Distance Fighting
16,Jounetsu,Royal Paladin,Astera,1635,143,Distance Fighting
16,Rinnyan,Royal Paladin,Oceanis,995,143,Distance Fighting
21,Above Average,Royal Paladin,Pacera,878,142,Distance Fighting
21,Corinthians Slayer,Royal Paladin,Quelibra,1245,142,Distance Fighting
21,Hayeti,Royal Paladin,Refugia,1804,142,Distance Fighting
21,Herox,Royal Paladin,Thyria,1495,142,Distance Fighting
21,Mia Moonshine,Royal Paladin,Epoca,1360,142,Distance Fighting
21,Rodlex,Royal Paladin,Tempestera,1302,142,Distance Fighting
21,Roglordi,Royal Paladin,Bona,530,142,Distance Fighting
21,Ruslex,Royal Paladin,Lobera,880,142,Distance Fighting
21,Sall Sa,Royal Paladin,Gentebra,1413,142,Distance Fighting
21,Tecek,Royal Paladin,Refugia,2270,142,Distance Fighting
21,Veyllor,Royal Paladin,Gentebra,2862,142,Distance Fighting
21,Warlord Leonny,Royal Paladin,Belobra,2730,142,Distance Fighting
33,Aaron Legolas,Royal Paladin,Pacera,533,141,Distance Fighting
33,Akkrilus,Royal Paladin,Celesta,960,141,Distance Fighting
33,Baker Paladin,Royal Paladin,Pacera,1512,141,Distance Fighting
33,Caaok,Royal Paladin,Belobra,2117,141,Distance Fighting
33,Chris Dictador,Royal Paladin,Ombra,2289,141,Distance Fighting
33,Cropper Phale,Royal Paladin,Nevia,1652,141,Distance Fighting
33,Cubbii,Royal Paladin,Celesta,1456,141,Distance Fighting
33,Devzin,Royal Paladin,Celesta,2079,141,Distance Fighting
33,Fael Fahurr,Royal Paladin,Quelibra,2169,141,Distance Fighting
33,Falkzao Supreme Emex,Royal Paladin,Havera,1931,141,Distance Fighting
33,Ilurin,Royal Paladin,Bona,1181,141,Distance Fighting
33,Izeekao,Royal Paladin,Celebra,1822,141,Distance Fighting
33,Lefi,Royal Paladin,Calmera,1023,141,Distance Fighting
33,Leo Nid'as,Royal Paladin,Gentebra,973,141,Distance Fighting
33,Marwin Devile,Royal Paladin,Celebra,1255,141,Distance Fighting
33,Matshow,Royal Paladin,Belobra,1647,141,Distance Fighting
33,Myrkz,Royal Paladin,Lobera,1530,141,Distance Fighting
33,Nerdezera,Royal Paladin,Ustebra,1310,141,Distance Fighting
33,Oswaldo Toxico,Royal Paladin,Kalibra,2061,141,Distance Fighting
33,Rodrigaaum,Royal Paladin,Inabra,2039,141,Distance Fighting
33,Scharfschutzen,Royal Paladin,Gladera,493,141,Distance Fighting
33,Silentshell,Royal Paladin,Antica,1316,141,Distance Fighting
33,Skaf,Royal Paladin,Ferobra,1172,141,Distance Fighting
33,Tale Rion,Royal Paladin,Nefera,1729,141,Distance Fighting
33,Venoox,Royal Paladin,Celesta,2294,141,Distance Fighting
33,Venvii,Royal Paladin,Celesta,1776,141,Distance Fighting
59,Alex Froggy,Royal Paladin,Vunira,1506,140,Distance Fighting
59,Alfiler Berserker,Royal Paladin,Ferobra,1838,140,Distance Fighting
59,Angel Agatha,Royal Paladin,Gentebra,479,140,Distance Fighting
59,Brother Nighthawk,Royal Paladin,Luminera,808,140,Distance Fighting
59,Daso II,Royal Paladin,Antica,1618,140,Distance Fighting
59,Eckows,Royal Paladin,Yonabra,1804,140,Distance Fighting
59,Ellmagnifinho Danynho,Royal Paladin,Inabra,2172,140,Distance Fighting
59,Ezudux,Royal Paladin,Gentebra,2039,140,Distance Fighting
59,Furito Fraco,Royal Paladin,Zunera,1100,140,Distance Fighting
59,Furyprime,Royal Paladin,Antica,1634,140,Distance Fighting
59,Jaruga,Royal Paladin,Nevia,1548,140,Distance Fighting
59,Litwin,Royal Paladin,Refugia,851,140,Distance Fighting
59,Lord Marshals,Royal Paladin,Peloria,1629,140,Distance Fighting
59,Mazzeriin,Royal Paladin,Karmeya,2399,140,Distance Fighting
59,Meatbow,Royal Paladin,Epoca,1745,140,Distance Fighting
59,Rayo,Royal Paladin,Gentebra,2389,140,Distance Fighting
59,Royal Yattaman,Royal Paladin,Refugia,1258,140,Distance Fighting
59,Unholy Skyzen,Royal Paladin,Solidera,1079,140,Distance Fighting
59,Venus,Royal Paladin,Vunira,1134,140,Distance Fighting
59,Villero Lgante,Royal Paladin,Astera,1463,140,Distance Fighting
59,Viny Opressor,Royal Paladin,Serdebra,1414,140,Distance Fighting
59,Vitiinn,Royal Paladin,Belobra,2113,140,Distance Fighting
59,Will Fibrado,Royal Paladin,Quelibra,1035,140,Distance Fighting
59,Yu'Maxi,Royal Paladin,Yonabra,583,140,Distance Fighting
59,Yunski,Royal Paladin,Secura,2142,140,Distance Fighting
84,Al Ziponny,Royal Paladin,Belobra,1807,139,Distance Fighting
84,Arthas Lightborn,Royal Paladin,Yonabra,1984,139,Distance Fighting
84,Balas King,Royal Paladin,Nevia,1506,139,Distance Fighting
84,Bestia Losu,Royal Paladin,Monza,1137,139,Distance Fighting
84,Bullistic,Royal Paladin,Lobera,1403,139,Distance Fighting
84,Capetao Tipster,Royal Paladin,Inabra,1985,139,Distance Fighting
84,Chron Ix,Royal Paladin,Quidera,1067,139,Distance Fighting
