Rank,Name,Vocation,World,Level,Skill Level,Category
1,Lord Executer,Elite Knight,Premia,1253,148,Sword Fighting
2,Lord Bidu Kina,Elite Knight,Descubra,1230,147,Sword Fighting
3,Orangeona,Elite Knight,Wintera,1355,146,Sword Fighting
3,Sir Dragsalot,Elite Knight,Lobera,359,146,Sword Fighting
5,Astronis,Elite Knight,Astera,760,144,Sword Fighting
5,Bar,Elite Knight,Quidera,1771,144,Sword Fighting
5,Tcharles,Elite Knight,Belobra,1411,144,Sword Fighting
5,Toxic Chico Chill,Elite Knight,Solidera,971,144,Sword Fighting
9,Darkslayer Ronin,Elite Knight,Premia,1325,143,Sword Fighting
9,Jackson Knight,Elite Knight,Kalibra,1910,143,Sword Fighting
9,Ki Naitao Olim,Elite Knight,Belobra,2479,143,Sword Fighting
9,Penko Biznez Enthusiast,Elite Knight,Secura,1263,143,Sword Fighting
9,Shadow liger,Elite Knight,Pacera,701,143,Sword Fighting
9,Tottz,Elite Knight,Calmera,584,143,Sword Fighting
9,Zitob,Elite Knight,Monza,1153,143,Sword Fighting
16,Asmitta,Elite Knight,Ourobra,1152,142,Sword Fighting
16,Aujla,Elite Knight,Gladera,759,142,Sword Fighting
16,Carnotaurus,Elite Knight,Secura,934,142,Sword Fighting
16,Kharsek,Elite Knight,Gladera,1992,142,Sword Fighting
16,Magnifik Ekdany,Elite Knight,Inabra,1609,142,Sword Fighting
16,Mexicano Tequileiro,Elite Knight,Monza,542,142,Sword Fighting
16,Moe The Knight,Elite Knight,Nefera,578,142,Sword Fighting
16,Rangel Lestat,Elite Knight,Gentebra,1614,142,Sword Fighting
24,Diones Machine,Elite Knight,Descubra,2142,141,Sword Fighting
24,Etel Grig,Elite Knight,Lobera,521,141,Sword Fighting
24,Eternal Ichigo Kurosaki,Elite Knight,Astera,1691,141,Sword Fighting
24,Maurolkit,Elite Knight,Secura,1934,141,Sword Fighting
24,Mystic Videl,Elite Knight,Secura,673,141,Sword Fighting
29,Abisaga,Elite Knight,Belobra,1561,140,Sword Fighting
29,Andrewsek,Elite Knight,Nefera,1193,140,Sword Fighting
29,Bossprime,Elite Knight,Antica,1840,140,Sword Fighting
29,Braboeka,Elite Knight,Jadebra,1532,140,Sword Fighting
29,Dystopian,Elite Knight,Vunira,1288,140,Sword Fighting
29,Lord Maseda,Elite Knight,Antica,1444,140,Sword Fighting
29,Noether,Elite Knight,Venebra,1806,140,Sword Fighting
29,Roadster Kitad,Elite Knight,Talera,1498,140,Sword Fighting
29,Smurfaren,Elite Knight,Vunira,515,140,Sword Fighting
29,Zos Io Pan,Elite Knight,Serdebra,1095,140,Sword Fighting
39,Barao Relampejante,Elite Knight,Yonabra,2044,139,Sword Fighting
39,Bartanky,Elite Knight,Tornabra,1202,139,Sword Fighting
39,Bigg Melon,Elite Knight,Bona,1330,139,Sword Fighting
39,Galvarg,Elite Knight,Inabra,1273,139,Sword Fighting
39,Guerrero De Las Sombras,Elite Knight,Antica,1219,139,Sword Fighting
39,Knight Emmanuel,Elite Knight,Gentebra,1520,139,Sword Fighting
39,Latulla Keldon Overseer,Elite Knight,Secura,1922,139,Sword Fighting
39,Marculino the Titan,Elite Knight,Kalibra,2382,139,Sword Fighting
39,Mit Iron,Elite Knight,Gentebra,2215,139,Sword Fighting
39,Monkina,Elite Knight,Celebra,542,139,Sword Fighting
39,Nathan Orion,Elite Knight,Havera,305,139,Sword Fighting
39,Vicyous,Elite Knight,Calmera,1616,139,Sword Fighting
51,Argamiim,Elite Knight,Yonabra,1313,138,Sword Fighting
51,Brown Jantar,Elite Knight,Celesta,1031,138,Sword Fighting
51,Celsiin,Elite Knight,Kalibra,1351,138,Sword Fighting
51,Deadmani,Elite Knight,Thyria,1979,138,Sword Fighting
51,Figolo,Elite Knight,Monza,2063,138,Sword Fighting
51,Guii,Elite Knight,Celebra,2419,138,Sword Fighting
51,Guillaume,Elite Knight,Havera,281,138,Sword Fighting
51,Hupez,Elite Knight,Yonabra,1666,138,Sword Fighting
51,Jand Supremoo,Elite Knight,Jadebra,1989,138,Sword Fighting
51,Jeaan Kee,Elite Knight,Luminera,1808,138,Sword Fighting
51,Kaxen,Elite Knight,Harmonia,413,138,Sword Fighting
51,Max Fleury,Elite Knight,Celebra,2105,138,Sword Fighting
51,Pa Ty,Elite Knight,Lutabra,1305,138,Sword Fighting
51,Pi Ramses,Elite Knight,Nefera,1259,138,Sword Fighting
51,Retro Foso,Elite Knight,Quelibra,1512,138,Sword Fighting
51,Titanicc,Elite Knight,Astera,810,138,Sword Fighting
51,Toxic Kleine Esecee,Elite Knight,Havera,1959,138,Sword Fighting
51,Trugg,Elite Knight,Quelibra,663,138,Sword Fighting
51,Ultra Instintooo,Elite Knight,Kalibra,1268,138,Sword Fighting
51,Varmendrion,Elite Knight,Peloria,473,138,Sword Fighting
51,Zaadra,Elite Knight,Calmera,1241,138,Sword Fighting
72,Altron Lijawyn,Elite Knight,Astera,1487,137,Sword Fighting
72,Arinth,Elite Knight,Monza,2152,137,Sword Fighting
72,Eternal Ganon,Elite Knight,Astera,1151,137,Sword Fighting
72,Holy Sebek,Elite Knight,Monza,1252,137,Sword Fighting
72,Horus dragon,Elite Knight,Serdebra,508,137,Sword Fighting
72,Izzystyle,Elite Knight,Belobra,1409,137,Sword Fighting
72,Ja co,Elite Knight,Refugia,2101,137,Sword Fighting
72,Kafkacoli,Elite Knight,Nevia,1072,137,Sword Fighting
72,Ki Yo,Elite Knight,Serdebra,1111,137,Sword Fighting
72,Lethal Griphus,Elite Knight,Refugia,754,137,Sword Fighting
72,Lord Muhover,Elite Knight,Gentebra,1385,137,Sword Fighting
72,Lord Musashii,Elite Knight,Pacera,1401,137,Sword Fighting
72,Majorowa,Elite Knight,Karmeya,2264,137,Sword Fighting
72,Motiro,Elite Knight,Serdebra,1309,137,Sword Fighting
72,Ok Yeah,Elite Knight,Nefera,1307,137,Sword Fighting
72,Osmano,Elite Knight,Lobera,577,137,Sword Fighting
72,Sylus Slayer,Elite Knight,Solidera,1278,137,Sword Fighting
72,Xakzs,Elite Knight,Wintera,1106,137,Sword Fighting
72,Xenge Teensina,Elite Knight,Gentebra,2090,137,Sword Fighting
72,Zalinoz,Elite Knight,Gladera,659,137,Sword Fighting
92,Azazel Swordshaper,Elite Knight,Epoca,798,136,Sword Fighting
92,Baasinova,Elite Knight,Astera,1077,136,Sword Fighting
92,Dakota,Elite Knight,Blumera,1630,136,Sword Fighting
92,Dant Stark,Elite Knight,Havera,1212,136,Sword Fighting
92,Elegancki Miko,Elite Knight,Thyria,1675,136,Sword Fighting
92,Elgyn Phoenix,Elite Knight,Solidera,571,136,Sword Fighting
92,Etrom of Fortera,Elite Knight,Ferobra,1037,136,Sword Fighting
92,Exorinho,Elite Knight,Thyria,2011,136,Sword Fighting
92,Fakir Albert,Elite Knight,Menera,1285,136,Sword Fighting
92,Galll,Elite Knight,Gentebra,2663,136,Sword Fighting
92,Hushed,Elite Knight,Nefera,948,136,Sword Fighting
92,Iskizytu,Elite Knight,Pacera,1212,136,Sword Fighting
92,Kallashy,Elite Knight,Honbra,2051,136,Sword Fighting
92,Kar El,Elite Knight,Talera,681,136,Sword Fighting
92,Keruk,Elite Knight,Yonabra,1470,136,Sword Fighting
92,Lipssky,Elite Knight,Refugia,1773,136,Sword Fighting
92,Maqiczny,Elite Knight,Refugia,2420,136,Sword Fighting
92,Mechatronic,Elite Knight,Harmonia,1370,136,Sword Fighting
92,Momeu,Elite Knight,Serdebra,783,136,Sword Fighting
92,Propaganda Wuurzel,Elite Knight,Harmonia,1491,136,Sword Fighting
92,Saam elsafah,Elite Knight,Epoca,641,136,Sword Fighting
92,Satoriobanas,Elite Knight,Wintera,846,136,Sword Fighting
92,Skymarz,Elite Knight,Gentebra,1139,136,Sword Fighting
92,Sokkz The Bruto,Elite Knight,Descubra,1092,136,Sword Fighting
92,Tamus Lightt,Elite Knight,Ombra,1526,136,Sword Fighting
92,Thos Oz,Elite Knight,Honbra,735,136,Sword Fighting
92,Tulio Barao,Elite Knight,Collabra,1964,136,Sword Fighting
92,Typha,Elite Knight,Astera,653,136,Sword Fighting
92,Virtush Awesome,Elite Knight,Zunera,1422,136,Sword Fighting
121,Adk vive,Elite Knight,Ombra,540,135,Sword Fighting
121,Agiot,Elite Knight,Honbra,1375,135,Sword Fighting
121,Americolos,Elite Knight,Monza,1325,135,Sword Fighting
121,Anatomiczny Posilek,Elite Knight,Thyria,1442,135,Sword Fighting
121,Anlightus,Elite Knight,Xyla,1469,135,Sword Fighting
121,Asthart,Elite Knight,Menera,1029,135,Sword Fighting
121,Beddy,Elite Knight,Calmera,443,135,Sword Fighting
121,Bittar,Elite Knight,Lobera,867,135,Sword Fighting
121,Carolich,Elite Knight,Havera,1601,135,Sword Fighting
121,Chronus Legacy,Elite Knight,Celebra,1632,135,Sword Fighting
121,Darkziiin,Elite Knight,Rasteibra,1487,135,Sword Fighting
121,Demorrton,Elite Knight,Harmonia,1441,135,Sword Fighting
