Rank,Name,Vocation,World,Level,Points,WorldType
1,Trathos,None,Thyria,255,"271,036,779",Open PvP
2,Colin Fletcher,None,Thyria,223,"180,677,439",Open PvP
3,Don Mastema,None,Thyria,208,"147,160,201",Open PvP
4,Digi mortal,None,Antica,207,"144,661,764",Open PvP
5,Kuwabara Rookstayer,None,Peloria,204,"137,918,881",Open PvP
6,Nightre Mage,None,Thyria,178,"91,212,025",Open PvP
7,Nekhronoz,None,Wintera,171,"80,609,459",Open PvP
8,Ratito Axedamage,None,Talera,171,"80,595,819",Open PvP
9,Rookero de'Master,None,Peloria,170,"79,403,001",Open PvP
10,Suvrie,None,Vunira,163,"69,824,877",Open PvP
11,Hudinho,None,Talera,158,"63,845,599",Open PvP
12,Orian Zagon,None,Peloria,155,"60,596,409",Open PvP
13,Morpheus Rookstayer,None,Vunira,155,"60,256,120",Open PvP
14,Sonny Rooker,None,Talera,151,"55,859,078",Open PvP
15,Kronnos of Kaos,None,Talera,151,"55,837,258",Open PvP
16,Nalia Oririon,None,Solidera,149,"53,393,585",Open PvP
17,Darkgladir,None,Peloria,146,"50,679,537",Open PvP
18,Oo Jedynak Oo,None,Antica,143,"47,488,215",Open PvP
19,Surnuz,None,Havera,143,"47,278,812",Open PvP
20,General Hiden Skull,None,Havera,141,"45,372,750",Open PvP
21,Ranncor,None,Lobera,141,"45,225,464",Open PvP
22,Mystic Dark Ninja,None,Vunira,140,"44,548,109",Open PvP
23,El,None,Antica,137,"41,638,899",Open PvP
24,Derchis Rooker,None,Thyria,136,"40,391,052",Open PvP
25,Skynet of Hell,None,Lobera,134,"38,440,547",Open PvP
26,Merion Anjo,None,Solidera,134,"38,358,423",Open PvP
27,Xayeek,None,Thyria,133,"37,679,231",Open PvP
28,Tarik Rooker,None,Peloria,132,"37,357,737",Open PvP
29,Big Bambik,None,Thyria,131,"35,979,500",Open PvP
30,Lohor,None,Xyla,128,"33,620,256",Open PvP
31,Katador de Dragaozinho,None,Wintera,122,"29,355,559",Open PvP
32,Payton,None,Antica,122,"29,208,343",Open PvP
33,Adventurer Billy,None,Antica,121,"28,388,849",Open PvP
34,Axe Burning,None,Havera,120,"27,587,077",Open PvP
35,Draminha Suvan Rook,None,Havera,120,"27,574,680",Open PvP
36,Molto,None,Premia,118,"26,578,732",Open PvP
37,Vanessa of Furora,None,Thyria,117,"25,364,351",Open PvP
38,Ma Vu,None,Talera,117,"25,357,813",Open PvP
39,Jancio,None,Thyria,116,"25,122,598",Open PvP
40,Endriu Welc,None,Vunira,116,"24,965,601",Open PvP
41,Mobinha,None,Quintera,115,"24,484,728",Open PvP
42,Rookstayer Imortal,None,Vunira,115,"24,095,925",Open PvP
43,Princess Nahely,None,Talera,114,"23,551,004",Open PvP
44,Splosha,None,Peloria,114,"23,523,207",Open PvP
45,Mantegalks,None,Antica,114,"23,462,991",Open PvP
46,Don Barone,None,Havera,113,"22,811,150",Open PvP
47,Victorzim,None,Vunira,112,"22,650,287",Open PvP
48,Brasileiro Milioneiro,None,Citra,112,"22,549,998",Open PvP
49,Maas,None,Solidera,112,"22,464,816",Open PvP
50,Silven Akashi Rooker,None,Lobera,112,"22,204,334",Open PvP
51,Urlacher,None,Antica,111,"22,117,196",Open PvP
52,Tribute Devil Rooker,None,Wintera,111,"21,626,370",Open PvP
53,Deleader,None,Solidera,111,"21,610,778",Open PvP
54,Spinex,None,Antica,111,"21,599,199",Open PvP
55,Sunrise,None,Antica,110,"21,582,918",Open PvP
56,Kano Nako,None,Thyria,110,"21,528,655",Open PvP
57,Rein Rookstayer,None,Peloria,110,"21,513,990",Open PvP
58,Lunatic Dreamer,None,Lobera,110,"21,143,260",Open PvP
59,Anamilbeast,None,Solidera,110,"21,130,066",Open PvP
60,Lee Mastema,None,Thyria,110,"21,005,000",Open PvP
61,Filho de Rookgaard,None,Lobera,109,"20,662,976",Open PvP
62,Vampyre Louis,None,Lobera,109,"20,514,484",Open PvP
63,Dyesel,None,Talera,109,"20,486,866",Open PvP
64,Stonecold Mega,None,Antica,109,"20,451,551",Open PvP
65,Fulck,None,Inabra,108,"20,070,981",Open PvP
66,Breath Doterra,None,Lobera,108,"19,978,459",Open PvP
67,Szwe Azura,None,Peloria,108,"19,976,426",Open PvP
68,Pan Najlepszy,None,Peloria,107,"19,696,789",Open PvP
69,Grim Rook'Master,None,Solidera,107,"19,492,539",Open PvP
70,Adventurer Adrian,None,Vunira,107,"19,347,773",Open PvP
71,Aloho Eoxa,None,Vunira,107,"19,335,107",Open PvP
72,Perfectly Knight,None,Vunira,106,"18,829,675",Open PvP
73,Masterwizard,None,Solidera,106,"18,825,696",Open PvP
74,Par Levi,None,Havera,105,"18,667,234",Open PvP
75,Kwieto,None,Vunira,105,"18,635,701",Open PvP
76,Irmao de Kratos,None,Solidera,105,"18,401,321",Open PvP
77,Hermio Rookstayerka,None,Vunira,105,"18,323,289",Open PvP
78,Figz Rook Vibes,None,Antica,105,"18,237,029",Open PvP
79,Mepi Samoonnhem,None,Havera,104,"17,991,112",Open PvP
80,Voodoo Rhythm,None,Havera,104,"17,962,663",Open PvP
81,Zim Kadabra,None,Antica,104,"17,810,720",Open PvP
82,Bogus Rookstayer,None,Peloria,103,"17,670,015",Open PvP
83,Algos Seyletrel,None,Wintera,103,"17,608,322",Open PvP
84,Rookist,None,Lobera,103,"17,305,510",Open PvP
85,Star Rook,None,Thyria,103,"17,303,389",Open PvP
86,Mistic Gregor,None,Peloria,103,"17,220,947",Open PvP
87,Hyacinth de Rookgaard,None,Lobera,101,"16,353,152",Open PvP
88,Strugu Rookslayer,None,Antica,101,"16,328,125",Open PvP
89,Ron Rookslayer,None,Vunira,101,"16,311,801",Open PvP
90,Wizyax,None,Vunira,101,"16,306,562",Open PvP
91,Cona Rookstayer,None,Antica,101,"16,237,351",Open PvP
92,Mis Quala,None,Thyria,101,"16,223,039",Open PvP
93,Bitrot,None,Lobera,101,"16,195,538",Open PvP
94,Rookstayer Seriusis,None,Antica,100,"16,005,825",Open PvP
95,Batman Voador,None,Ombra,100,"15,990,275",Open PvP
96,Lealuk,None,Peloria,100,"15,958,495",Open PvP
97,Soliox,None,Antica,100,"15,919,539",Open PvP
98,Levi Miresty,None,Solidera,100,"15,781,754",Open PvP
99,Tarik Pletsch,None,Vunira,100,"15,779,564",Open PvP
100,Daedlus,None,Antica,100,"15,754,625",Open PvP
101,Shiv Guardian,None,Talera,100,"15,726,440",Open PvP
102,Jakub Suchyman,None,Vunira,100,"15,708,396",Open PvP
103,Talisis Alveen,None,Antica,100,"15,707,153",Open PvP
104,Rookgaards Prince,None,Havera,100,"15,703,832",Open PvP
105,Bendito sodboa,None,Havera,100,"15,694,920",Open PvP
106,Halina Kiepska,None,Vunira,99,"15,691,615",Open PvP
107,Rook Ades,None,Vunira,99,"15,689,912",Open PvP
108,Tort,None,Talera,99,"15,641,360",Open PvP
109,Leonello Rooker,None,Talera,99,"15,632,264",Open PvP
110,War Brothers,None,Lobera,98,"14,944,408",Open PvP
111,Nove Trich,None,Havera,97,"14,481,457",Open PvP
112,Carina Muerte,None,Havera,97,"14,427,634",Open PvP
113,Zyxu,None,Talera,97,"14,409,693",Open PvP
114,Jannyne Guimaraaes,None,Talera,97,"14,383,892",Open PvP
115,Magnificent Rookgaardian,None,Wintera,96,"14,030,613",Open PvP
116,Arni-Rook,None,Vunira,96,"13,993,399",Open PvP
117,Lord Mazai,None,Antica,96,"13,903,080",Open PvP
118,Kermozeem,None,Peloria,95,"13,554,324",Open PvP
119,Samara-rosa,None,Talera,95,"13,537,794",Open PvP
120,Ligax Zetharie,None,Vunira,95,"13,534,981",Open PvP
121,Tarja Swordfury,None,Wintera,95,"13,534,576",Open PvP
122,Maga Rooker,None,Quintera,94,"13,254,575",Open PvP
123,Anded Slejer,None,Thyria,94,"13,196,322",Open PvP
124,Malditi,None,Talera,94,"13,020,103",Open PvP
125,Fabian of Galana,None,Peloria,93,"12,944,324",Open PvP
126,Gandalf Rooker,None,Lobera,93,"12,799,014",Open PvP
127,Fervmbras,None,Quelibra,93,"12,796,324",Open PvP
128,Shiris druid,None,Wintera,93,"12,765,017",Open PvP
129,Gasatika,None,Havera,93,"12,750,448",Open PvP
130,Knight Rooker,None,Lobera,93,"12,685,282",Open PvP
131,Keir Aiddob,None,Lobera,93,"12,655,810",Open PvP
132,El Hud,None,Ombra,92,"12,463,777",Open PvP
133,Jufe Desoncido,None,Lobera,92,"12,174,568",Open PvP
134,Lord'Luster,None,Talera,91,"11,956,945",Open PvP
135,Darq de Rook,None,Thyria,91,"11,854,529",Open PvP
136,Gaoremo,None,Lobera,90,"11,615,663",Open PvP
137,Valmir Rookstayer,None,Vunira,90,"11,462,179",Open PvP
138,Shisy,None,Lobera,90,"11,443,555",Open PvP
139,Undead Miller,None,Antica,90,"11,408,864",Open PvP
140,Dark Raixanxaire,None,Havera,90,"11,372,959",Open PvP
141,Draagkoor Zgif,None,Antica,89,"11,203,658",Open PvP
142,Anguastiao,None,Peloria,89,"11,164,247",Open PvP
143,Biyinn,None,Lobera,89,"11,093,699",Open PvP
144,Goku Rigoku,None,Peloria,89,"11,086,671",Open PvP
145,Konrajd,None,Antica,89,"10,990,069",Open PvP
146,Metallica Dude,None,Talera,88,"10,939,405",Open PvP
