Rank,Name,Vocation,World,Level,Points,Category
1,Alpha Charlyne,Exalted Monk,Gentebra,713,"1,439",Achievements
2,Firdeso,Master Sorcerer,Secura,1183,"1,407",Achievements
3,Garoto Do Sorriso,Elite Knight,Yonabra,782,"1,404",Achievements
4,Madroox,Elite Knight,Oceanis,818,"1,403",Achievements
5,Natth Morza,Elite Knight,Secura,888,"1,399",Achievements
6,Mathias Bynens,Royal Paladin,Vunira,1444,"1,388",Achievements
7,Alpha Charly,Royal Paladin,Gentebra,2043,"1,384",Achievements
7,Archangel Bonetto,Elite Knight,Gentebra,1049,"1,384",Achievements
9,Gznho,Royal Paladin,Yonabra,988,"1,383",Achievements
10,Lord Strikee,Elder Druid,Harmonia,1380,"1,380",Achievements
11,Enjoy,Elder Druid,Monstera,1160,"1,373",Achievements
12,Horon Aoldas,Master Sorcerer,Vunira,1036,"1,370",Achievements
13,Fi na,Elite Knight,Gentebra,1679,"1,369",Achievements
13,Lana Snow,Elder Druid,Lobera,1177,"1,369",Achievements
15,Celso,Elder Druid,Nevia,1667,"1,368",Achievements
16,Fully,Royal Paladin,Secura,1132,"1,366",Achievements
17,Annie Arelluf,Elite Knight,Yonabra,869,"1,365",Achievements
18,Ezudux,Royal Paladin,Gentebra,2050,"1,364",Achievements
19,Chronus Legacy,Elite Knight,Celebra,1642,"1,363",Achievements
20,Dreams,Elder Druid,Yonabra,1363,"1,362",Achievements
21,Zocsik,Elder Druid,Wintera,1135,"1,361",Achievements
22,Danan the shihan,Elite Knight,Quintera,1681,"1,360",Achievements
22,Marcus Eon,Elite Knight,Thyria,924,"1,360",Achievements
24,Niquit,Master Sorcerer,Antica,1739,"1,359",Achievements
25,Craig the knight,Elite Knight,Lobera,938,"1,356",Achievements
26,Axy,Elder Druid,Yonabra,1384,"1,355",Achievements
27,Caaok,Royal Paladin,Belobra,2126,"1,352",Achievements
27,Chicofatman,Elder Druid,Nevia,1416,"1,352",Achievements
27,Niix Insanity,Elite Knight,Jadebra,961,"1,352",Achievements
27,Torkel Ironman,Elite Knight,Issobra,756,"1,352",Achievements
31,Kaos Sharis,Master Sorcerer,Astera,538,"1,350",Achievements
31,Yunski,Royal Paladin,Secura,2144,"1,350",Achievements
33,Fok,Royal Paladin,Secura,1544,"1,348",Achievements
34,Lord Marshals,Royal Paladin,Peloria,1639,"1,347",Achievements
34,Sibon Faur,Elite Knight,Vunira,1192,"1,347",Achievements
36,Astary,Elite Knight,Collabra,843,"1,346",Achievements
36,Flanbers Penn,Royal Paladin,Yonabra,1866,"1,346",Achievements
38,Alex Froggy,Royal Paladin,Vunira,1520,"1,345",Achievements
38,Rayn Shus,Elite Knight,Celebra,1025,"1,345",Achievements
40,Machinbear,Elite Knight,Celebra,1143,"1,344",Achievements
41,Old Noe,Royal Paladin,Secura,1964,"1,343",Achievements
42,Dcko,Master Sorcerer,Secura,942,"1,342",Achievements
42,Guii,Elite Knight,Celebra,2431,"1,342",Achievements
42,Rado of Elera,Elite Knight,Vunira,948,"1,342",Achievements
42,Stugaan,Elite Knight,Monstera,1389,"1,342",Achievements
46,Enjoys,Master Sorcerer,Monstera,911,"1,341",Achievements
46,Meepoww,Elite Knight,Serdebra,262,"1,341",Achievements
46,Oswaldo Toxico,Royal Paladin,Kalibra,2079,"1,341",Achievements
49,Krueger,Elite Knight,Kalibra,1453,"1,340",Achievements
50,Lady Tafuri,Elite Knight,Nefera,1854,"1,339",Achievements
50,Special Frank,Elder Druid,Serdebra,1541,"1,339",Achievements
52,Magico Mago,Master Sorcerer,Nefera,1386,"1,337",Achievements
52,Melzinho de Feira,Royal Paladin,Yonabra,646,"1,337",Achievements
54,Aluxi,Master Sorcerer,Kalibra,1782,"1,336",Achievements
54,Cavots,Elite Knight,Ustebra,1033,"1,336",Achievements
56,Hero Reis,Royal Paladin,Astera,2360,"1,335",Achievements
56,Matt Paladiin,Royal Paladin,Gentebra,1401,"1,335",Achievements
56,Mente Brilhante,Royal Paladin,Gentebra,889,"1,335",Achievements
56,Zalina Myth,Elite Knight,Vunira,1223,"1,335",Achievements
60,Khena,Master Sorcerer,Havera,1041,"1,334",Achievements
60,Maya Zares,Elite Knight,Yonabra,666,"1,334",Achievements
62,Myrkz,Royal Paladin,Lobera,1543,"1,333",Achievements
63,Aliiny,Elite Knight,Lobera,863,"1,332",Achievements
63,Thunderfist,Elite Knight,Peloria,1358,"1,332",Achievements
63,Tio Cidinho,Royal Paladin,Venebra,876,"1,332",Achievements
66,Shidden,Royal Paladin,Rasteibra,1306,"1,331",Achievements
67,Ghost of Chimera,Royal Paladin,Solidera,1741,"1,330",Achievements
67,Machado Purosangue,Elite Knight,Kalibra,1918,"1,330",Achievements
67,Teddy Gangsta,Elder Druid,Yovera,665,"1,330",Achievements
70,Ki Naitao Olim,Elite Knight,Belobra,2491,"1,329",Achievements
71,Dash Deluxe,Master Sorcerer,Secura,1660,"1,328",Achievements
71,Fus Evil,Elite Knight,Kalibra,896,"1,328",Achievements
71,The Sauron,Elite Knight,Serdebra,1265,"1,328",Achievements
71,Tyroks,Elder Druid,Premia,1076,"1,328",Achievements
75,Silent Kishi,Elite Knight,Yovera,1264,"1,326",Achievements
76,Mirotth,Elite Knight,Belobra,2001,"1,325",Achievements
77,Tiroz,Elite Knight,Gentebra,885,"1,324",Achievements
78,Enduroman,Elite Knight,Harmonia,1245,"1,323",Achievements
78,Quis,Elite Knight,Premia,1166,"1,323",Achievements
80,Ano Vix,Elder Druid,Monstera,1146,"1,322",Achievements
80,Cornus Mass,Royal Paladin,Monza,770,"1,322",Achievements
80,Turyan,Royal Paladin,Descubra,1017,"1,322",Achievements
83,Daso II,Royal Paladin,Antica,1624,"1,321",Achievements
83,Quiet,Royal Paladin,Epoca,1137,"1,321",Achievements
85,Leifmaa,Master Sorcerer,Peloria,871,"1,320",Achievements
85,Libi,Elite Knight,Lobera,1319,"1,320",Achievements
85,Zmuts,Master Sorcerer,Monza,1914,"1,320",Achievements
88,Aeranthir,Royal Paladin,Lobera,880,"1,319",Achievements
88,Issmahan,Elder Druid,Premia,1462,"1,319",Achievements
88,Khamir,Elder Druid,Harmonia,1029,"1,319",Achievements
91,Edwarro,Elite Knight,Monza,1397,"1,318",Achievements
91,Sweaty Kamish,Elite Knight,Secura,976,"1,318",Achievements
93,Fouls,Royal Paladin,Yonabra,619,"1,317",Achievements
94,Flipias,Master Sorcerer,Quintera,1339,"1,316",Achievements
94,Neggich,Master Sorcerer,Havera,1496,"1,316",Achievements
94,Offf Liiineee,Elite Knight,Wintera,767,"1,316",Achievements
94,Uriel Simacek,Elite Knight,Kalibra,933,"1,316",Achievements
98,Cardinale Habby,Royal Paladin,Peloria,957,"1,315",Achievements
98,Coy Doido,Royal Paladin,Belobra,1440,"1,315",Achievements
98,Vand Woodstock,Elder Druid,Inabra,1034,"1,315",Achievements
98,Watroba sorcerer,Master Sorcerer,Refugia,1123,"1,315",Achievements
102,Knight of Rafael,Elite Knight,Quelibra,1687,"1,314",Achievements
103,Abilidibob,Elite Knight,Descubra,734,"1,313",Achievements
103,Edgar De'Furious,Elite Knight,Gentebra,732,"1,313",Achievements
103,Elite Diabeu,Elite Knight,Secura,715,"1,313",Achievements
103,Leoxy Ousado,Elder Druid,Terribra,1563,"1,313",Achievements
103,Salsa Agridoce,Royal Paladin,Oceanis,1406,"1,313",Achievements
103,Vituxo,Royal Paladin,Pacera,662,"1,313",Achievements
109,Koztos,Elite Knight,Monza,901,"1,312",Achievements
109,Shayddex,Elite Knight,Oceanis,770,"1,312",Achievements
109,Sir Iguela,Elite Knight,Bona,1103,"1,312",Achievements
109,Vannak Wrath,Elder Druid,Gentebra,1305,"1,312",Achievements
113,Janni,Royal Paladin,Secura,1202,"1,311",Achievements
114,Dakota,Elite Knight,Blumera,1635,"1,310",Achievements
115,Dougmir,Elite Knight,Yonabra,819,"1,309",Achievements
115,Exalted Herb,Royal Paladin,Yonabra,831,"1,309",Achievements
115,Kate Walker,Elite Knight,Nevia,1305,"1,309",Achievements
118,Brighid Grand Explorateur,Elite Knight,Yonabra,891,"1,308",Achievements
118,Grisam,Elite Knight,Monstera,1404,"1,308",Achievements
118,Puner,Master Sorcerer,Ustebra,930,"1,308",Achievements
121,Instalek,Elite Knight,Secura,1104,"1,306",Achievements
121,Nasty Kasper,Royal Paladin,Antica,1267,"1,306",Achievements
123,Cow Rods,Elder Druid,Gentebra,622,"1,305",Achievements
123,Darelo Palestrino,Royal Paladin,Gentebra,1224,"1,305",Achievements
123,Max Fleury,Elite Knight,Celebra,2116,"1,305",Achievements
126,Losing Sleep,Master Sorcerer,Yonabra,1110,"1,304",Achievements
127,Ninja,Royal Paladin,Yonabra,1603,"1,303",Achievements
127,Rpe Fred,Royal Paladin,Quelibra,1131,"1,303",Achievements
127,Xivana,Elder Druid,Peloria,1575,"1,303",Achievements
127,Zoi Robacena,Royal Paladin,Ferobra,1208,"1,303",Achievements
131,Zyro'flame,Master Sorcerer,Secura,1443,"1,302",Achievements
132,Rhania,Elder Druid,Celesta,1316,"1,301",Achievements
133,Felipe Montez,Royal Paladin,Secura,1175,"1,300",Achievements
134,Aurea Atti,Elder Druid,Gentebra,881,"1,299",Achievements
134,Bullistic,Royal Paladin,Lobera,1404,"1,299",Achievements
134,Icuu,Elder Druid,Ombra,1009,"1,299",Achievements
134,Kilseno,Royal Paladin,Secura,1280,"1,299",Achievements
138,Piiloto Bighead,Elite Knight,Etebra,1234,"1,298",Achievements
138,Rockstacker Cleve,Elder Druid,Nevia,1215,"1,298",Achievements
138,Slodka Ulcia,Royal Paladin,Secura,847,"1,298",Achievements
141,Czikita,Elder Druid,Secura,2069,"1,297",Achievements
141,Kharsek,Elite Knight,Gladera,1994,"1,297",Achievements
141,Suuper-Till,Elder Druid,Yonabra,958,"1,297",Achievements
141,Vicyous,Elite Knight,Calmera,1624,"1,297",Achievements
145,Dill Zica,Royal Paladin,Terribra,1121,"1,296",Achievements
145,Heltriz,Royal Paladin,Dia,955,"1,296",Achievements
145,Silverx,Elite Knight,Gentebra,635,"1,296",Achievements
145,Ultimate Blood,Elite Knight,Serdebra,816,"1,296",Achievements
149,Bocian Damora,Master Sorcerer,Karmeya,1560,"1,295",Achievements
150,Juankz,Elite Knight,Lobera,1310,"1,294",Achievements
150,Tigrokey,Elite Knight,Calmera,807,"1,294",Achievements
150,True Woo Dy,Elite Knight,Inabra,1315,"1,294",Achievements
153,Art Archero,Royal Paladin,Dia,435,"1,293",Achievements
153,Axnavar,Royal Paladin,Secura,619,"1,293",Achievements
