,rank,name,world,vocation,level,experience,world_type,updated_at
0,1,Dejairzin,inabra,elder druid,2997,447914003765,Open PvP,2026-01-20 22:59:57.042544
1,2,Bobeek,bona,elder druid,2958,430572283021,Optional PvP,2026-01-20 22:59:57.042544
2,3,Goraca,bona,master sorcerer,2955,429183508697,Optional PvP,2026-01-20 22:59:57.042544
3,4,Veyllor,gentebra,royal paladin,2909,409683078307,Optional PvP,2026-01-20 22:59:57.042544
4,5,Warlord Teuzin,belobra,master sorcerer,2877,396292619074,Optional PvP,2026-01-20 22:59:57.042544
5,6,Vepeh,celebra,royal paladin,2861,389654187727,Optional PvP,2026-01-20 22:59:57.042544
6,7,Mago Morto,celebra,master sorcerer,2798,364591370274,Optional PvP,2026-01-20 22:59:57.042544
7,8,Kommander,celebra,royal paladin,2792,361974233480,Optional PvP,2026-01-20 22:59:57.042544
8,9,Warlord Leonny,belobra,royal paladin,2784,358952215806,Optional PvP,2026-01-20 22:59:57.042544
9,10,Ke vinho,gentebra,elder druid,2784,358904530744,Optional PvP,2026-01-20 22:59:57.042544
10,11,Warlord Bread,belobra,elder druid,2782,358463654877,Optional PvP,2026-01-20 22:59:57.042544
11,12,Baaeck,gentebra,master sorcerer,2716,333392277789,Optional PvP,2026-01-20 22:59:57.042544
12,13,Galll,gentebra,elite knight,2709,330657551203,Optional PvP,2026-01-20 22:59:57.042544
13,14,Izzy The Beast,celebra,elder druid,2678,319387724396,Optional PvP,2026-01-20 22:59:57.042544
14,15,Szimix,celesta,elder druid,2629,302193405655,Optional PvP,2026-01-20 22:59:57.042544
15,16,Teus,descubra,master sorcerer,2621,299594910860,Optional PvP,2026-01-20 22:59:57.042544
16,17,Ferangel,bona,royal paladin,2583,286876273076,Optional PvP,2026-01-20 22:59:57.042544
17,18,Khaos Poderoso,unebra,master sorcerer,2582,286391478123,Open PvP,2026-01-20 22:59:57.042544
18,19,Marcao Implacavel,kalibra,elder druid,2567,281445783524,Optional PvP,2026-01-20 22:59:57.042544
19,20,Elder Reno,celesta,elder druid,2527,268353964612,Optional PvP,2026-01-20 22:59:57.042544
20,21,Joseh Implacavel,kalibra,royal paladin,2522,266731023482,Optional PvP,2026-01-20 22:59:57.042544
21,22,Ki Naitao Olim,belobra,elite knight,2522,266805333467,Optional PvP,2026-01-20 22:59:57.042544
22,23,Sephan,celebra,elite knight,2512,263565775440,Optional PvP,2026-01-20 22:59:57.042544
23,24,Boleight,descubra,royal paladin,2510,262982119195,Optional PvP,2026-01-20 22:59:57.042544
24,25,Ma rkin,descubra,elder druid,2476,252589870564,Optional PvP,2026-01-20 22:59:57.042544
25,26,Mazzeriin,karmeya,royal paladin,2464,248783722744,Optional PvP,2026-01-20 22:59:57.042544
26,27,Poke Corporation,issobra,royal paladin,2461,248016574128,Optional PvP,2026-01-20 22:59:57.042544
27,28,Guii,celebra,elite knight,2459,247342838106,Optional PvP,2026-01-20 22:59:57.042544
28,29,King Danter,celesta,elite knight,2457,246673409179,Optional PvP,2026-01-20 22:59:57.042544
29,30,Machamp Jiujitsu,lobera,master sorcerer,2443,242561363961,Open PvP,2026-01-20 22:59:57.042544
30,31,Maqiczny,refugia,elite knight,2439,241271677207,Optional PvP,2026-01-20 22:59:57.042544
31,32,Gutierrezs,gentebra,elder druid,2432,239286237709,Optional PvP,2026-01-20 22:59:57.042544
32,33,Uhaacz,karmeya,elder druid,2426,237593097467,Optional PvP,2026-01-20 22:59:57.042544
33,34,Rayo,gentebra,royal paladin,2422,236315024673,Optional PvP,2026-01-20 22:59:57.042544
34,35,Caffeina Implacavel,kalibra,master sorcerer,2418,235088329767,Optional PvP,2026-01-20 22:59:57.042544
35,36,Drackule,refugia,elder druid,2407,231848457707,Optional PvP,2026-01-20 22:59:57.042544
36,37,Vinyzz,nefera,elite knight,2404,231219508829,Optional PvP,2026-01-20 22:59:57.042544
37,38,Dudopix Worldwide,ferobra,elite knight,2402,230483185998,Open PvP,2026-01-20 22:59:57.042544
38,39,Edinho Rancaprofit,serdebra,royal paladin,2396,228685238519,Open PvP,2026-01-20 22:59:57.042544
39,40,Digao Implacavel,kalibra,elite knight,2394,228147215581,Optional PvP,2026-01-20 22:59:57.042544
40,41,Vengelz,descubra,elite knight,2389,226853636858,Optional PvP,2026-01-20 22:59:57.042544
41,42,Nevropz Toxico,kalibra,elder druid,2385,225542102588,Optional PvP,2026-01-20 22:59:57.042544
42,43,Pedrin Descongelou,jadebra,elder druid,2385,225584515888,Open PvP,2026-01-20 22:59:57.042544
43,44,Hero Reis,astera,royal paladin,2385,225673285789,Optional PvP,2026-01-20 22:59:57.042544
44,45,Bruneli Wayne,serdebra,elite knight,2383,225018311885,Open PvP,2026-01-20 22:59:57.042544
45,46,Bomba Chapeleiro,honbra,elite knight,2379,224065070815,Open PvP,2026-01-20 22:59:57.042544
46,47,Daniloz Corporation,issobra,elder druid,2367,220531097305,Optional PvP,2026-01-20 22:59:57.042544
47,48,Chronos Poderoso,unebra,elder druid,2364,219637301225,Open PvP,2026-01-20 22:59:57.042544
48,49,Megazao Supreme Emex,havera,elder druid,2354,216882528345,Open PvP,2026-01-20 22:59:57.042544
49,50,Chris Dictador,ombra,royal paladin,2347,214984601933,Open PvP,2026-01-20 22:59:57.042544
50,51,Felix Hastalo Infierno,inabra,royal paladin,2347,215053159165,Open PvP,2026-01-20 22:59:57.042544
51,52,Venoox,celesta,royal paladin,2342,213640264866,Optional PvP,2026-01-20 22:59:57.042544
52,53,Matari,gentebra,master sorcerer,2334,211481252184,Optional PvP,2026-01-20 22:59:57.042544
53,54,Sorinzinho,jadebra,elder druid,2333,211216129665,Open PvP,2026-01-20 22:59:57.042544
54,55,Rift Duken,gentebra,master sorcerer,2332,210913935090,Optional PvP,2026-01-20 22:59:57.042544
55,56,Majorowa,karmeya,elite knight,2328,209946318277,Optional PvP,2026-01-20 22:59:57.042544
56,57,Alchemistzin,quelibra,elite knight,2320,207804350067,Open PvP,2026-01-20 22:59:57.042544
57,58,Smoothyz,kalibra,royal paladin,2315,206449920125,Optional PvP,2026-01-20 22:59:57.042544
58,59,Mo rgu,monza,elite knight,2310,205025427951,Optional PvP,2026-01-20 22:59:57.042544
59,60,Pedrin Impostor,jadebra,royal paladin,2298,201816380430,Open PvP,2026-01-20 22:59:57.042544
60,61,Treko,gentebra,royal paladin,2298,201916312353,Optional PvP,2026-01-20 22:59:57.042544
